run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.07975952720580716,0.10118373952440926,0.19033067433669007,0.13028337170216395
2,0.07157239090929567,0.10112281435400854,0.22815491290466047,0.16335490637259265
3,0.06760846080522519,0.08295775715315658,0.20096033082579604,0.17912124518805583
4,0.07315610934101247,0.15879441171522518,0.1627134307467431,0.1607794579436774
5,0.07398897690997,0.09668126697830197,0.19346304018339508,0.12418624514223094
6,0.0668480182952685,0.08922866665206515,0.3121505979936245,0.18598665272075454
7,0.07662410871188309,0.08671396515688991,0.30235063349790225,0.12774872288591668
8,0.07479461179753391,0.16161523795906313,0.28833771346030573,0.17827902797484227
9,0.07108093467466613,0.08953177732527312,0.2615877290392112,0.15423810580357003
10,0.07829154383585565,0.0924435360079205,0.1752098873866347,0.12774872288591668
