run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.13052476028537324,0.2366377475324753,0.45256402972800375,0.14429277449885644
2,0.2277012121690329,0.29375179358428355,0.32774845911959477,0.18055103436159273
3,0.1308398501332726,0.2941739969761512,0.23443085324850865,0.5047674418501934
4,0.20991311790630063,0.22884962380538904,0.15417305158776642,0.28606782640957995
5,0.1714926919160436,0.2099563800093223,0.358891201250462,0.33568368870683557
6,0.12363340718241982,0.18330555430570028,0.2856628780964064,0.2530134911413881
7,0.1651016846294977,0.22233054005763847,0.676806729361022,0.18154264342487608
8,0.16814499941981143,0.7994951163235627,0.4548731908791309,0.489962642236219
9,0.19717291996736575,0.1480521378212412,0.21943469717422528,0.16736065026389835
10,0.1881730494518333,0.6471727732174722,0.22010497354901354,0.18154264342487608
