RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma
200.0,0.6192767343402442,0.2966083393132794,200.0,0.6455280518940919,0.2738670223173029,200.0,0.49292263433003247,0.20187206581026762
400.0,0.4249327989300446,0.19032803429650194,400.0,0.5148652207341117,0.2028363760236914,400.0,0.3624524392854202,0.09412730974255955
600.0,0.30677813212086585,0.12362266312768752,600.0,0.4022187563445637,0.1445021364430966,600.0,0.33641670789398315,0.08270288573371845
800.0,0.26150879955603906,0.09282887852167354,800.0,0.3742670050606337,0.13864319981241296,800.0,0.32025648968347864,0.07822672078234633
1000.0,0.2517428046238357,0.0920331989794302,1000.0,0.36787214844075944,0.14326833803777675,1000.0,0.30706541042248725,0.07625545562332539
1200.0,0.23412774226461136,0.08018676795536873,1200.0,0.36419950130786594,0.14439544666022455,1200.0,0.30663583827918234,0.07629223313548567
1400.0,0.21493320613083874,0.06302690485404072,1400.0,0.3513021681488025,0.15246302685344518,1400.0,0.30277824919898466,0.07866399694537587
1600.0,0.19383564859079655,0.05659196639321107,1600.0,0.3407814778079937,0.15387511235120374,1600.0,0.3005962752089467,0.07711411961618808
1800.0,0.18670960390424834,0.05543531299979033,1800.0,0.3402065235928352,0.1542097027961846,1800.0,0.29057062003129935,0.07116724665173292
2000.0,0.17126976930609508,0.03534956623842526,2000.0,0.3384690063994133,0.1553950714114649,2000.0,0.2894646921301084,0.07080226422631263
