RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma
200.0,0.7468356134453498,0.2606491715062672,200.0,0.6965468916685958,0.23008286291145522,200.0,0.5857721634172018,0.2334383130887499
400.0,0.6013237054215186,0.24021372569442867,400.0,0.5794484671449025,0.19976635907446422,400.0,0.4515599277699948,0.21473846908964572
600.0,0.41214658176521013,0.22697043655823976,600.0,0.5273727839693397,0.21381646110529479,600.0,0.4060823175742082,0.13653936743986628
800.0,0.3816782142672676,0.24117798824488726,800.0,0.4870787734375198,0.21775551004732496,800.0,0.3991629600077895,0.137739284833237
1000.0,0.3652061710279842,0.24433835958683026,1000.0,0.47470671945862286,0.21882462164423758,1000.0,0.39512451125081005,0.1404483371787265
1200.0,0.35624952118161624,0.24559495396571887,1200.0,0.4699701853060739,0.2215816135195369,1200.0,0.3878157647858227,0.12448238339594768
1400.0,0.3514310051056101,0.2454371944790063,1400.0,0.4671796797817799,0.22358116990432036,1400.0,0.36093429640097263,0.08865359623306673
1600.0,0.3002170035078203,0.14463297845710318,1600.0,0.44160493561872444,0.2238081954567214,1600.0,0.3605543372618786,0.08863978774422245
1800.0,0.29536152425520046,0.14729146364235732,1800.0,0.4406874654877601,0.22400680462572747,1800.0,0.36018258845943596,0.08849738405711764
2000.0,0.2721923985805552,0.14056126307505054,2000.0,0.4385551089751389,0.2255384030607774,2000.0,0.34421624349142627,0.0861556065960095
