Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
0,0.342483,0.700003,2.416628,-0.446636,-0.016344,-0.000000,0
1,0.584775,0.876899,0.847362,-0.445776,-2.703423,-0.000000,0
2,0.994456,0.634034,4.467241,-0.000000,-2.898749,-0.000000,0
3,0.706534,1.351147,1.980840,-0.233579,-2.027695,-0.000000,0
4,0.650595,0.950528,0.483512,-0.334128,-0.114168,-0.000000,0
5,0.437173,0.803986,1.485034,-0.414378,-0.095174,-0.000000,0
6,0.820903,0.799644,0.613254,-0.000132,-2.259618,-0.000000,0
7,0.552740,1.195870,2.003495,-0.433131,-0.072700,-0.000000,0
8,0.754686,1.978317,0.264775,-0.026958,-2.099057,-0.000000,0
9,0.934140,1.265425,1.556483,-0.000000,-2.678115,-0.000000,0
10,0.315455,1.937257,3.943573,-0.064320,-1.111398,-0.000000,0
11,0.234149,0.732291,1.644489,-0.178227,-0.874743,-0.000000,0
12,0.441812,1.921783,3.625969,-0.268240,-0.097182,-0.000000,0
13,0.363382,1.499947,3.435991,-0.286546,-0.009483,-0.000000,0
14,0.404991,1.312374,0.638717,-0.005222,-1.375678,-0.000000,0
15,0.738008,0.841780,1.146802,-0.000418,-2.078207,-0.000000,0
16,0.893278,0.935350,1.289335,-0.000000,-2.494665,-0.000000,0
17,0.966694,1.384424,3.094660,-0.000000,-2.546967,-0.000000,0
18,0.286479,1.471596,2.774466,-0.010125,-1.068790,-0.000000,0
19,0.597456,1.722321,2.185467,-0.177907,-0.059451,-0.000000,0
20,0.272525,1.249304,1.008073,-0.000468,-1.068924,-0.000000,0
21,0.620575,1.130703,3.272655,-0.000000,-1.858850,-0.000000,0
22,0.500658,1.886253,0.093427,-0.000277,-1.622714,-0.000000,0
23,0.787826,1.097542,2.896270,-0.000000,-2.192064,-0.000000,0
24,0.683054,0.678968,1.873716,-0.000000,-1.994256,-0.000000,0
25,0.863214,1.837693,3.535630,-0.000000,-2.340830,-0.000000,0
26,0.914204,0.581920,2.263598,-0.000000,-2.504312,-0.000000,0
27,0.154733,0.988548,2.748745,-0.001352,-0.727764,-0.000000,0
28,0.167820,0.532643,4.119428,-0.001692,-0.713083,-0.000000,0
29,0.238445,1.792607,3.172090,-0.001297,-0.972743,-0.000000,0
30,0.546939,1.158211,4.257578,-0.000000,-1.671618,-0.000000,0
31,0.383087,1.698027,0.210331,-0.000106,-1.353395,-0.000000,0
32,0.505562,1.632853,4.563361,-0.000000,-1.569187,-0.000000,0
33,0.800528,1.561680,3.862149,-0.000000,-2.110932,-0.000000,0
34,0.875604,0.570678,4.176240,-0.000000,-2.497327,-0.000000,0
35,0.210145,1.741996,2.606628,-0.000173,-0.919806,-0.000000,0
36,0.110522,1.610835,4.803116,-0.000197,-0.611913,-0.000000,0
37,0.464425,1.042595,4.636075,-0.000000,-1.466893,-0.000000,0
38,0.717584,1.545823,4.995957,-0.000000,-1.938359,-0.000000,0
39,0.134821,1.429839,0.986676,-0.000004,-0.807210,-0.000000,0
40,0.584775,0.876899,0.847362,-0.445776,-2.703423,-0.000000,0
41,0.994456,0.634034,4.467241,-0.000000,-2.898749,-0.000000,0
42,0.992911,0.732291,1.405336,-0.000000,-2.882239,-11.254015,0
43,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015,1
44,0.915343,0.616515,0.078420,-0.000000,-2.611988,-11.254015,0
45,0.754686,1.986082,0.264775,-0.026001,-2.099736,-11.254015,0
46,0.820903,0.652987,0.613254,-0.000000,-2.249062,-11.254015,0
47,0.582738,0.876899,0.847362,-0.413344,-2.086045,-11.254015,0
48,0.820903,0.799644,0.613254,-0.000132,-2.259618,-0.000000,0
49,0.754686,1.978317,0.264775,-0.026958,-2.099057,-0.000000,0
50,0.934140,1.265425,1.556483,-0.000000,-2.678115,-0.000000,0
51,0.989565,0.634034,4.467241,-0.000000,-2.880915,-11.254015,0
52,0.989454,0.650213,3.042382,-0.000000,-2.620964,-11.254015,0
53,0.959287,1.368259,4.519519,-0.000000,-2.769337,-11.254015,0
54,0.342483,0.700003,2.416628,-0.446636,-0.016344,-0.000000,0
55,0.437173,0.803986,1.485034,-0.414378,-0.095174,-0.000000,0
56,0.552740,1.195870,2.003495,-0.433131,-0.072700,-0.000000,0
57,0.342483,0.700461,2.416628,-0.446562,-0.016344,-11.254015,0
58,0.549753,1.188380,2.003495,-0.430653,-0.069989,-11.254015,0
59,0.966694,1.371156,3.094660,-0.000000,-2.546967,-11.254015,0
60,0.767738,1.097542,3.361935,-0.000000,-2.087889,-11.254015,0
61,0.706534,1.351147,1.980840,-0.233579,-2.027695,-0.000000,0
62,0.584775,1.698207,0.847362,-0.043795,-1.785711,-11.254015,0
63,0.440068,1.384424,1.486779,-0.084012,-1.430470,-11.254015,0
64,0.751874,1.351147,1.980840,-0.015574,-2.084678,-11.254015,0
65,0.357818,1.471596,2.774466,-0.122968,-1.225267,-11.254015,0
66,0.582609,0.884388,0.847362,-0.376820,-0.253234,-11.254015,0
67,0.963271,0.803986,3.092915,-0.000000,-2.533529,-11.254015,0
68,0.650595,0.950528,0.483512,-0.334128,-0.114168,-0.000000,0
69,0.966694,1.384424,3.094660,-0.000000,-2.546967,-0.000000,0
70,0.552740,1.216675,2.113740,-0.406670,-0.048354,-11.254015,0
71,0.440279,1.921783,3.625969,-0.261930,-0.092105,-11.254015,0
72,0.893278,0.935350,1.289335,-0.000000,-2.494665,-0.000000,0
73,0.315455,1.937257,3.943573,-0.064320,-1.111398,-0.000000,0
74,0.470022,1.038290,0.847362,-0.211161,-0.189563,-11.254015,0
75,0.234149,0.732291,1.644489,-0.178227,-0.874743,-0.000000,0
76,0.223055,0.634034,4.703957,-0.038042,-0.837901,-11.254015,0
77,0.459201,1.741996,4.504747,-0.010883,-1.467570,-11.254015,0
78,0.597456,0.901013,2.185467,-0.000729,-1.801503,-11.254015,0
79,0.738008,0.841780,1.146802,-0.000418,-2.078207,-0.000000,0
80,0.994456,0.634034,4.467241,-0.000000,-2.898749,-0.000000,0
81,0.992911,0.732291,1.405336,-0.000000,-2.882239,-11.254015,0
82,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015,1
83,0.915343,0.616515,0.078420,-0.000000,-2.611988,-11.254015,0
84,0.754686,1.986082,0.264775,-0.026001,-2.099736,-11.254015,0
85,0.820903,0.652987,0.613254,-0.000000,-2.249062,-11.254015,0
86,0.582738,0.876899,0.847362,-0.413344,-2.086045,-11.254015,0
87,0.992911,1.205638,1.384857,-0.000000,-2.879118,-9.270482,0
88,0.379116,0.700461,2.183687,-0.981764,-1.260906,-9.270482,1
89,0.584987,0.876899,0.847362,-0.447966,-2.703486,-9.270482,0
90,0.345449,0.699415,2.416628,-0.997443,-1.166084,-9.270482,1
91,0.979266,0.884388,0.847362,-0.000000,-2.841153,-9.270482,0
92,0.582738,0.807982,1.137749,-0.663895,-1.772487,-9.270482,0
93,0.989565,0.634034,4.467241,-0.000000,-2.880915,-11.254015,0
94,0.989454,0.650213,3.042382,-0.000000,-2.620964,-11.254015,0
95,0.959287,1.368259,4.519519,-0.000000,-2.769337,-11.254015,0
96,0.992911,0.732291,1.486946,-0.000000,-2.882239,-9.270482,0
97,0.342483,0.700461,2.416628,-0.446562,-0.016344,-11.254015,0
98,0.549753,1.188380,2.003495,-0.430653,-0.069989,-11.254015,0
99,0.966694,1.371156,3.094660,-0.000000,-2.546967,-11.254015,0
100,0.767738,1.097542,3.361935,-0.000000,-2.087889,-11.254015,0
101,0.584775,1.698207,0.847362,-0.043795,-1.785711,-11.254015,0
102,0.440068,1.384424,1.486779,-0.084012,-1.430470,-11.254015,0
103,0.751874,1.351147,1.980840,-0.015574,-2.084678,-11.254015,0
104,0.357818,1.471596,2.774466,-0.122968,-1.225267,-11.254015,0
105,0.582609,0.884388,0.847362,-0.376820,-0.253234,-11.254015,0
106,0.584775,0.876899,0.847362,-0.445776,-2.703423,-0.000000,0
107,0.820903,0.942544,0.613254,-0.072990,-2.261889,-9.270482,0
108,0.893278,1.019764,1.289335,-0.000000,-2.499324,-9.270482,0
109,0.824869,0.799644,0.695329,-0.000026,-2.269307,-9.270482,0
110,0.342483,0.679199,2.411341,-0.982767,-1.161066,-9.270482,1
111,0.989004,1.379995,1.980840,-0.000000,-2.800170,-9.270482,0
112,0.357818,1.462944,2.774466,-0.128617,-1.223526,-9.270482,0
113,0.552740,1.216675,2.113740,-0.406670,-0.048354,-11.254015,0
114,0.437173,0.872902,1.481072,-0.468168,-0.026647,-9.270482,0
115,0.989915,0.634034,4.385037,-0.000000,-2.881583,-9.270482,0
116,0.552740,1.195870,2.003495,-0.433131,-0.072700,-0.000000,0
117,0.934140,1.265425,1.556483,-0.000000,-2.678115,-0.000000,0
118,0.966694,1.384424,3.145013,-0.000000,-2.541901,-9.270482,0
119,0.223055,0.634034,4.703957,-0.038042,-0.837901,-11.254015,0
120,0.994456,0.634034,4.467241,-0.000000,-2.898749,-0.000000,0
121,0.992911,0.732291,1.405336,-0.000000,-2.882239,-11.254015,0
122,0.342483,0.679199,2.416628,-0.982767,-1.161066,-11.254015,1
123,0.915343,0.616515,0.078420,-0.000000,-2.611988,-11.254015,0
124,0.754686,1.986082,0.264775,-0.026001,-2.099736,-11.254015,0
125,0.820903,0.652987,0.613254,-0.000000,-2.249062,-11.254015,0
126,0.582738,0.876899,0.847362,-0.413344,-2.086045,-11.254015,0
127,0.992911,1.205638,1.384857,-0.000000,-2.879118,-9.270482,0
128,0.379116,0.700461,2.183687,-0.981764,-1.260906,-9.270482,1
