Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
0,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
1,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
2,0.586246,1.803838,3.063800,-0.931653,-1.773525,-0.000000
3,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
4,0.565800,0.781855,0.596859,-0.987643,-2.646910,-11.042061
5,0.321953,0.892239,4.126514,-0.991282,-1.106963,-11.042061
6,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
7,0.769075,1.309566,1.389416,-0.963258,-2.095380,-11.042061
8,0.586246,1.803838,3.063800,-0.931653,-1.773525,-0.000000
9,0.592766,0.815601,1.036936,-0.817097,-1.786308,-11.042061
10,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
11,0.565800,0.781855,0.596859,-0.987643,-2.646910,-11.042061
12,0.321953,0.892239,4.126514,-0.991282,-1.106963,-11.042061
13,0.563896,0.782301,0.560666,-0.990464,-2.635468,-8.609636
14,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
15,0.769075,1.309566,1.389416,-0.963258,-2.095380,-11.042061
16,0.339535,0.642189,2.282000,-0.989371,-1.154814,-8.609636
17,0.321953,0.892239,4.172691,-0.989475,-1.106963,-8.609636
18,0.562844,0.778893,0.530179,-0.962339,-2.634355,-8.609636
19,0.592766,0.815601,1.036936,-0.817097,-1.786308,-11.042061
20,0.769075,1.309566,1.407330,-0.940608,-2.095380,-8.609636
21,0.586246,1.803838,3.063800,-0.931653,-1.773525,-0.000000
22,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
23,0.565800,0.781855,0.596859,-0.987643,-2.646910,-11.042061
24,0.321953,0.892239,4.126514,-0.991282,-1.106963,-11.042061
25,0.563896,0.782301,0.560666,-0.990464,-2.635468,-8.609636
26,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
27,0.321385,0.892239,4.109795,-0.996052,-1.105397,-9.383204
28,0.348075,1.363058,4.988279,-0.995770,-1.172960,-9.383204
29,0.769075,1.309566,1.389416,-0.963258,-2.095380,-11.042061
30,0.565800,0.781855,0.553783,-0.986966,-2.646910,-9.383204
31,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
32,0.339535,0.642189,2.282000,-0.989371,-1.154814,-8.609636
33,0.321953,0.892280,4.130661,-0.990926,-1.106963,-9.383204
34,0.592766,0.815601,1.036936,-0.817097,-1.786308,-11.042061
35,0.562844,0.778893,0.530179,-0.962339,-2.634355,-8.609636
36,0.769648,1.309566,1.389273,-0.946059,-2.095951,-9.383204
37,0.564072,0.782301,0.470711,-0.901706,-2.639592,-9.383204
38,0.321953,0.892239,4.172691,-0.989475,-1.106963,-8.609636
39,0.769075,1.310561,1.407702,-0.943095,-2.095380,-9.383204
40,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
41,0.565800,0.781855,0.596859,-0.987643,-2.646910,-11.042061
42,0.563896,0.782301,0.560666,-0.990464,-2.635468,-8.609636
43,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
44,0.348075,1.363249,4.980198,-0.995787,-1.172960,-11.815735
45,0.321953,0.892239,3.938419,-0.998178,-1.106963,-11.815735
46,0.566895,0.781751,0.602457,-0.987251,-2.652643,-11.815735
47,0.348075,1.363058,4.988279,-0.995770,-1.172960,-9.383204
48,0.336737,0.639330,2.282000,-0.995063,-1.147597,-11.815735
49,0.347507,1.363058,4.987208,-0.994664,-1.171594,-11.815735
50,0.321385,0.892241,4.109795,-0.996053,-1.105397,-11.815735
51,0.565800,0.781855,0.553783,-0.986966,-2.646910,-9.383204
52,0.562507,0.778884,0.530803,-0.978064,-2.630405,-11.815735
53,0.564098,0.778893,0.425619,-0.877575,-2.639504,-11.815735
54,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
55,0.339535,0.642189,2.282000,-0.989371,-1.154814,-8.609636
56,0.335198,1.358597,4.983799,-0.991591,-1.142689,-11.815735
57,0.321385,0.892239,4.109795,-0.996052,-1.105397,-9.383204
58,0.321385,0.892047,4.110856,-0.995692,-1.105397,-11.815735
59,0.562844,0.778893,0.530179,-0.962339,-2.634355,-8.609636
60,0.564072,0.782301,0.470711,-0.901706,-2.639592,-9.383204
61,0.769075,1.309566,1.389416,-0.963258,-2.095380,-11.042061
62,0.769648,1.309566,1.389273,-0.946059,-2.095951,-9.383204
