Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
0,0.567227,0.782290,0.549886,-0.994527,-2.653049,-13.572370,1
1,0.563988,0.782290,0.605345,-0.997627,-2.635431,-12.932554,1
2,0.348075,1.363058,4.989019,-0.995770,-1.172960,-13.101654,1
3,0.948469,1.782158,0.939017,-0.550176,-4.726064,-13.572370,0
4,0.949109,1.774160,0.938089,-0.614873,-4.727468,-10.269871,0
5,0.603188,0.876487,1.045420,-0.990429,-2.729576,-11.704562,1
6,0.571867,0.776825,0.547558,-0.991589,-2.669443,-11.433821,1
7,0.567227,0.782290,0.605299,-0.995518,-2.653049,-13.101654,1
8,0.572056,0.781847,0.547558,-0.999349,-2.669211,-10.137164,1
9,0.609619,0.768998,0.100087,-0.995773,-2.775522,-10.137164,1
10,0.629356,0.778891,0.048367,-0.974604,-2.886335,-12.132852,1
11,0.629314,0.778891,0.091650,-0.982938,-2.804780,-12.132852,1
12,0.629356,0.778891,0.095583,-0.986935,-2.804777,-12.132852,1
13,0.564098,0.778246,0.605391,-0.999866,-2.635912,-12.132852,1
14,0.987683,1.858859,0.904012,-0.527774,-4.920566,-12.132852,0
15,0.629310,0.778891,0.094561,-0.982938,-2.804780,-12.132852,1
16,0.629314,0.778893,0.047115,-0.983815,-2.886337,-11.164291,1
17,0.346529,1.363058,4.997545,-0.998906,-1.169127,-12.481373,1
18,0.951047,1.782225,0.938259,-0.611356,-4.759495,-12.481373,0
19,0.999890,1.898763,0.904389,-0.454451,-4.952507,-12.932859,0
20,0.998744,1.886389,0.909644,-0.504656,-4.949335,-12.932859,0
21,0.950977,1.782225,0.938259,-0.610445,-4.759495,-12.932859,0
22,0.346549,1.363079,4.989038,-0.999580,-1.169097,-13.627846,1
23,0.950029,1.853854,1.008412,-0.406788,-4.626818,-13.627846,0
24,0.572056,0.981177,0.547632,-0.759403,-3.417153,-13.627846,1
25,0.571867,0.787078,0.547558,-0.991353,-2.669443,-13.627846,1
26,0.635675,0.778904,0.047115,-0.965225,-2.813622,-13.627846,1
27,0.346549,1.363186,4.997545,-0.998991,-1.169097,-13.627846,1
28,0.346549,1.363058,4.988279,-0.999578,-1.169097,-12.932554,1
29,0.999890,1.898763,0.907616,-0.454451,-4.952507,-11.164291,0
30,0.998744,1.886389,0.906217,-0.504656,-4.949335,-10.081445,0
31,0.948469,1.782158,0.766543,-0.136510,-3.755269,-13.627846,0
32,0.321953,0.892239,3.904923,-0.999272,-1.106963,-13.101654,1
33,0.629314,0.797395,0.047340,-0.754384,-2.886337,-12.132852,1
34,0.572056,0.986099,0.556775,-0.718876,-3.417153,-11.164291,1
35,0.571853,0.989975,0.549898,-0.619312,-3.376524,-12.481373,0
36,0.355478,1.503965,4.876271,-0.975724,-1.198861,-13.627846,1
37,0.556980,0.782290,0.605345,-0.956234,-2.612234,-13.627846,1
38,0.564070,0.768998,0.069433,-0.398370,-2.702040,-13.627846,0
39,0.560866,0.782279,0.549886,-0.947116,-2.623948,-13.627846,1
