Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.348882,0.923076,3.534723,-0.996226,-1.175625
1,0.310572,0.969888,4.444768,-0.986921,-1.081497
2,0.348882,0.923076,3.534723,-0.996226,-1.175625
3,0.420100,0.698332,1.253229,-0.975353,-2.360497
4,0.434152,0.664331,1.303104,-0.987123,-1.398671
5,0.430707,0.672274,0.503661,-0.830711,-2.405292
6,0.399797,0.680675,1.254957,-0.978149,-2.348274
7,0.349289,0.968711,4.012125,-0.986606,-1.178055
8,0.310572,0.969888,4.574730,-0.986990,-1.081497
9,0.471058,0.713224,1.389386,-0.910775,-1.502640
10,0.310572,0.951823,4.444768,-0.986958,-1.081497
11,0.310572,0.969888,4.444768,-0.986921,-1.081497
12,0.420100,0.698332,1.253229,-0.975353,-2.360497
13,0.430707,0.672274,0.503661,-0.830711,-2.405292
14,0.399797,0.680675,1.254957,-0.978149,-2.348274
15,0.401836,0.680675,1.254957,-0.968677,-2.360709
16,0.471058,0.713224,1.175135,-0.988373,-1.502640
17,0.348882,0.923076,3.520166,-0.996532,-1.175625
18,0.429508,0.672274,0.676272,-0.945868,-2.312100
19,0.434152,0.664331,1.303104,-0.987123,-1.398671
20,0.348882,0.923076,3.534723,-0.996226,-1.175625
21,0.471058,0.713224,1.389386,-0.910775,-1.502640
22,0.349289,0.968711,4.012125,-0.986606,-1.178055
23,0.348882,0.855201,3.534723,-0.987244,-1.175625
24,0.311772,0.969888,4.444768,-0.989789,-1.082676
25,0.308533,0.969888,4.444768,-0.988011,-1.078895
26,0.471058,0.713224,1.458463,-0.812071,-1.502640
27,0.420100,0.698332,1.253229,-0.975353,-2.360497
28,0.399797,0.680675,1.254957,-0.978149,-2.348274
29,0.401836,0.680675,1.254957,-0.968677,-2.360709
30,0.471058,0.713224,1.175135,-0.988373,-1.502640
31,0.348882,0.923076,3.520166,-0.996532,-1.175625
32,0.471058,0.713224,0.688993,-0.966397,-2.462407
33,0.361309,1.089711,3.471894,-0.967473,-1.930541
34,0.434152,0.664331,1.303104,-0.987123,-1.398671
35,0.348882,0.923076,3.534723,-0.996226,-1.175625
36,0.430707,0.672274,0.503661,-0.830711,-2.405292
37,0.429508,0.672274,0.676272,-0.945868,-2.312100
38,0.469676,0.672274,0.503661,-0.932518,-2.394527
39,0.311772,0.969935,4.445781,-0.989790,-1.082676
40,0.429508,0.672274,1.376664,-0.923555,-1.901704
41,0.349289,0.968711,4.012125,-0.986606,-1.178055
42,0.432089,0.713224,1.389386,-0.920225,-2.242379
43,0.429508,0.688373,0.678272,-0.763838,-2.391159
44,0.348882,0.855201,3.534723,-0.987244,-1.175625
45,0.420100,0.698332,1.253229,-0.975353,-2.360497
46,0.401836,0.680675,1.254957,-0.968677,-2.360709
47,0.471058,0.713224,0.688993,-0.966397,-2.462407
48,0.357154,0.923076,3.520166,-0.998908,-1.203501
49,0.402746,0.680675,1.164702,-0.998043,-2.353535
50,0.430707,0.672274,0.503661,-0.830711,-2.405292
51,0.469676,0.672274,0.503661,-0.932518,-2.394527
52,0.432578,0.718339,1.260470,-0.964101,-2.364372
53,0.430707,0.672274,0.502351,-0.830711,-2.405292
54,0.399797,0.680675,1.254957,-0.978149,-2.348274
55,0.471058,0.713224,1.175135,-0.988373,-1.502640
56,0.348882,0.923076,3.520166,-0.996532,-1.175625
57,0.348882,0.923076,3.534723,-0.996226,-1.175625
58,0.361309,1.089711,3.471894,-0.967473,-1.930541
59,0.471058,0.713224,1.303019,-0.976883,-1.502640
60,0.429508,0.688373,0.678272,-0.763838,-2.391159
61,0.429508,0.672274,0.676272,-0.945868,-2.312100
62,0.401836,0.680675,1.254957,-0.968677,-2.360709
63,0.471058,0.713224,0.688993,-0.966397,-2.462407
64,0.357154,0.923076,3.520166,-0.998908,-1.203501
65,0.402746,0.680675,1.164702,-0.998043,-2.353535
66,0.420100,0.690817,1.253229,-0.976029,-2.360497
67,0.430707,0.672274,0.503661,-0.830711,-2.405292
68,0.469676,0.672274,0.503661,-0.932518,-2.394527
69,0.432578,0.718339,1.260470,-0.964101,-2.364372
70,0.430707,0.672274,0.502351,-0.830711,-2.405292
71,0.399797,0.680675,1.254957,-0.978149,-2.348274
72,0.348882,0.923076,3.520166,-0.996532,-1.175625
73,0.471058,0.801028,1.624793,-0.989339,-1.502640
74,0.420100,0.698332,1.253229,-0.975353,-2.360497
75,0.348882,0.923076,3.534723,-0.996226,-1.175625
76,0.361309,1.089711,3.471894,-0.967473,-1.930541
77,0.471058,0.713224,0.688993,-0.966397,-2.462407
78,0.357154,0.923076,3.520166,-0.998908,-1.203501
79,0.402746,0.680675,1.164702,-0.998043,-2.353535
80,0.424596,0.718339,1.260470,-0.985234,-2.376045
81,0.436776,0.842564,0.870820,-0.849351,-2.781730
82,0.470628,0.713497,1.255110,-0.998091,-1.500918
83,0.469676,0.672274,0.503661,-0.932518,-2.394527
84,0.446189,0.727400,1.003126,-0.925024,-2.433769
85,0.471058,0.801028,1.624793,-0.989339,-1.502640
86,0.401836,0.680675,1.254957,-0.968677,-2.360709
87,0.420100,0.690817,1.253229,-0.976029,-2.360497
88,0.432578,0.718339,1.260470,-0.964101,-2.364372
89,0.403444,0.680675,1.074433,-0.982828,-2.359591
90,0.348882,0.923076,3.520166,-0.996532,-1.175625
91,0.348882,0.923076,3.534723,-0.996226,-1.175625
92,0.418747,0.687347,1.254957,-0.981923,-2.358296
93,0.430707,0.672274,0.503661,-0.830711,-2.405292
94,0.471058,0.713224,0.688993,-0.966397,-2.462407
95,0.436776,0.842564,0.870820,-0.849351,-2.781730
96,0.433652,0.718339,1.260470,-0.999981,-2.389604
97,0.469676,0.672274,0.503661,-0.932518,-2.394527
98,0.446189,0.727400,1.003126,-0.925024,-2.433769
99,0.486274,0.800066,1.161783,-0.759015,-2.552261
100,0.357154,0.923076,3.520166,-0.998908,-1.203501
101,0.405326,0.687347,1.254957,-0.998542,-2.388024
102,0.430707,0.672274,0.503661,-0.830711,-2.405292
103,0.402746,0.680675,1.164702,-0.998043,-2.353535
104,0.424596,0.718339,1.260470,-0.985234,-2.376045
105,0.470628,0.713497,1.255110,-0.998091,-1.500918
106,0.348882,0.923076,3.520166,-0.996532,-1.175625
107,0.471058,0.713224,0.688993,-0.966397,-2.462407
108,0.436776,0.842564,0.870820,-0.849351,-2.781730
109,0.433652,0.718339,1.260470,-0.999981,-2.389604
110,0.455773,0.729701,0.930207,-0.938942,-2.468924
111,0.486274,0.800066,1.161783,-0.759015,-2.552261
112,0.433652,0.718406,1.286163,-0.999568,-2.389604
113,0.469676,0.672274,0.503661,-0.932518,-2.394527
114,0.446189,0.727400,1.003126,-0.925024,-2.433769
115,0.357154,0.923076,3.520166,-0.998908,-1.203501
116,0.405326,0.687347,1.254957,-0.998542,-2.388024
117,0.470628,0.717344,1.229297,-0.998826,-1.500918
118,0.430707,0.672274,0.503661,-0.830711,-2.405292
119,0.471058,0.713224,0.688993,-0.966397,-2.462407
120,0.433652,0.718339,1.260470,-0.999981,-2.389604
121,0.455773,0.729701,0.930207,-0.938942,-2.468924
122,0.461681,0.713224,0.688993,-0.902421,-2.505744
123,0.442279,0.672274,0.704759,-0.967575,-2.400934
124,0.437048,0.842564,0.870820,-0.849913,-2.782834
125,0.433652,0.718406,1.286163,-0.999568,-2.389604
126,0.446189,0.655477,1.003126,-0.999786,-1.432455
127,0.446189,0.727400,1.003126,-0.925024,-2.433769
128,0.469676,0.672274,0.503661,-0.932518,-2.394527
129,0.436776,0.842564,0.870820,-0.849351,-2.781730
130,0.357154,0.923076,3.520166,-0.998908,-1.203501
131,0.405326,0.687347,1.254957,-0.998542,-2.388024
132,0.470628,0.717344,1.229297,-0.998826,-1.500918
133,0.486274,0.800066,1.161783,-0.759015,-2.552261
134,0.430707,0.672274,0.503661,-0.830711,-2.405292
135,0.433652,0.718339,1.260470,-0.999981,-2.389604
136,0.437048,0.842564,0.870820,-0.849913,-2.782834
137,0.424784,0.840339,1.021723,-0.854964,-2.685751
138,0.488286,0.713224,0.688993,-0.979824,-2.561999
139,0.433652,0.718406,1.286163,-0.999568,-2.389604
140,0.446189,0.655477,1.003126,-0.999786,-1.432455
141,0.436776,0.842564,0.870820,-0.849351,-2.781730
142,0.471058,0.713224,0.688993,-0.966397,-2.462407
143,0.461681,0.713224,0.688993,-0.902421,-2.505744
144,0.442279,0.672274,0.704759,-0.967575,-2.400934
145,0.455851,0.729701,0.930207,-0.942367,-2.469758
146,0.357154,0.923076,3.520166,-0.998908,-1.203501
147,0.470628,0.717344,1.229297,-0.998826,-1.500918
148,0.405326,0.687347,1.254957,-0.998542,-2.388024
149,0.486274,0.800066,1.161783,-0.759015,-2.552261
150,0.460325,0.713224,0.695967,-0.900586,-2.496936
151,0.455773,0.729701,0.930207,-0.938942,-2.468924
152,0.433652,0.718339,1.260470,-0.999981,-2.389604
153,0.437048,0.842564,0.870820,-0.849913,-2.782834
154,0.424784,0.840339,1.021723,-0.854964,-2.685751
155,0.488286,0.713224,0.688993,-0.979824,-2.561999
156,0.433652,0.718406,1.286163,-0.999568,-2.389604
157,0.446189,0.655477,1.003126,-0.999786,-1.432455
158,0.436776,0.842564,0.870820,-0.849351,-2.781730
159,0.471058,0.713224,0.688993,-0.966397,-2.462407
160,0.442279,0.672274,0.704759,-0.967575,-2.400934
161,0.455851,0.729701,0.930207,-0.942367,-2.469758
162,0.486274,0.798953,1.258868,-0.927869,-2.552261
163,0.357154,0.923076,3.520166,-0.998908,-1.203501
164,0.470628,0.717344,1.229297,-0.998826,-1.500918
165,0.405326,0.687347,1.254957,-0.998542,-2.388024
166,0.430569,0.835696,0.867986,-0.764787,-2.723087
167,0.461681,0.713224,0.688993,-0.902421,-2.505744
168,0.460325,0.680474,0.695967,-0.946417,-2.413081
169,0.433652,0.718339,1.260470,-0.999981,-2.389604
170,0.437048,0.842564,0.870820,-0.849913,-2.782834
171,0.424784,0.840339,1.021723,-0.854964,-2.685751
172,0.488286,0.713224,0.688993,-0.979824,-2.561999
