Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.908687,1.377864,0.211640,-0.545890,-4.602901,0
1,0.456585,1.377399,3.634237,-0.996538,-1.471368,1
2,0.621073,1.130037,1.795755,-0.976542,-1.867042,1
3,0.370536,0.650244,0.972322,-0.771658,-2.261152,1
4,0.455294,1.377399,3.630703,-0.997959,-1.470379,1
5,0.794690,1.387239,1.437510,-0.799605,-2.158837,1
6,0.337657,0.799748,3.536923,-0.999488,-1.152397,1
7,0.621068,1.130037,0.884997,-0.666265,-3.494509,0
8,0.590606,0.884374,0.987680,-0.706377,-2.629795,1
9,0.620205,1.013146,1.437510,-0.989435,-1.866786,1
10,0.621073,1.129959,1.795755,-0.976510,-1.867042,1
11,0.370536,0.650244,1.837297,-0.997031,-1.245212,1
12,0.279024,0.778165,4.169703,-0.998303,-0.993210,0
13,0.588550,1.078592,0.893199,-0.637759,-3.421175,0
14,0.588686,1.086837,0.855851,-0.450506,-3.443006,0
15,0.456585,1.377399,3.476250,-0.983594,-1.472459,1
16,0.340175,0.795496,1.902097,-0.852569,-1.819973,1
17,0.621073,1.087440,1.795755,-0.828610,-1.867042,1
18,0.345645,0.842320,3.406942,-0.995717,-1.166041,1
19,0.346936,0.842320,3.410476,-0.995595,-1.170415,1
20,0.588822,1.086837,0.893199,-0.543805,-3.415060,0
21,0.804192,1.387408,1.437510,-0.624069,-2.196294,0
22,0.587359,1.086388,0.893199,-0.524753,-3.416509,0
23,0.348036,0.937016,2.708412,-0.641330,-1.858755,0
24,0.381524,0.937016,3.536923,-0.811331,-1.262861,1
25,0.340175,0.795496,1.876952,-0.805052,-1.819973,1
26,0.335689,0.697134,3.060449,-0.951613,-1.143992,1
27,0.335689,0.705379,3.060449,-0.980505,-1.143958,1
28,0.346422,0.703162,2.942029,-0.906581,-1.169209,1
29,0.588686,1.086837,0.893199,-0.542895,-3.414756,0
30,0.587359,1.086837,0.893199,-0.519306,-3.416509,0
31,0.382486,0.949210,3.596308,-0.721385,-1.264573,1
32,0.576385,0.752133,0.883220,-0.653628,-1.768212,0
33,0.348478,0.703162,3.036511,-0.723643,-1.173010,1
34,0.335689,0.705379,3.097796,-0.967341,-1.143958,1
35,0.588550,1.086837,0.893199,-0.540746,-3.413898,0
36,0.276351,0.770673,4.169703,-0.923494,-0.986729,0
37,0.588550,1.086915,0.893199,-0.539804,-3.413898,0
38,0.366473,0.842320,3.406942,-0.704154,-1.232054,1
39,0.289623,0.697134,3.060449,-0.738702,-1.025032,1
