Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.532871,1.918426,3.445686,-0.987501,-1.664878
1,0.489844,0.780861,0.992220,-0.799343,-2.558846
2,0.479822,1.765450,3.864479,-0.958831,-1.530700
3,0.302621,0.960542,4.815857,-0.998788,-1.063746
4,0.802683,0.922693,0.103977,-0.865214,-2.982631
5,0.774267,0.957530,0.562792,-0.941998,-2.663090
6,0.546068,1.105262,2.362550,-0.797460,-1.686249
7,0.428727,1.632616,4.010295,-0.982252,-1.384850
8,0.450600,0.690190,0.826681,-0.970256,-2.435124
9,0.423485,0.761691,2.323392,-0.734351,-1.378293
10,0.763466,0.942977,0.419052,-0.827170,-2.963502
11,0.878035,0.974880,0.143031,-0.912471,-2.964818
12,0.573083,1.521167,2.752412,-0.986439,-1.759629
13,0.443617,1.558783,3.848048,-0.980870,-1.424471
14,0.458470,1.107944,3.082040,-0.977907,-1.473489
15,0.898466,0.982273,0.132153,-0.946401,-2.866186
16,0.594884,0.941301,1.573270,-0.775688,-1.793172
17,0.399561,1.611419,4.598600,-0.947213,-1.317874
18,0.522380,1.023893,2.164108,-0.977743,-1.626416
19,0.356077,1.252069,4.377515,-0.920969,-1.199330
20,0.400597,0.851276,2.891152,-0.871501,-1.320964
21,0.542217,1.555960,3.085154,-0.979303,-1.684377
22,0.335902,1.041329,4.412739,-0.986179,-1.145064
23,0.371663,0.941406,3.191388,-0.922122,-1.246816
24,0.364297,0.813622,2.642224,-0.835820,-1.219658
25,0.363549,0.648155,2.288032,-0.707127,-1.223014
26,0.347709,0.543290,1.566841,-0.857879,-1.171676
27,0.473763,0.630366,0.485663,-0.996884,-1.512141
28,0.722090,1.810751,2.142134,-0.987867,-2.050990
29,0.503139,1.057192,2.282337,-0.999851,-1.570323
30,0.789166,1.313277,1.279574,-0.952727,-2.138186
31,0.360979,1.212669,4.584442,-0.873633,-1.215479
32,0.493803,1.847578,3.411710,-0.741280,-1.565173
33,0.443855,1.781440,4.352779,-0.727622,-1.424967
34,0.584912,1.017303,0.646416,-0.731905,-3.442590
35,0.392900,1.240218,4.065150,-0.996275,-1.291308
36,0.493055,0.822763,1.399842,-0.912673,-2.586106
37,0.490979,0.728337,1.183602,-0.920906,-1.558772
38,0.667394,1.194928,1.751048,-0.728996,-1.949272
39,0.630868,1.964798,2.684320,-0.989383,-1.879069
40,0.425930,0.591769,0.632046,-0.825934,-1.586673
41,0.495872,1.902738,3.833865,-0.802694,-1.569485
42,0.499151,1.980219,3.524840,-0.878590,-1.568756
43,0.793516,1.208019,1.157289,-0.732814,-2.153564
44,0.405483,1.824880,4.722974,-0.964458,-1.340042
45,0.544828,0.848435,1.255216,-0.974748,-2.592707
46,0.488470,1.470890,3.276982,-0.987966,-1.553263
47,0.393114,0.568620,1.015236,-0.861297,-1.293585
48,0.656567,1.161297,1.703171,-0.828710,-1.937761
49,0.598690,1.649776,2.726715,-0.995084,-1.804790
50,0.511388,1.070509,2.346173,-0.978331,-1.590479
51,0.293951,0.714596,3.996729,-0.719396,-1.025296
52,0.375550,1.072889,3.485841,-0.803907,-1.259996
53,0.366689,1.063270,4.129902,-0.846836,-1.233324
54,0.383724,0.956427,2.991628,-0.900868,-1.267792
55,0.416873,1.486192,4.283658,-0.965965,-1.374932
56,0.538183,0.613325,0.139943,-0.825590,-1.840693
57,0.742501,1.005073,0.917462,-0.816716,-2.842124
58,0.443094,1.502897,3.847473,-0.985365,-1.422774
59,0.942246,1.052422,0.266447,-0.748867,-2.668128
60,0.664605,1.703281,2.313029,-0.995559,-1.940258
61,0.608792,0.882089,1.228398,-0.789026,-1.838293
62,0.487883,1.482544,3.230379,-0.940177,-1.550079
63,0.303792,0.753051,3.840981,-0.987858,-1.069792
64,0.674859,1.447682,2.101374,-0.828420,-1.968849
65,0.463635,0.625843,0.892278,-0.856362,-1.477629
66,0.379257,1.269234,4.303836,-0.980549,-1.260826
67,0.809347,1.721162,1.674371,-0.981686,-2.217351
68,0.720143,1.886965,2.341497,-0.722655,-2.050660
69,0.432686,1.774061,4.076581,-0.874519,-1.393020
70,0.372943,1.357869,4.312034,-0.999430,-1.253365
71,0.487301,0.852566,1.983266,-0.783651,-1.550389
72,0.632483,1.067880,1.601921,-0.944126,-1.884839
73,0.465481,1.453832,3.566660,-0.994238,-1.483638
74,0.511322,1.639561,3.454530,-0.918650,-1.590260
75,0.403300,1.218821,3.939631,-0.974100,-1.331266
76,0.311851,0.893922,4.360579,-0.992858,-1.082705
77,0.509410,1.834489,3.397347,-0.994509,-1.585042
78,0.487613,1.594571,3.402000,-0.988965,-1.551315
79,0.402289,1.458754,3.991925,-0.835086,-1.331699
80,0.579987,1.065749,2.017605,-0.860135,-1.771966
81,0.497368,0.720814,0.960775,-0.981125,-1.569477
82,0.463524,0.671936,1.081527,-0.977798,-1.478261
83,0.321117,0.640304,0.771471,-0.990549,-1.602201
84,0.394853,1.951936,4.781883,-0.985238,-1.298830
85,0.511648,1.504322,3.207186,-0.985661,-1.591837
86,0.531692,1.972679,3.389849,-0.982398,-1.660301
87,0.589593,0.662422,0.135170,-0.923047,-2.100630
88,0.341678,1.311723,4.963957,-0.988492,-1.158191
