Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.178164,1.535249,0.109156,-0.000002,-0.942501,0
1,0.782835,0.765728,2.807852,-0.000000,-2.092217,0
2,0.923418,1.790596,1.140087,-0.307873,-0.609350,0
3,0.363832,1.180417,4.904551,-0.040880,-1.216530,0
4,0.953907,1.642588,3.486163,-0.000000,-2.496868,0
5,0.735629,0.680330,0.560716,-0.000083,-2.074515,0
6,0.459865,1.593564,1.818147,-0.090913,-1.480878,0
7,0.888058,1.080186,0.044561,-0.228023,-0.100188,0
8,0.223014,1.379612,0.839006,-0.000040,-0.988688,0
9,0.221001,1.368785,2.859165,-0.001608,-0.910106,0
10,0.796642,1.414665,2.147891,-0.000015,-2.152999,0
11,0.982913,0.810412,0.145561,-0.000026,-2.856548,0
12,0.972291,1.775557,1.044547,-0.247739,-0.152728,0
13,0.606771,1.165960,4.156721,-0.000000,-1.827193,0
14,0.594295,1.630876,1.307629,-0.145238,-0.211830,0
15,0.370176,1.937264,4.390824,-0.309622,-0.059924,0
16,0.265426,0.687331,0.825708,-0.406390,-0.953502,0
17,0.903448,1.378611,4.896471,-0.000000,-2.581774,0
18,0.404664,1.796805,3.210712,-0.383919,-1.334750,0
19,0.779940,1.441144,1.703503,-0.442786,-2.112252,0
20,0.725989,1.624621,3.197703,-0.000000,-2.055082,0
21,0.765152,1.425934,4.486766,-0.000000,-2.002197,0
22,0.579987,1.065749,2.017605,-0.860135,-1.771966,1
23,0.465519,0.948775,3.130251,-0.037993,-1.481388,0
24,0.255315,0.779735,3.830375,-0.379763,-0.071798,0
25,0.180794,0.605722,2.609258,-0.026261,-0.723648,0
26,0.359847,1.947525,4.779696,-0.365533,-0.037521,0
27,0.193001,1.219998,4.040163,-0.010779,-0.794317,0
28,0.130821,0.873164,4.233607,-0.002302,-0.622172,0
29,0.273625,1.524279,3.801930,-0.037104,-0.998439,0
30,0.457953,0.929202,4.929965,-0.000000,-1.460401,0
31,0.577715,1.906002,4.155036,-0.000000,-1.766346,0
32,0.141143,1.026846,0.898933,-0.000038,-0.750736,0
33,0.682671,0.828111,4.796371,-0.000000,-1.872826,0
34,0.659634,1.487790,0.606691,-0.182642,-0.104565,0
35,0.853916,1.133223,2.737040,-0.000000,-2.451048,0
36,0.512289,1.988751,0.527641,-0.000907,-1.627450,0
37,0.256240,1.223022,4.903124,-0.306999,-0.198807,0
38,0.383588,1.923853,1.894277,-0.003580,-1.307885,0
39,0.990080,1.981939,3.619454,-0.000000,-2.615995,0
40,0.677998,0.983516,1.025577,-0.582063,-2.849700,0
41,0.912788,1.732990,2.064078,-0.000000,-2.550736,0
42,0.575873,0.833025,1.282399,-0.670487,-1.766810,0
43,0.178554,1.412571,2.444537,-0.000165,-0.844814,0
44,0.231625,1.705724,3.653978,-0.003158,-0.937081,0
45,0.860387,1.211277,3.650585,-0.000000,-2.307990,0
46,0.847068,1.305489,3.665762,-0.000000,-2.259007,0
47,0.552383,0.537328,2.133824,-0.000000,-1.689382,0
48,0.849806,0.592657,4.433142,-0.000000,-2.270323,0
49,0.567059,0.524180,0.601875,-0.000038,-1.745792,0
50,0.389935,1.620693,3.304908,-0.245482,-0.001202,0
51,0.793014,0.614477,1.739188,-0.000000,-2.196873,0
52,0.515280,0.705161,3.510382,-0.000000,-1.595760,0
53,0.255850,1.928476,1.182403,-0.000027,-1.079685,0
54,0.120326,1.809165,3.407036,-0.000033,-0.689819,0
55,0.406607,1.351785,0.484178,-0.002916,-1.388639,0
56,0.627450,0.786655,4.932750,-0.000000,-1.797889,0
57,0.767562,0.586783,0.262823,-0.000000,-2.093889,0
58,0.176263,1.048643,0.546913,-0.000057,-0.850969,0
59,0.256718,0.544391,4.152853,-0.115483,-0.914067,0
60,0.366524,1.615057,2.310768,-0.022670,-1.266168,0
61,0.864242,0.540310,1.271833,-0.000000,-2.389989,0
62,0.896643,0.533802,0.165760,-0.000000,-2.543422,0
63,0.160932,1.964710,2.658476,-0.000028,-0.832766,0
64,0.675172,1.279417,2.318556,-0.004451,-1.979772,0
65,0.438469,0.836633,3.881775,-0.000000,-1.399770,0
