Attribute,Value
Number Critical Scenarios,75
Number Critical Scenarios (duplicate free),75
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),7
Number Best Scenarios,11
Number Best Scenarios (duplicate free),11
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.64
Ratio Best Critical/Best Scenarios (duplicate free),0.64
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99696  -1.812469]
Input value of critical (first of population of interest),[0.600963 1.804051 2.709918]
