Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
0,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
1,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
2,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
3,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
4,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
5,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
6,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
7,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
8,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
9,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
10,0.640967,0.880090,0.672322,-0.821396,-2.729980,-9.702352
11,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
12,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
13,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
14,0.649485,0.868917,0.673516,-0.952203,-2.827852,-10.167541
15,0.647574,0.880090,0.673516,-0.880505,-2.825869,-10.167541
16,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
17,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
18,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
19,0.649485,0.868917,0.673516,-0.952203,-2.827852,-10.167541
20,0.690321,0.880090,0.673516,-0.959349,-2.685748,-10.258549
21,0.647574,0.880090,0.673516,-0.880505,-2.825869,-10.167541
22,0.406077,0.628206,0.332468,-0.947731,-2.407877,-10.258549
23,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
24,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
25,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
26,0.690321,0.880090,0.673516,-0.959349,-2.685748,-10.258549
27,0.649485,0.868917,0.676736,-0.952203,-2.827852,-10.693596
28,0.649485,0.868917,0.673516,-0.952203,-2.827852,-10.167541
29,0.432061,0.637352,0.332468,-0.986643,-2.344739,-0.000000
30,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
31,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
32,0.649039,0.880090,0.673516,-0.924858,-2.910876,-9.206224
