Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
0,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000,0
1,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000,0
2,0.856704,1.492520,0.655586,-0.294571,-4.037025,-0.000000,0
3,0.630057,1.669067,2.263340,-0.363007,-2.595157,-0.000000,0
4,0.498724,1.012818,0.011408,-0.378860,-1.579097,-0.000000,0
5,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000,0
6,0.996844,1.028514,0.906970,-0.000000,-2.910957,-0.000000,0
7,0.886497,1.417917,1.325308,-0.026181,-2.503774,-0.000000,0
8,0.455710,1.156421,3.711514,-0.048849,-1.469326,-0.000000,0
9,0.332209,0.962250,1.400579,-0.166163,-1.164080,-0.000000,0
10,0.697610,1.298211,1.156588,-0.410554,-0.611060,-0.000000,0
11,0.597283,0.785111,0.449365,-0.636267,-0.050467,-0.000000,0
12,0.967694,1.794226,2.642649,-0.000000,-2.682516,-0.000000,0
13,0.545337,1.540265,0.287536,-0.009278,-1.696228,-0.000000,0
14,0.780902,1.077208,2.583345,-0.000000,-2.171541,-0.000000,0
15,0.555766,1.463534,3.570744,-0.000141,-1.711506,-0.000000,0
16,0.655528,0.571301,1.118830,-0.000000,-1.937646,-0.000000,0
17,0.389000,1.556329,1.701566,-0.014026,-1.312870,-0.000000,0
18,0.173413,0.589519,2.775912,-0.018098,-0.717625,-0.000000,0
19,0.395365,1.363853,3.355469,-0.265926,-0.053799,-0.000000,0
20,0.809135,1.956574,0.616545,-0.137864,-0.147003,-0.000000,0
21,0.243630,0.652827,1.882594,-0.428178,-0.025013,-0.000000,0
22,0.931111,1.888157,4.688462,-0.000000,-2.673742,-0.000000,0
23,0.952377,0.641271,1.784736,-0.000000,-2.640274,-0.000000,0
24,0.416167,0.721786,2.929691,-0.004833,-1.375121,-0.000000,0
25,0.746155,1.231632,3.496750,-0.000000,-2.064018,-0.000000,0
26,0.476302,1.980840,4.895418,-0.000009,-1.501982,-0.000000,0
27,0.573607,1.131773,4.329814,-0.000000,-1.755411,-0.000000,0
28,0.894509,0.725083,4.457369,-0.000000,-2.551779,-0.000000,0
29,0.822819,1.252208,4.050254,-0.000000,-2.164562,-0.000000,0
30,0.278103,1.720579,2.202069,-0.000693,-1.068756,-0.000000,0
31,0.231529,1.823765,3.005508,-0.000709,-0.948078,-0.000000,0
32,0.280516,1.853452,1.609740,-0.000153,-1.089127,-0.000000,0
33,0.678489,0.809188,4.129171,-0.000000,-1.869253,-0.000000,0
34,0.729112,0.946281,4.763943,-0.000000,-1.958655,-0.000000,0
35,0.774423,0.524178,3.834060,-0.000000,-2.076455,-0.000000,0
36,0.201043,1.758261,0.795756,-0.000005,-0.982544,-0.000000,0
37,0.162386,1.351574,2.031875,-0.000065,-0.817905,-0.000000,0
38,0.141683,0.912169,0.182442,-0.000037,-0.752490,-0.000000,0
39,0.109717,1.623574,2.415170,-0.000009,-0.696009,-0.000000,0
40,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000,0
41,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000,0
42,0.856704,1.492520,0.655586,-0.294571,-4.037025,-0.000000,0
43,0.630057,1.669067,2.263340,-0.363007,-2.595157,-0.000000,0
44,0.344906,1.197514,4.193705,-0.951953,-1.824322,-11.515431,0
45,0.630057,1.672361,2.263340,-0.352646,-2.515392,-11.515431,0
46,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431,0
47,0.829434,1.492520,0.674375,-0.172264,-3.821073,-11.515431,0
48,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000,0
49,0.354559,1.156761,3.706664,-0.652674,-1.816381,-11.515431,0
50,0.656434,0.893965,1.118830,-0.307575,-1.937731,-11.515431,0
51,0.450850,0.897786,0.833897,-0.307052,-2.299834,-11.515431,0
52,0.322581,0.908955,3.993883,-0.979961,-1.108396,-11.515431,0
53,0.886497,1.417917,1.325308,-0.026181,-2.503774,-0.000000,0
54,0.905449,1.415707,1.325308,-0.008242,-2.575918,-11.515431,0
55,0.996844,1.028514,0.888430,-0.000000,-2.910957,-11.515431,0
56,0.498828,1.012818,0.011408,-0.379604,-1.579117,-11.515431,0
57,0.697610,1.298211,1.156588,-0.410554,-0.611060,-0.000000,0
58,0.597283,0.785111,0.449365,-0.636267,-0.050467,-0.000000,0
59,0.597283,0.785111,0.467906,-0.636267,-0.056862,-11.515431,0
60,0.545337,1.540265,0.287536,-0.009278,-1.696228,-0.000000,0
61,0.483464,1.718673,0.287536,-0.000805,-1.581401,-11.515431,0
62,0.554338,1.894771,0.000741,-0.000487,-1.737414,-11.515431,0
63,0.996844,1.028514,0.906970,-0.000000,-2.910957,-0.000000,0
64,0.894509,0.725083,1.496782,-0.000000,-2.489279,-11.515431,0
65,0.924922,1.888157,4.773875,-0.000000,-2.653650,-11.515431,0
66,0.865611,1.495765,2.876306,-0.000000,-2.486726,-11.515431,0
67,0.746155,1.994448,3.496750,-0.000000,-2.085338,-11.515431,0
68,0.931111,1.890255,3.030371,-0.000000,-2.490940,-11.515431,0
69,0.967694,1.228086,2.642649,-0.000000,-2.559831,-11.515431,0
70,0.891546,1.428806,2.263340,-0.000000,-2.439032,-11.515431,0
71,0.967694,1.794226,2.642649,-0.000000,-2.682516,-0.000000,0
72,0.909477,1.351574,4.695736,-0.000000,-2.601491,-11.515431,0
73,0.697610,1.298211,1.202196,-0.355730,-0.093901,-11.515431,0
74,0.603469,0.785111,0.356204,-0.619316,-0.033427,-11.515431,0
75,0.780902,1.077208,2.583345,-0.000000,-2.171541,-0.000000,0
76,0.498724,1.012818,0.011408,-0.378860,-1.579097,-0.000000,0
77,0.332209,0.957253,1.422437,-0.191821,-1.157522,-11.515431,0
78,0.774423,0.525906,0.593429,-0.000000,-2.102001,-11.515431,0
79,0.470429,0.652827,1.882594,-0.009385,-1.499618,-11.515431,0
80,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000,0
81,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000,0
82,0.856704,1.492520,0.655586,-0.294571,-4.037025,-0.000000,0
83,0.332237,1.197514,4.505863,-0.982690,-1.621253,-12.433805,0
84,0.354554,1.151893,3.854917,-0.971294,-1.899988,-12.433805,0
85,0.854881,1.492520,0.655882,-0.283812,-4.034988,-12.433805,0
86,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805,0
87,0.885186,1.882342,1.325308,-0.427411,-2.929619,-12.433805,0
88,0.647940,0.785111,0.511800,-0.679561,-1.930756,-12.433805,0
89,0.332214,0.967119,4.361109,-0.981023,-1.133746,-12.433805,0
90,0.344906,1.197514,4.193705,-0.951953,-1.824322,-11.515431,0
91,0.829434,1.492520,0.674375,-0.172264,-3.821073,-11.515431,0
92,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000,0
93,0.316809,0.904023,3.993883,-0.983021,-1.090519,-12.433805,0
94,0.630057,1.669067,2.263340,-0.363007,-2.595157,-0.000000,0
95,0.630057,1.672361,2.263340,-0.352646,-2.515392,-11.515431,0
96,0.995061,0.880353,4.015204,-0.000000,-2.900868,-12.433805,0
97,0.969367,1.674650,2.125386,-0.000000,-2.733199,-12.433805,0
98,0.984800,1.352485,2.200847,-0.000000,-2.748825,-12.433805,0
99,0.999892,1.045358,3.993883,-0.000000,-2.921214,-12.433805,0
100,0.785015,1.344472,2.643365,-0.000000,-2.179434,-12.433805,0
101,0.986512,1.192915,4.357445,-0.000000,-2.868726,-12.433805,0
102,0.631444,1.684938,2.237321,-0.289549,-2.095086,-12.433805,0
103,0.315927,0.864655,2.628428,-0.389714,-1.266773,-12.433805,0
104,0.928759,1.975994,4.752654,-0.000000,-2.666420,-12.433805,0
105,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431,0
106,0.886497,1.417917,1.325308,-0.026181,-2.503774,-0.000000,0
107,0.603056,0.790043,0.467906,-0.636324,-0.058200,-12.433805,0
108,0.996844,1.028514,0.888430,-0.000000,-2.910957,-11.515431,0
109,0.450850,0.897786,0.833897,-0.307052,-2.299834,-11.515431,0
110,0.354559,1.156761,3.706664,-0.652674,-1.816381,-11.515431,0
111,0.829721,1.469394,1.219130,-0.273555,-0.210621,-12.433805,0
112,0.656434,0.893965,1.118830,-0.307575,-1.937731,-11.515431,0
113,0.597283,0.780733,0.449365,-0.636253,-0.061504,-12.433805,0
114,0.342143,0.953788,0.910875,-0.082438,-1.184172,-12.433805,0
115,0.498828,1.365676,0.002695,-0.005701,-1.591180,-12.433805,0
116,0.330822,0.941382,1.448456,-0.243104,-1.141913,-12.433805,0
117,0.357056,1.033113,1.036609,-0.075328,-1.218473,-12.433805,0
118,0.776245,0.525906,0.593133,-0.000000,-2.104674,-12.433805,0
119,0.892873,1.420978,4.372929,-0.000000,-2.372579,-12.433805,0
120,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000,0
121,0.332237,1.197514,4.505863,-0.982690,-1.621253,-12.433805,0
122,0.354554,1.151893,3.854917,-0.971294,-1.899988,-12.433805,0
123,0.854881,1.492520,0.655882,-0.283812,-4.034988,-12.433805,0
124,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805,0
125,0.885186,1.882342,1.325308,-0.427411,-2.929619,-12.433805,0
126,0.647940,0.785111,0.511800,-0.679561,-1.930756,-12.433805,0
127,0.854623,1.492520,0.674719,-0.325946,-4.141293,-12.028578,0
128,0.648477,0.883656,0.656542,-0.845260,-2.822933,-12.028578,1
129,0.356889,1.045358,4.005900,-0.990851,-1.202822,-12.028578,0
130,0.592760,0.790043,0.467906,-0.986710,-2.720528,-12.028578,1
131,0.326201,0.973344,4.361109,-0.998508,-1.120283,-12.028578,0
132,0.332214,0.967119,4.361109,-0.981023,-1.133746,-12.433805,0
133,0.316809,0.904023,3.993883,-0.983021,-1.090519,-12.433805,0
134,0.995061,0.880353,4.015204,-0.000000,-2.900868,-12.433805,0
135,0.969367,1.674650,2.125386,-0.000000,-2.733199,-12.433805,0
136,0.984800,1.352485,2.200847,-0.000000,-2.748825,-12.433805,0
137,0.999892,1.045358,3.993883,-0.000000,-2.921214,-12.433805,0
138,0.785015,1.344472,2.643365,-0.000000,-2.179434,-12.433805,0
139,0.986512,1.192915,4.357445,-0.000000,-2.868726,-12.433805,0
140,0.631444,1.684938,2.237321,-0.289549,-2.095086,-12.433805,0
141,0.315927,0.864655,2.628428,-0.389714,-1.266773,-12.433805,0
142,0.829692,1.441265,0.636280,-0.317082,-4.114691,-12.028578,0
143,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000,0
144,0.344906,1.197514,4.193705,-0.951953,-1.824322,-11.515431,0
145,0.630057,1.669067,2.263340,-0.363007,-2.595157,-0.000000,0
146,0.630057,1.672361,2.263340,-0.352646,-2.515392,-11.515431,0
147,0.332237,1.197514,4.359816,-0.782064,-1.628176,-12.028578,0
148,0.332214,0.967119,4.507156,-0.897838,-1.134390,-12.028578,0
149,0.832748,1.417917,1.325308,-0.516989,-2.305445,-12.028578,0
150,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000,0
151,0.321944,0.905752,3.993883,-0.998217,-1.106963,-12.028578,0
152,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431,0
153,0.603056,0.790043,0.467906,-0.636324,-0.058200,-12.433805,0
154,0.856704,1.492520,0.655586,-0.294571,-4.037025,-0.000000,0
155,0.928759,1.975994,4.752654,-0.000000,-2.666420,-12.433805,0
156,0.656434,0.893965,1.118830,-0.307575,-1.937731,-11.515431,0
157,0.356799,0.790043,0.467906,-0.335651,-0.262703,-12.028578,0
158,0.354559,1.156761,3.706664,-0.652674,-1.816381,-11.515431,0
159,0.851568,1.490791,0.655586,-0.252957,-3.977876,-12.028578,0
160,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000,0
161,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805,0
162,0.648477,0.883656,0.656542,-0.845260,-2.822933,-12.028578,1
163,0.356889,1.045358,4.005900,-0.990851,-1.202822,-12.028578,0
164,0.592760,0.790043,0.467906,-0.986710,-2.720528,-12.028578,1
165,0.326201,0.973344,4.361109,-0.998508,-1.120283,-12.028578,0
166,0.834256,1.418337,0.660262,-0.554279,-4.351011,-12.718929,0
167,0.648477,0.885856,0.656542,-0.814715,-2.822933,-12.718929,1
168,0.597175,0.790043,0.467906,-0.983385,-2.725069,-12.718929,1
169,0.322581,0.864655,3.957797,-0.997990,-1.108396,-12.718929,0
170,0.354554,1.198985,4.370186,-0.995460,-1.195071,-12.718929,0
171,0.321944,0.905752,3.993883,-0.998217,-1.106963,-12.028578,0
172,0.854881,1.492520,0.655882,-0.283812,-4.034988,-12.433805,0
173,0.885186,1.882342,1.325308,-0.427411,-2.929619,-12.433805,0
174,0.854623,1.492520,0.674719,-0.325946,-4.141293,-12.028578,0
175,0.854881,1.504755,0.662360,-0.246777,-3.914718,-12.718929,0
176,0.851559,1.492520,0.655586,-0.245308,-3.917154,-12.718929,0
177,0.332237,1.197514,4.505863,-0.982690,-1.621253,-12.433805,0
178,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000,0
179,0.571410,0.785111,0.511800,-0.973039,-2.669262,-12.718929,1
180,0.332237,1.195314,4.505863,-0.982546,-1.621253,-12.718929,0
181,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000,0
182,0.316809,0.904023,3.993883,-0.983021,-1.090519,-12.433805,0
183,0.829692,1.441265,0.636280,-0.317082,-4.114691,-12.028578,0
184,0.856712,1.490791,0.585830,-0.180770,-3.636925,-12.718929,0
185,0.354554,1.151893,3.854917,-0.971294,-1.899988,-12.433805,0
186,0.647940,0.785111,0.511800,-0.679561,-1.930756,-12.433805,0
187,0.630057,1.669067,2.263340,-0.363007,-2.595157,-0.000000,0
188,0.630057,1.672361,2.263340,-0.352646,-2.515392,-11.515431,0
189,0.832748,1.417917,1.325308,-0.516989,-2.305445,-12.028578,0
190,0.855195,1.492100,1.359839,-0.327921,-2.385563,-12.718929,0
191,0.890592,1.524857,0.674719,-0.341562,-2.293402,-12.718929,0
192,0.332214,0.967119,4.361109,-0.981023,-1.133746,-12.433805,0
193,0.354559,1.197396,4.663465,-0.933101,-1.195071,-12.718929,0
194,0.316809,0.904023,4.051276,-0.981721,-1.090519,-12.718929,0
195,0.332237,1.197514,4.714939,-0.980418,-1.133521,-12.718929,0
196,0.999892,1.045358,3.993883,-0.000000,-2.921214,-12.433805,0
197,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431,0
198,0.854623,1.492638,0.514094,-0.106767,-2.531870,-12.718929,0
