Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
0,0.604553,1.269733,1.522193,-0.578972,-3.389689,-9.478104,0
1,0.862999,1.625222,0.888238,-0.229557,-3.714575,-9.478104,0
2,0.604553,1.269733,1.605436,-0.797533,-3.351220,-9.520940,0
3,0.489185,0.663967,0.059960,-0.995916,-2.541162,-9.520940,1
4,0.604535,1.288364,1.533259,-0.428452,-3.116934,-9.520940,0
5,0.427674,1.485158,3.832600,-0.990684,-1.381311,-9.478104,0
6,0.442777,1.165459,3.127833,-0.980014,-1.421552,-9.520940,0
7,0.397472,0.630841,1.216686,-0.983789,-1.310207,-9.520940,0
8,0.399048,0.611558,0.014364,-0.789454,-2.440447,-9.520940,0
9,0.427674,1.383079,3.838565,-0.980251,-1.381311,-9.520940,0
10,0.604535,1.288364,1.522193,-0.406261,-3.052734,-0.000000,0
11,0.546485,1.000848,0.663506,-0.311017,-2.914595,-9.478104,0
12,0.546467,1.000589,0.649323,-0.283905,-2.738996,-9.520940,0
13,0.399048,0.635079,0.170947,-0.502651,-2.417726,-9.478104,0
14,0.604553,0.672889,0.141255,-0.764158,-1.823483,-9.520940,0
15,0.546485,1.000848,0.649323,-0.282173,-2.738987,-0.000000,0
16,0.948021,0.949049,1.712517,-0.000000,-2.667148,-9.520940,0
17,0.949923,0.558197,0.888238,-0.000000,-2.733135,-9.520940,0
18,0.546485,1.008089,0.670721,-0.270180,-2.608304,-9.520940,0
19,0.449545,1.069076,3.225053,-0.718523,-1.444207,-9.478104,0
20,0.449545,1.068995,3.225875,-0.718005,-1.444207,-9.520940,0
21,0.566882,1.000628,1.996974,-0.622747,-1.744848,-9.520940,0
22,0.922250,0.696770,4.522716,-0.000000,-2.643749,-0.000000,0
23,0.546485,1.000848,0.572869,-0.211376,-2.003366,-9.478104,0
24,0.893876,1.000848,0.649323,-0.005810,-2.532803,-9.520940,0
25,0.905957,0.842073,1.113850,-0.000000,-2.578008,-9.520940,0
26,0.449545,1.063804,3.239491,-0.658701,-1.444207,-0.000000,0
27,0.449545,1.063884,3.240806,-0.633577,-1.444207,-9.520940,0
28,0.469204,1.063804,3.215499,-0.215858,-1.496278,-9.478104,0
29,0.546484,1.019738,0.643506,-0.191449,-1.513084,-9.520940,0
30,0.565056,0.875093,1.996974,-0.030948,-1.740357,-9.520940,0
31,0.266518,0.762784,1.748839,-0.518671,-0.958330,-9.520940,0
32,0.861152,1.286463,1.427354,-0.000836,-2.406912,-9.520940,0
33,0.956441,0.608640,2.404099,-0.000000,-2.518594,-9.520940,0
34,0.906746,0.843313,2.230209,-0.000000,-2.522243,-0.000000,0
35,0.354248,1.216646,2.583657,-0.418283,-1.187128,-9.478104,0
36,0.546466,1.019479,0.649323,-0.192095,-1.513085,-9.478104,0
37,0.566882,0.875093,1.996974,-0.027639,-1.745300,-9.478104,0
38,0.399048,1.259250,1.444012,-0.070909,-1.337538,-9.520940,0
39,0.282684,1.642554,4.478773,-0.137061,-1.021822,-9.520940,0
