Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.683893,0.858110,0.488754,-0.979911,-2.853069
1,0.683893,0.858110,0.488754,-0.979911,-2.853069
2,0.683893,0.858110,0.488754,-0.979911,-2.853069
3,0.683893,0.864506,0.488754,-0.979143,-2.853069
4,0.683893,0.858110,0.488754,-0.979911,-2.853069
5,0.683893,0.864506,0.488754,-0.979143,-2.853069
6,0.633088,0.845468,0.489238,-0.860197,-2.809809
7,0.683893,0.858110,0.488754,-0.979911,-2.853069
8,0.683893,0.864506,0.488754,-0.979143,-2.853069
9,0.633088,0.845468,0.489238,-0.860197,-2.809809
10,0.683893,0.857572,0.488754,-0.979976,-2.853069
11,0.683893,0.858110,0.488754,-0.979911,-2.853069
12,0.683893,0.864506,0.488754,-0.979143,-2.853069
13,0.633088,0.845468,0.489238,-0.860197,-2.809809
14,0.683893,0.857572,0.488754,-0.979976,-2.853069
15,0.683893,0.858110,0.488754,-0.979911,-2.853069
16,0.683893,0.864506,0.488754,-0.979143,-2.853069
17,0.633088,0.845468,0.489238,-0.860197,-2.809809
18,0.637288,0.834556,0.362892,-0.857214,-2.808775
19,0.667738,0.834556,0.362892,-0.995241,-2.926841
20,0.683893,0.857572,0.488754,-0.979976,-2.853069
21,0.683893,0.858110,0.488754,-0.979911,-2.853069
22,0.683893,0.864506,0.488754,-0.979143,-2.853069
23,0.682834,0.860251,0.454658,-0.955557,-2.852377
24,0.633088,0.845468,0.489238,-0.860197,-2.809809
25,0.637288,0.834556,0.362892,-0.857214,-2.808775
26,0.667738,0.834556,0.362892,-0.995241,-2.926841
27,0.667917,0.836940,0.362892,-0.984380,-2.926840
28,0.683893,0.857572,0.488754,-0.979976,-2.853069
29,0.683893,0.858110,0.488754,-0.979911,-2.853069
30,0.683893,0.864506,0.488754,-0.979143,-2.853069
31,0.682834,0.862457,0.495474,-0.955938,-2.852377
32,0.682834,0.860251,0.454658,-0.955557,-2.852377
33,0.667738,0.834556,0.362892,-0.995241,-2.926841
34,0.730433,0.970792,0.797178,-0.871659,-2.951664
35,0.692819,0.831480,0.053024,-0.885284,-2.944558
36,0.667917,0.836940,0.362892,-0.984380,-2.926840
37,0.684017,0.858091,0.488754,-0.981274,-2.853086
38,0.683893,0.857572,0.488754,-0.979976,-2.853069
39,0.683893,0.858110,0.488754,-0.979911,-2.853069
40,0.683893,0.863693,0.488754,-0.979241,-2.853069
41,0.667738,0.834556,0.362892,-0.995241,-2.926841
42,0.730433,0.970792,0.797178,-0.871659,-2.951664
43,0.692819,0.831480,0.053024,-0.885284,-2.944558
44,0.667917,0.836940,0.362892,-0.984380,-2.926840
45,0.684017,0.858091,0.488754,-0.981274,-2.853086
46,0.665931,0.833048,0.362892,-0.966909,-2.925395
47,0.683893,0.857572,0.488754,-0.979976,-2.853069
48,0.683893,0.858110,0.488754,-0.979911,-2.853069
49,0.667738,0.834556,0.362892,-0.995241,-2.926841
50,0.730433,0.970792,0.797178,-0.871659,-2.951664
51,0.692819,0.831480,0.053024,-0.885284,-2.944558
52,0.730781,0.857643,0.011302,-0.826354,-2.962221
53,0.667917,0.836940,0.362892,-0.984380,-2.926840
54,0.684017,0.858091,0.488754,-0.981274,-2.853086
55,0.667894,0.857572,0.488754,-0.977486,-2.926840
56,0.683893,0.857572,0.488754,-0.979976,-2.853069
57,0.665931,0.833048,0.362892,-0.966909,-2.925395
58,0.667738,0.834556,0.362892,-0.995241,-2.926841
59,0.730433,0.970792,0.797178,-0.871659,-2.951664
60,0.692819,0.831480,0.053024,-0.885284,-2.944558
61,0.730781,0.857643,0.011302,-0.826354,-2.962221
62,0.667738,0.834556,0.363700,-0.995241,-2.926841
63,0.667998,0.857572,0.488754,-0.972243,-2.926898
64,0.667917,0.836940,0.362892,-0.984380,-2.926840
65,0.684017,0.858091,0.488754,-0.981274,-2.853086
66,0.667894,0.857572,0.488754,-0.977486,-2.926840
67,0.667894,0.857572,0.487946,-0.977486,-2.926840
68,0.665931,0.833048,0.362892,-0.966909,-2.925395
69,0.683893,0.857572,0.488754,-0.979976,-2.853069
70,0.667738,0.834556,0.362892,-0.995241,-2.926841
71,0.730433,0.970792,0.797178,-0.871659,-2.951664
72,0.692819,0.831480,0.053024,-0.885284,-2.944558
73,0.730781,0.857643,0.011302,-0.826354,-2.962221
74,0.667738,0.834556,0.363700,-0.995241,-2.926841
75,0.667998,0.857572,0.488754,-0.972243,-2.926898
76,0.667738,0.834556,0.360722,-0.995241,-2.926841
77,0.730773,0.856048,0.011302,-0.847291,-2.962220
78,0.612088,1.558151,2.368021,-0.857826,-2.930139
79,0.667917,0.836940,0.362892,-0.984380,-2.926840
80,0.684017,0.858091,0.488754,-0.981274,-2.853086
81,0.667895,0.857572,0.490924,-0.981156,-2.926840
82,0.667738,0.834556,0.362892,-0.995241,-2.926841
83,0.730433,0.970792,0.797178,-0.871659,-2.951664
84,0.692819,0.831480,0.053024,-0.885284,-2.944558
85,0.730781,0.857643,0.011302,-0.826354,-2.962221
86,0.667738,0.834556,0.363700,-0.995241,-2.926841
87,0.667998,0.857572,0.488754,-0.972243,-2.926898
88,0.667738,0.834556,0.360722,-0.995241,-2.926841
89,0.730773,0.856048,0.011302,-0.847291,-2.962220
90,0.667738,0.834556,0.364519,-0.995241,-2.926841
91,0.612088,1.558151,2.368021,-0.857826,-2.930139
92,0.730773,0.858405,0.015570,-0.815196,-2.962220
93,0.667917,0.836940,0.362892,-0.984380,-2.926840
94,0.684017,0.858091,0.488754,-0.981274,-2.853086
95,0.667895,0.857572,0.490924,-0.981156,-2.926840
96,0.667738,0.834556,0.362892,-0.995241,-2.926841
97,0.730433,0.970792,0.797178,-0.871659,-2.951664
98,0.692819,0.831480,0.053024,-0.885284,-2.944558
99,0.730781,0.857643,0.011302,-0.826354,-2.962221
100,0.667738,0.834556,0.363700,-0.995241,-2.926841
101,0.667998,0.857572,0.488754,-0.972243,-2.926898
102,0.667738,0.834556,0.360722,-0.995241,-2.926841
103,0.730773,0.856048,0.011302,-0.847291,-2.962220
104,0.667738,0.834556,0.364519,-0.995241,-2.926841
105,0.667738,0.834556,0.363012,-0.995241,-2.926841
106,0.668172,0.836940,0.370690,-0.955452,-2.926906
107,0.667998,0.857572,0.488770,-0.972243,-2.926898
108,0.612088,1.558151,2.368021,-0.857826,-2.930139
109,0.730773,0.858405,0.015570,-0.815196,-2.962220
110,0.667917,0.836940,0.362892,-0.984380,-2.926840
111,0.668293,0.834556,0.360722,-0.986307,-2.843060
112,0.667738,0.834556,0.362892,-0.995241,-2.926841
113,0.667738,0.834556,0.363700,-0.995241,-2.926841
114,0.667998,0.857572,0.488754,-0.972243,-2.926898
115,0.667738,0.834556,0.360722,-0.995241,-2.926841
116,0.667738,0.834556,0.364519,-0.995241,-2.926841
117,0.667738,0.834556,0.363012,-0.995241,-2.926841
118,0.668172,0.836940,0.370690,-0.955452,-2.926906
119,0.667998,0.857572,0.488770,-0.972243,-2.926898
120,0.729850,0.858511,0.076256,-0.914552,-2.962233
121,0.667738,0.859634,0.490203,-0.987233,-2.926841
122,0.730433,0.970792,0.797178,-0.871659,-2.951664
123,0.692819,0.831480,0.053024,-0.885284,-2.944558
124,0.730781,0.857643,0.011302,-0.826354,-2.962221
125,0.730773,0.856048,0.011302,-0.847291,-2.962220
126,0.668293,0.834556,0.360722,-0.986307,-2.843060
127,0.612088,1.558151,2.368021,-0.857826,-2.930139
128,0.667917,0.836940,0.362892,-0.984380,-2.926840
129,0.667738,0.834556,0.362892,-0.995241,-2.926841
130,0.667738,0.834556,0.363700,-0.995241,-2.926841
131,0.667738,0.834556,0.360722,-0.995241,-2.926841
132,0.667738,0.834556,0.364519,-0.995241,-2.926841
133,0.667738,0.834556,0.363012,-0.995241,-2.926841
134,0.729850,0.858511,0.076256,-0.914552,-2.962233
135,0.846212,0.915826,0.011302,-0.980289,-2.953436
136,0.667738,0.859634,0.490203,-0.987233,-2.926841
137,0.668445,0.834556,0.373598,-0.987492,-2.843102
138,0.730781,0.857643,0.011302,-0.826354,-2.962221
139,0.730773,0.856048,0.011302,-0.847291,-2.962220
140,0.729850,0.857382,0.002869,-0.805976,-2.962233
141,0.667998,0.857572,0.488754,-0.972243,-2.926898
142,0.668172,0.836940,0.370690,-0.955452,-2.926906
143,0.667998,0.857572,0.488770,-0.972243,-2.926898
