Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.972006,1.743105,0.789943,-0.540594,-4.834382,0
1,0.972006,1.743105,0.783199,-0.540594,-4.834382,0
2,0.697202,1.049966,0.091093,-0.702260,-3.797394,0
3,0.697202,1.049966,0.092561,-0.702260,-3.797394,0
4,0.611605,1.360872,1.823186,-0.823924,-3.374714,1
5,0.999769,1.645823,0.518398,-0.539910,-4.990296,0
6,0.564029,0.791706,0.693099,-0.998362,-2.635981,1
7,0.564029,0.791706,0.691528,-0.998362,-2.635981,1
8,0.955418,1.547926,0.483855,-0.580280,-4.793467,0
9,0.999952,1.646968,0.518398,-0.532242,-4.990782,0
10,0.685694,0.852289,0.375741,-0.996107,-2.940046,1
11,0.999992,1.647386,0.513687,-0.529333,-4.991235,0
12,0.999769,1.645823,0.519778,-0.539910,-4.990296,0
13,0.564029,0.791706,0.692994,-0.998362,-2.635981,1
14,0.955056,1.546573,0.484615,-0.603475,-4.792386,0
15,0.972006,1.743105,0.787578,-0.540594,-4.834382,0
16,0.999770,1.645823,0.518398,-0.539910,-4.990296,0
17,0.419230,0.653431,0.701294,-0.999824,-2.389109,1
18,0.697202,1.050988,0.092561,-0.688326,-3.797394,0
19,0.696326,1.049966,0.091093,-0.690893,-3.795696,0
20,0.611605,1.363866,1.823186,-0.797023,-3.374714,0
21,0.955418,1.548729,0.483855,-0.573030,-4.793467,0
22,0.685694,0.854608,0.394781,-0.995928,-2.940046,1
23,0.685694,0.854608,0.393817,-0.995928,-2.940046,1
24,0.685694,0.854608,0.393314,-0.995928,-2.940046,1
25,0.685694,0.854608,0.399015,-0.995928,-2.940046,1
26,0.685694,0.854608,0.392129,-0.995928,-2.940046,1
27,0.999989,1.648128,0.518325,-0.523475,-4.991235,0
28,0.564029,0.794025,0.711175,-0.998356,-2.635981,1
29,0.955038,1.546573,0.483207,-0.603419,-4.791965,0
30,0.955038,1.546573,0.486825,-0.603419,-4.791965,0
31,0.995003,1.636074,0.514082,-0.538316,-4.961167,0
32,0.995309,1.637969,0.513687,-0.524558,-4.962073,0
33,0.999769,1.647771,0.518398,-0.524549,-4.990296,0
34,0.995309,1.637969,0.513734,-0.524558,-4.962073,0
35,0.419230,0.653431,0.693153,-0.999782,-2.389109,1
36,0.419230,0.653431,0.690387,-0.999782,-2.389109,1
37,0.419230,0.653431,0.691773,-0.999782,-2.389109,1
38,0.419230,0.653431,0.695518,-0.999782,-2.389109,1
39,0.419230,0.653431,0.689535,-0.999740,-2.389109,1
