Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.802683,0.922693,0.103977,-0.865214,-2.982631
1,0.774267,0.957530,0.562792,-0.941998,-2.663090
2,0.450600,0.690190,0.826681,-0.970256,-2.435124
3,0.763466,0.942977,0.419052,-0.827170,-2.963502
4,0.878035,0.974880,0.143031,-0.912471,-2.964818
5,0.898466,0.982273,0.132153,-0.946401,-2.866186
6,0.722090,1.810751,2.142134,-0.987867,-2.050990
7,0.789166,1.313277,1.279574,-0.952727,-2.138186
8,0.493055,0.822763,1.399842,-0.912673,-2.586106
9,0.544828,0.848435,1.255216,-0.974748,-2.592707
10,0.742501,1.005073,0.917462,-0.816716,-2.842124
11,0.809347,1.721162,1.674371,-0.981686,-2.217351
12,0.589593,0.662422,0.135170,-0.923047,-2.100630
