Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.607188,1.425739,3.615055,-0.000000,-1.829578,0
1,0.827458,0.961852,4.617220,-0.000000,-2.183597,0
2,0.330078,1.106584,4.870778,-0.978550,-1.129339,0
3,0.152001,1.460275,3.574899,-0.000314,-0.740291,0
4,0.194069,1.373511,2.205466,-0.000213,-0.881107,0
5,0.601686,0.873209,2.565966,-0.000000,-1.814630,0
6,0.738816,1.074849,2.540856,-0.000000,-2.075721,0
7,0.720462,0.624466,0.036456,-0.001296,-2.050665,0
8,0.750715,0.963042,3.243866,-0.000000,-2.056735,0
9,0.982034,1.275609,1.775745,-0.000000,-2.788986,0
10,0.768591,0.756973,1.349991,-0.000000,-2.094788,0
11,0.112832,1.192919,0.651669,-0.000004,-0.739514,0
12,0.177802,1.171736,0.510916,-0.000022,-0.876844,0
13,0.693829,1.894745,0.003094,-0.004947,-2.006066,0
14,0.143861,1.003435,0.878561,-0.000047,-0.752551,0
15,0.118340,0.708171,1.015032,-0.000535,-0.619457,0
16,0.467630,0.526952,2.736582,-0.000000,-1.477129,0
17,0.771519,1.479695,2.161810,-0.001250,-2.098370,0
18,0.157162,0.659454,0.660560,-0.004573,-0.676960,0
19,0.131179,1.857593,0.131474,-0.000000,-0.889898,0
20,0.934863,0.624907,4.190437,-0.000000,-2.686283,0
21,0.386619,1.913672,2.615754,-0.027390,-1.303442,0
22,0.140524,1.683865,0.013477,-0.000000,-0.900124,0
23,0.287078,0.897937,3.788267,-0.440944,-0.430135,0
24,0.632814,1.463638,2.649957,-0.124317,-1.885970,0
25,0.953861,1.891789,2.142766,-0.000000,-2.686101,0
26,0.767239,1.449987,2.215290,-0.000294,-2.093693,0
27,0.766437,1.689767,4.303597,-0.000000,-2.018644,0
28,0.117560,0.666583,0.802476,-0.000630,-0.619772,0
29,0.823331,1.565103,2.967158,-0.000000,-2.352693,0
30,0.747581,1.417331,4.468141,-0.000000,-1.981497,0
31,0.803594,1.034825,0.204167,-0.284306,-0.095858,0
32,0.295120,1.429945,4.884603,-0.308871,-0.032435,0
33,0.184506,1.925220,2.059645,-0.000021,-0.910487,0
34,0.483465,0.676189,4.724599,-0.000000,-1.467280,0
35,0.416086,1.293373,4.809341,-0.000165,-1.366785,0
36,0.482657,1.359486,0.124611,-0.005981,-1.565434,0
37,0.839537,1.738821,1.476346,-0.266146,-0.193457,0
38,0.304625,1.566945,2.652358,-0.008642,-1.090791,0
39,0.845060,0.884656,1.264523,-0.000000,-2.327112,0
40,0.312504,1.461751,0.214758,-0.000075,-1.192480,0
41,0.224995,1.137912,3.390887,-0.024236,-0.877506,0
42,0.307917,1.802058,4.239738,-0.138294,-1.080501,0
43,0.954104,0.632304,0.930503,-0.000000,-2.747375,0
44,0.527758,0.918750,4.755706,-0.000000,-1.628509,0
45,0.126286,0.848621,3.037877,-0.001726,-0.623418,0
46,0.412663,1.202353,3.078214,-0.777553,-2.466925,0
47,0.486971,1.252980,4.448033,-0.000000,-1.533961,0
48,0.778914,0.895363,1.421294,-0.000003,-2.109491,0
49,0.452169,0.759992,3.795290,-0.000000,-1.440754,0
50,0.212381,1.063603,4.018031,-0.058122,-0.823154,0
51,0.599713,1.151181,2.375640,-0.168342,-1.808355,0
52,0.475119,1.844288,1.668479,-0.027647,-1.528074,0
53,0.138028,0.642071,0.242805,-0.001110,-0.668106,0
54,0.152302,0.934275,3.391700,-0.004864,-0.660604,0
55,0.760608,1.680459,1.545625,-0.302902,-2.918939,0
56,0.887465,1.696562,3.750460,-0.000000,-2.374809,0
57,0.308871,0.537957,1.356536,-0.558017,-0.033238,0
58,0.197430,1.359572,4.775317,-0.019769,-0.816928,0
59,0.965642,0.691888,2.861951,-0.000000,-2.546277,0
60,0.873851,0.539150,4.513243,-0.000000,-2.483325,0
61,0.316974,0.760604,1.956549,-0.714994,-1.508771,0
62,0.602962,0.577058,1.434177,-0.000000,-1.817866,0
63,0.523505,1.743753,3.903050,-0.003637,-1.637099,0
64,0.749927,0.562957,2.194194,-0.000000,-2.078319,0
65,0.884185,0.614085,1.887745,-0.000000,-2.412437,0
66,0.734024,0.977639,1.298512,-0.023467,-2.069140,0
67,0.228164,1.073528,0.580593,-0.000211,-0.967959,0
68,0.189937,1.110848,1.639182,-0.000388,-0.845423,0
69,0.665919,1.966334,0.317781,-0.006983,-1.952265,0
70,0.190042,1.864205,4.582618,-0.002266,-0.820152,0
71,0.779439,0.844127,3.709443,-0.000000,-2.073630,0
72,0.291966,1.316218,1.411094,-0.001684,-1.081432,0
73,0.806927,1.725328,4.778010,-0.000000,-2.099212,0
74,0.185355,1.318386,3.460443,-0.001938,-0.804822,0
75,0.428596,1.187546,4.484023,-0.000093,-1.384983,0
76,0.214282,1.354150,0.057697,-0.000008,-0.997039,0
77,0.708410,0.896087,3.194667,-0.000000,-2.029257,0
78,0.407518,0.876984,3.431798,-0.048995,-1.347809,0
79,0.288366,1.113712,3.733711,-0.321721,-0.023316,0
80,0.149878,0.698510,4.341201,-0.006302,-0.661638,0
81,0.692457,1.915962,2.448976,-0.932581,-1.998067,0
82,0.904617,1.544033,4.657468,-0.000000,-2.585597,0
83,0.251722,1.301206,4.628418,-0.238977,-0.937253,0
84,0.870448,1.917561,3.958959,-0.000000,-2.334249,0
85,0.968697,0.869796,0.376231,-0.000035,-2.800590,0
86,0.813452,1.138123,3.934185,-0.000000,-2.134500,0
87,0.458045,1.368981,0.695980,-0.015532,-1.490721,0
88,0.697171,0.545194,1.877311,-0.000000,-2.001007,0
89,0.626912,1.677740,2.427394,-0.984655,-1.871597,0
90,0.149297,0.821646,2.634880,-0.004513,-0.648679,0
91,0.628155,1.390097,2.424960,-0.568216,-1.872084,0
92,0.850913,1.610063,0.913087,-0.269355,-3.919164,0
93,0.327604,1.348648,1.185951,-0.001932,-1.180398,0
94,0.314677,0.953020,1.034194,-0.044145,-1.120400,0
