Attribute,Value
Number Critical Scenarios,7
Number Critical Scenarios (duplicate free),7
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,2
Number Best Critical Scenarios (duplicate free),2
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.00
Ratio Critical/All scenarios (duplicate free),0.00
Ratio Best Critical/Best Scenarios,0.29
Ratio Best Critical/Best Scenarios (duplicate free),0.29
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.969831 -2.117641]
Input value of critical (first of population of interest),[0.781927 1.672456 1.749185]
