Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
0,0.604553,1.269733,1.522193,-0.578972,-3.389689,-9.478104,0
1,0.862999,1.625222,0.888238,-0.229557,-3.714575,-9.478104,0
2,0.604553,1.269733,1.605436,-0.797533,-3.351220,-9.520940,0
3,0.489185,0.663967,0.059960,-0.995916,-2.541162,-9.520940,1
4,0.602251,1.245835,1.521106,-0.772922,-3.400246,-8.722645,0
5,0.604553,1.268669,1.605436,-0.805835,-3.351220,-8.722645,0
6,0.605539,1.278108,1.605436,-0.768403,-3.383018,-8.871695,0
7,0.489185,0.673024,0.059960,-0.998887,-2.541162,-8.871695,1
8,0.854159,1.629548,0.972236,-0.333310,-4.040324,-8.651235,0
9,0.457797,1.268669,2.832194,-0.877370,-2.746171,-8.651235,0
10,0.486701,0.664753,0.067294,-0.982826,-2.554587,-7.666030,1
11,0.869925,1.629548,0.969716,-0.495764,-4.348597,-7.951905,0
12,0.870596,1.566295,0.828541,-0.432393,-4.392374,-7.951905,0
13,0.565907,0.994270,0.649323,-0.707467,-3.402169,-7.951905,0
14,0.489114,0.673024,0.029447,-0.991041,-2.541227,-6.921990,1
15,0.488534,0.662226,0.067669,-0.978532,-2.563965,-6.921990,1
16,0.774004,1.680975,1.711070,-0.998999,-2.101649,-6.065597,1
17,0.568697,0.994270,0.649323,-0.761417,-3.408637,-6.765055,0
18,0.486772,0.664690,0.067294,-0.984932,-2.554569,-6.765055,1
19,0.486695,0.664775,0.067294,-0.982521,-2.554593,-6.765055,1
20,0.869905,1.593140,0.917550,-0.584094,-4.348274,-6.765055,0
21,0.870596,1.566295,0.844534,-0.513325,-4.392374,-6.765055,0
22,0.508366,0.673024,0.059960,-0.979649,-2.653098,-6.765055,1
23,0.869925,1.593140,0.917810,-0.584126,-4.348597,-6.493077,0
24,0.947395,1.877544,1.089232,-0.573770,-4.692053,-6.703499,0
25,0.569667,0.994270,0.649323,-0.778584,-3.411430,-6.017173,0
26,0.568697,0.994270,0.650216,-0.784347,-3.408637,-6.017173,0
27,0.499494,0.673024,0.026060,-0.989529,-2.601785,-6.562916,1
28,0.568697,0.992909,0.649323,-0.778503,-3.408637,-6.562916,0
29,0.751297,1.680975,1.711070,-0.634281,-3.728318,-5.870765,0
30,0.869925,1.592755,0.917810,-0.587295,-4.348597,-6.113341,0
31,0.491543,0.673024,0.029447,-0.991357,-2.542641,-6.502472,1
32,0.948110,1.877544,1.088455,-0.580223,-4.693785,-5.515234,0
33,0.489114,0.664648,0.029447,-0.998124,-2.541227,-6.824522,1
34,0.751297,1.681289,1.710307,-0.632042,-3.728318,-7.001478,0
35,0.457797,1.268669,2.870694,-0.954124,-2.746171,-7.001478,1
36,0.774004,1.651888,1.687073,-0.998918,-2.101649,-7.001478,1
37,0.495450,0.673024,0.086518,-0.993548,-2.576198,-5.024712,1
38,0.599695,1.288364,1.710741,-0.837274,-3.355960,-5.024712,0
39,0.870596,1.566295,0.817697,-0.395035,-4.354077,-6.824522,0
