Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
0,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
1,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
2,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
3,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
4,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
5,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
6,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
7,0.373131,0.645960,1.284559,-0.970122,-2.279252,-6.359917
8,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
9,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
10,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
11,0.593853,0.824672,0.739358,-0.953294,-2.635281,-7.006220
12,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
13,0.373131,0.645960,1.284559,-0.970122,-2.279252,-6.359917
14,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
15,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
16,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
17,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
18,0.608325,0.852485,0.761849,-0.960500,-2.694794,-7.655255
19,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
20,0.373131,0.645960,1.284559,-0.970122,-2.279252,-6.359917
21,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
22,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
23,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
24,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
25,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
26,0.608325,0.852485,0.761849,-0.960500,-2.694794,-7.655255
27,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
28,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
29,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
30,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
31,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
32,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
33,0.608325,0.852485,0.761849,-0.960500,-2.694794,-7.655255
34,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
35,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
36,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
37,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
38,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
39,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
40,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
41,0.608325,0.852485,0.761849,-0.960500,-2.694794,-7.655255
42,0.373131,0.645960,1.257527,-0.969516,-2.279252,-6.779167
43,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
44,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
45,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
46,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
47,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
48,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
49,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
50,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
51,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
52,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
53,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
54,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
55,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
56,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
57,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
58,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
59,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
60,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
61,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
62,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
63,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
64,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
65,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
66,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
67,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
68,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
69,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
70,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
71,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
72,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
73,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
74,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
75,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
76,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
77,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
78,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
79,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
80,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
81,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
82,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
83,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
84,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
85,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
86,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
87,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
88,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
89,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
90,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
91,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
92,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
93,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
94,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
95,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
96,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
97,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
98,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
99,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
100,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
101,0.594640,0.825202,0.761724,-0.994615,-2.723333,-6.576264
102,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
103,0.620287,0.862501,0.763976,-0.939338,-2.791105,-6.433417
104,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
105,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
106,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
107,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
108,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
109,0.594640,0.825202,0.761724,-0.994615,-2.723333,-6.576264
110,0.599011,0.840845,0.764385,-0.972854,-2.726697,-6.791926
111,0.596207,0.824913,0.739135,-0.995641,-2.724228,-6.263618
112,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
113,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
114,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
115,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
116,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
117,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
118,0.596207,0.824913,0.739135,-0.995641,-2.724228,-6.263618
119,0.601114,0.845202,0.818499,-0.975497,-2.728797,-6.534329
120,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
121,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
122,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
123,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
124,0.600398,0.852483,0.820022,-0.959839,-2.731711,-6.534329
125,0.602657,0.840788,0.764385,-0.972729,-2.728670,-6.779167
126,0.594640,0.825202,0.761724,-0.994615,-2.723333,-6.576264
127,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
128,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
129,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
130,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
131,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
132,0.600398,0.852483,0.820022,-0.959839,-2.731711,-6.534329
133,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
134,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
135,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
136,0.596207,0.824913,0.739135,-0.995641,-2.724228,-6.263618
137,0.601247,0.840055,0.775488,-0.978461,-2.728926,-6.186147
138,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
139,0.624060,0.862907,0.780005,-0.991868,-2.797196,-5.881192
140,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
141,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
142,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
143,0.601247,0.840055,0.775488,-0.978461,-2.728926,-6.186147
144,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
145,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
146,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
