Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
0,0.334176,1.090112,4.631476,-0.997870,-1.139669,-10.858530,0
1,0.374949,1.258890,4.192965,-0.999765,-1.258485,-10.767400,0
2,0.422260,1.105275,2.629516,-0.864559,-2.523341,-10.858530,0
3,0.464618,1.181604,2.524316,-0.945409,-2.753913,-8.834924,1
4,0.592658,1.387828,2.051381,-0.853238,-3.340652,-10.767400,0
5,0.594872,1.387828,2.051381,-0.865296,-3.291238,-9.998998,0
6,0.612830,1.292643,2.097686,-0.999902,-1.852223,-10.007278,0
7,0.612830,1.292950,2.095101,-0.999923,-1.852223,-9.533671,0
8,0.612830,1.292983,2.129957,-0.998857,-1.852223,-10.616615,0
9,0.612830,1.293425,2.095101,-0.999955,-1.852223,-9.425490,0
10,0.612871,1.253340,2.113158,-0.997026,-1.852687,-11.556094,0
11,0.612871,1.257897,2.113158,-0.997339,-1.852687,-10.858530,0
12,0.612871,1.291895,2.112815,-0.999663,-1.852687,-10.007278,0
13,0.612871,1.292983,2.129957,-0.999381,-1.852687,-10.192361,0
14,0.614147,1.288966,2.028108,-0.999471,-1.856965,-9.927637,0
15,0.614147,1.288966,2.051381,-0.998468,-1.856965,-10.567994,0
16,0.614190,1.291901,2.110489,-0.998113,-1.857065,-10.767400,0
17,0.617424,1.256257,2.091424,-0.997796,-1.864090,-9.927637,0
18,0.618881,1.276471,2.051654,-0.995132,-1.865495,-11.556094,0
19,0.619159,1.249620,2.064431,-0.999906,-1.865686,-9.463313,0
20,0.619159,1.253340,2.050402,-0.998387,-1.865686,-9.466767,0
21,0.619159,1.268922,2.064431,-0.995873,-1.865686,-9.700804,0
22,0.619159,1.292814,2.090538,-0.993910,-1.865686,-10.088933,0
23,0.620721,1.249620,2.064431,-0.995026,-1.866997,-9.700804,0
24,0.646118,1.292974,2.063867,-0.771495,-1.926356,-11.556094,0
25,0.646118,1.373361,2.113158,-0.966256,-1.926356,-10.858530,0
26,0.648988,1.043350,0.280686,-0.659873,-3.785587,-11.556094,0
27,0.651996,1.043350,0.280719,-0.711535,-3.797993,-10.379363,0
28,0.724298,1.749453,2.115536,-0.991343,-2.051185,-10.379363,1
29,0.725087,1.658236,2.115536,-0.806014,-2.051217,-11.023723,0
30,0.725087,1.736715,2.098430,-0.984689,-2.051217,-10.088933,1
31,0.725087,1.749344,2.126192,-0.981953,-2.051217,-10.767400,1
32,0.726017,1.650650,2.064551,-0.913120,-2.051384,-10.858530,1
33,0.726017,1.651938,2.064546,-0.916307,-2.051384,-10.767400,1
34,0.726515,1.744053,2.113158,-0.983222,-2.051416,-10.616615,1
35,0.729226,1.759718,2.113097,-0.996726,-2.055867,-9.533671,1
36,0.729226,1.759874,2.113158,-0.996761,-2.055867,-9.190892,1
37,0.729564,1.759874,2.102147,-0.982911,-2.056932,-10.130470,1
38,0.729706,1.702814,2.113158,-0.887765,-2.057401,-10.616615,0
39,0.730046,1.738811,2.064551,-0.968135,-2.058522,-10.007278,1
40,0.734815,1.751339,2.051381,-0.987248,-2.071482,-9.515772,1
41,0.734863,1.757492,2.115536,-0.955191,-2.072133,-10.088933,1
42,0.735697,1.757969,2.051381,-0.964314,-2.074134,-9.017056,1
43,0.741391,1.905045,2.115626,-0.964782,-2.080294,-8.834924,1
44,0.741391,1.919847,2.115536,-0.965071,-2.080294,-8.018641,1
45,0.810582,0.962533,0.277251,-0.758409,-2.866726,-10.858530,0
46,0.810582,0.968637,0.277251,-0.690043,-2.962801,-11.014610,0
47,0.811381,0.970452,0.272497,-0.665253,-2.963145,-11.023723,0
48,0.812416,0.970452,0.277251,-0.681432,-2.963079,-11.023723,0
49,0.823349,0.955514,0.266427,-0.902514,-2.655431,-10.130470,1
50,0.823349,0.956438,0.216503,-0.830987,-2.865807,-10.858530,0
51,0.830003,0.956438,0.216779,-0.873583,-2.842997,-9.533671,0
52,0.831446,1.294136,0.267421,-0.468373,-4.331984,-10.767400,0
53,0.831446,1.362884,0.304575,-0.155914,-3.928820,-11.556094,0
54,0.831955,0.975280,0.279175,-0.782565,-2.842979,-11.023723,0
55,0.834609,1.273584,0.279151,-0.721740,-4.429429,-10.130470,0
56,0.834609,1.287483,0.279151,-0.584126,-4.388585,-10.616615,0
57,0.834951,1.288748,0.312282,-0.695216,-4.429674,-10.130470,0
58,0.834974,1.273584,0.279146,-0.725523,-4.429674,-10.088933,0
59,0.838293,1.288141,0.304575,-0.719388,-4.433983,-10.088933,0
