Attribute,Value
Number Critical Scenarios,506
Number Critical Scenarios (duplicate free),40
Number All Scenarios,2000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,421
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,1297
Number Best Scenarios (duplicate free),51
Ratio Critical/All scenarios,0.25
Ratio Critical/All scenarios (duplicate free),0.18
Ratio Best Critical/Best Scenarios,0.32
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.974046 -2.106109 -8.249213]
Input value of critical (first of population of interest),[0.776534 1.986082 1.977408]
