Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.804772,1.306941,1.188710,-0.925627,-2.199883
1,0.804772,1.306941,1.188710,-0.925627,-2.199883
2,0.804772,1.306941,1.188710,-0.925627,-2.199883
3,0.804772,1.306941,1.188710,-0.925627,-2.199883
4,0.804772,1.306941,1.188710,-0.925627,-2.199883
5,0.804772,1.306941,1.188710,-0.925627,-2.199883
6,0.804772,1.306888,1.191332,-0.906931,-2.199883
7,0.804772,1.306941,1.188710,-0.925627,-2.199883
8,0.802428,1.323791,1.228867,-0.968538,-2.189080
9,0.804772,1.308493,1.191332,-0.912476,-2.199883
10,0.804772,1.306888,1.191332,-0.906931,-2.199883
11,0.804772,1.306941,1.188710,-0.925627,-2.199883
12,0.802428,1.323791,1.228867,-0.968538,-2.189080
13,0.804772,1.308550,1.191332,-0.912669,-2.199883
14,0.802428,1.323791,1.249696,-0.934043,-2.189080
15,0.804772,1.308493,1.191332,-0.912476,-2.199883
16,0.804772,1.306888,1.191332,-0.906931,-2.199883
17,0.802428,1.323791,1.228867,-0.968538,-2.189080
18,0.804772,1.308493,1.178831,-0.945110,-2.199883
19,0.804772,1.306941,1.188710,-0.925627,-2.199883
20,0.802428,1.323791,1.249696,-0.934043,-2.189080
21,0.804772,1.308550,1.191332,-0.912669,-2.199883
22,0.804772,1.308493,1.191332,-0.912476,-2.199883
23,0.802428,1.323791,1.228867,-0.968538,-2.189080
24,0.804772,1.308493,1.178831,-0.945110,-2.199883
25,0.804772,1.306941,1.188710,-0.925627,-2.199883
26,0.802428,1.323791,1.249696,-0.934043,-2.189080
27,0.804772,1.308550,1.191332,-0.912669,-2.199883
28,0.804772,1.308493,1.191332,-0.912476,-2.199883
29,0.802428,1.323791,1.228867,-0.968538,-2.189080
30,0.804772,1.308493,1.178831,-0.945110,-2.199883
31,0.804772,1.306941,1.188710,-0.925627,-2.199883
32,0.802428,1.323791,1.249696,-0.934043,-2.189080
33,0.804772,1.308550,1.191332,-0.912669,-2.199883
34,0.804772,1.308493,1.178831,-0.945110,-2.199883
35,0.802428,1.323791,1.191457,-0.996159,-2.189080
36,0.804772,1.308429,1.178831,-0.944956,-2.199883
37,0.802428,1.323791,1.228867,-0.968538,-2.189080
38,0.804772,1.313448,1.191332,-0.928182,-2.199883
39,0.802428,1.323791,1.249696,-0.934043,-2.189080
40,0.804772,1.308493,1.178831,-0.945110,-2.199883
41,0.802428,1.323791,1.191457,-0.996159,-2.189080
42,0.804772,1.308429,1.178831,-0.944956,-2.199883
43,0.802428,1.323791,1.228867,-0.968538,-2.189080
44,0.804772,1.313509,1.191332,-0.928363,-2.199883
45,0.802428,1.323791,1.249696,-0.934043,-2.189080
46,0.804772,1.308493,1.178831,-0.945110,-2.199883
47,0.802428,1.323791,1.191457,-0.996159,-2.189080
48,0.804772,1.308429,1.178831,-0.944956,-2.199883
49,0.802428,1.323791,1.228867,-0.968538,-2.189080
50,0.804800,1.308204,1.178831,-0.944417,-2.199883
51,0.802428,1.323791,1.191457,-0.996159,-2.189080
52,0.807355,1.308608,1.151429,-0.971712,-2.209398
53,0.804772,1.308493,1.178831,-0.945110,-2.199883
54,0.802428,1.323791,1.228867,-0.968538,-2.189080
55,0.804772,1.308429,1.178831,-0.944956,-2.199883
56,0.802428,1.323791,1.191457,-0.996159,-2.189080
57,0.807355,1.308608,1.151429,-0.971712,-2.209398
58,0.804772,1.308493,1.178831,-0.945110,-2.199883
59,0.802428,1.323791,1.228867,-0.968538,-2.189080
60,0.804772,1.308429,1.178831,-0.944956,-2.199883
61,0.802428,1.323791,1.191457,-0.996159,-2.189080
62,0.807628,1.308608,1.151664,-0.980223,-2.210143
63,0.807355,1.308608,1.151429,-0.971712,-2.209398
64,0.804772,1.308493,1.178831,-0.945110,-2.199883
65,0.802428,1.323791,1.191457,-0.996159,-2.189080
66,0.807628,1.308608,1.151664,-0.980223,-2.210143
67,0.734265,0.964786,0.783148,-0.944466,-2.864670
68,0.758769,0.971413,0.754893,-0.979021,-2.655333
69,0.807355,1.308608,1.151429,-0.971712,-2.209398
70,0.804772,1.308493,1.178831,-0.945110,-2.199883
71,0.802428,1.323791,1.191457,-0.996159,-2.189080
72,0.807628,1.308608,1.151664,-0.980223,-2.210143
73,0.734265,0.964786,0.783148,-0.944466,-2.864670
74,0.758769,0.971413,0.754893,-0.979021,-2.655333
75,0.749051,0.972069,0.754893,-0.902987,-2.755020
76,0.807355,1.308608,1.151429,-0.971712,-2.209398
77,0.804772,1.308493,1.178831,-0.945110,-2.199883
78,0.802428,1.323791,1.191457,-0.996159,-2.189080
79,0.807628,1.308608,1.151664,-0.980223,-2.210143
80,0.734265,0.964786,0.783148,-0.944466,-2.864670
81,0.758769,0.971413,0.754893,-0.979021,-2.655333
82,0.730884,0.964786,0.783148,-0.918876,-2.951680
83,0.758674,0.971413,0.754893,-0.975949,-2.655345
84,0.749051,0.972069,0.754893,-0.902987,-2.755020
85,0.807355,1.308608,1.151429,-0.971712,-2.209398
86,0.749051,0.957251,0.754893,-0.970508,-2.580552
87,0.804772,1.308493,1.178831,-0.945110,-2.199883
88,0.802428,1.323791,1.191457,-0.996159,-2.189080
89,0.807628,1.308608,1.151664,-0.980223,-2.210143
90,0.734265,0.964786,0.783148,-0.944466,-2.864670
91,0.758769,0.971413,0.754893,-0.979021,-2.655333
92,0.730884,0.964786,0.783148,-0.918876,-2.951680
93,0.758674,0.971413,0.754893,-0.975949,-2.655345
94,0.802428,1.323791,1.191351,-0.996159,-2.189080
95,0.749051,0.972069,0.754893,-0.902987,-2.755020
96,0.807355,1.308608,1.151429,-0.971712,-2.209398
97,0.749051,0.957251,0.754893,-0.970508,-2.580552
98,0.802428,1.323791,1.191457,-0.996159,-2.189080
99,0.807628,1.308608,1.151664,-0.980223,-2.210143
100,0.734265,0.964786,0.783148,-0.944466,-2.864670
101,0.758769,0.971413,0.754893,-0.979021,-2.655333
