Attribute,Value
Number Critical Scenarios,710
Number Critical Scenarios (duplicate free),106
Number All Scenarios,2000
Number All Scenarios (duplicate free),481
Number Best Critical Scenarios,58
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,100
Number Best Scenarios (duplicate free),16
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.22
Ratio Best Critical/Best Scenarios,0.58
Ratio Best Critical/Best Scenarios (duplicate free),0.38
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.978149 -2.348274]
Input value of critical (first of population of interest),[0.399797 0.680675 1.254957]
