Attribute,Value
Number Critical Scenarios,7
Number Critical Scenarios (duplicate free),7
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,15
Number Best Scenarios (duplicate free),15
Ratio Critical/All scenarios,0.00
Ratio Critical/All scenarios (duplicate free),0.00
Ratio Best Critical/Best Scenarios,0.27
Ratio Best Critical/Best Scenarios (duplicate free),0.27
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.988202 -2.09437 ]
Input value of critical (first of population of interest),[0.768308 1.96714  2.089213]
