Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
0,0.742557,1.847315,2.103027,-0.991968,-2.081317
1,0.542555,0.808921,1.112124,-0.986729,-2.493672
2,0.667850,0.800652,0.043231,-0.972466,-2.842440
3,0.730197,1.841308,2.194055,-0.951469,-2.058995
4,0.445338,1.367256,3.273926,-0.930846,-2.645884
5,0.380091,0.622540,0.713748,-0.977174,-2.322504
6,0.578669,0.770363,0.341597,-0.978646,-2.685609
7,0.746507,1.762500,2.070661,-0.928522,-2.082901
8,0.438486,0.788674,1.886602,-0.960888,-2.359861
9,0.788345,1.955938,1.969269,-0.993981,-2.135138
10,0.764218,1.964853,2.037537,-0.987259,-2.090534
11,0.449962,0.719029,1.165189,-0.979607,-2.455822
