Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.357355,0.748529,2.780694,-0.989512,-1.203900,0
1,0.135257,1.374844,1.669459,-0.000015,-0.758416,0
2,0.366393,1.072098,0.387237,-0.011818,-1.277711,0
3,0.962459,0.584191,0.270028,-0.000000,-2.776688,0
4,0.870276,1.703763,2.615717,-0.000000,-2.371649,0
5,0.802955,1.758663,1.164444,-0.104963,-0.547242,0
6,0.888166,1.209790,0.520837,-0.240574,-0.116569,0
7,0.423209,1.872876,2.685485,-0.111162,-1.389255,0
8,0.834558,0.656733,1.468372,-0.000000,-2.286799,0
9,0.995240,0.851768,4.635678,-0.000000,-2.903610,0
10,0.803860,0.827835,4.589382,-0.000000,-2.109127,0
11,0.407870,1.196394,3.649456,-0.982287,-1.349413,0
12,0.253539,1.971297,1.848300,-0.000092,-1.038683,0
13,0.736992,1.695729,3.564820,-0.000000,-2.079073,0
14,0.110875,1.475070,2.042372,-0.000009,-0.704645,0
15,0.372267,0.954202,1.112140,-0.402530,-1.264400,0
16,0.872220,1.566057,3.686280,-0.000000,-2.344859,0
17,0.203104,1.638526,1.109551,-0.000013,-0.954610,0
18,0.680112,1.844223,2.553735,-0.481832,-1.983838,0
19,0.749849,1.866702,1.026120,-0.102661,-0.073751,0
20,0.282265,1.791536,4.112287,-0.037798,-1.027732,0
21,0.906835,1.845950,3.736845,-0.000000,-2.402999,0
22,0.796511,0.837613,4.660506,-0.000000,-2.090280,0
23,0.776252,1.476743,3.735378,-0.000000,-2.086818,0
24,0.326295,1.042893,0.389752,-0.004999,-1.168639,0
25,0.451353,1.120254,4.270124,-0.000004,-1.451580,0
26,0.539344,0.637007,3.317374,-0.000000,-1.674822,0
27,0.186230,1.441408,0.402151,-0.000005,-0.933138,0
28,0.603907,1.669376,3.005293,-0.268062,-1.821401,0
29,0.328338,0.822190,4.389810,-0.145655,-1.125916,0
30,0.106465,1.967724,3.393277,-0.000016,-0.656890,0
31,0.616136,1.313035,3.788434,-0.000000,-1.864290,0
32,0.955824,1.634692,1.757752,-0.000000,-2.716505,0
33,0.225804,0.567034,2.655971,-0.244378,-0.848701,0
34,0.100476,0.890797,1.119474,-0.000042,-0.611577,0
35,0.307473,1.338767,1.563273,-0.003479,-1.118943,0
36,0.203970,1.213570,4.225649,-0.022777,-0.835932,0
37,0.828197,0.932425,0.772907,-0.004429,-2.289204,0
38,0.949667,0.574155,2.924448,-0.000000,-2.498439,0
39,0.805279,0.997765,0.211610,-0.296460,-0.095262,0
40,0.534495,0.677989,2.309922,-0.000000,-1.661732,0
41,0.614058,1.878995,3.359548,-0.001745,-1.852796,0
42,0.987827,0.959010,3.648224,-0.000000,-2.607562,0
43,0.807435,1.727830,3.533224,-0.000000,-2.223644,0
44,0.560440,1.706413,3.074037,-0.975868,-1.725784,0
45,0.825039,0.593739,4.217381,-0.000000,-2.177900,0
46,0.178155,1.491660,1.179225,-0.000014,-0.897445,0
47,0.346706,1.056785,1.153989,-0.053579,-1.181510,0
48,0.120144,1.299837,4.231298,-0.000423,-0.613127,0
49,0.199180,1.496136,1.835045,-0.000079,-0.915149,0
50,0.251979,0.968821,0.978069,-0.002778,-0.984995,0
51,0.366316,0.886169,4.662335,-0.000077,-1.213988,0
52,0.477412,1.737608,4.686029,-0.000014,-1.501472,0
53,0.384845,0.813478,2.968031,-0.791528,-1.268240,0
54,0.463152,1.894178,1.320549,-0.005877,-1.501418,0
55,0.349317,1.551748,4.541196,-0.366156,-0.152104,0
56,0.720528,0.909880,4.040118,-0.000000,-1.949480,0
57,0.306711,1.915864,4.699046,-0.248567,-1.074730,0
58,0.622281,1.941519,1.957279,-0.133755,-0.066936,0
59,0.325425,0.841971,4.815196,-0.008952,-1.119416,0
60,0.217790,1.201232,0.258505,-0.000033,-0.981728,0
61,0.339763,1.559402,1.716251,-0.003415,-1.199452,0
62,0.756984,1.358772,0.143457,-0.100601,-0.094651,0
63,0.165592,1.437086,0.620949,-0.000005,-0.884803,0
64,0.862541,0.631303,1.754020,-0.000000,-2.379700,0
65,0.372944,1.852358,3.306320,-0.129977,-1.274950,0
66,0.711620,1.034595,0.746692,-0.333208,-0.041908,0
67,0.897213,1.013347,1.769250,-0.000000,-2.494270,0
68,0.497554,1.329333,3.052498,-0.981166,-1.569517,0
69,0.783682,1.929292,0.402427,-0.123994,-2.164868,0
70,0.114428,1.468914,0.594039,-0.000001,-0.783817,0
71,0.547454,0.806322,0.509410,-0.400577,-0.031801,0
72,0.618815,0.649712,1.792678,-0.000000,-1.858219,0
73,0.514436,1.839909,1.404799,-0.028433,-1.619942,0
74,0.331794,1.679156,1.071472,-0.000337,-1.202940,0
75,0.761650,1.778881,2.347664,-0.015153,-2.089665,0
76,0.139809,1.397763,4.527942,-0.000947,-0.673059,0
77,0.480772,1.703406,1.091232,-0.009973,-1.550596,0
78,0.468737,1.168587,4.140495,-0.000009,-1.484818,0
79,0.312139,1.882790,0.872322,-0.000061,-1.195279,0
80,0.581685,1.635828,0.527001,-0.021938,-1.788034,0
81,0.334634,1.978951,2.323137,-0.002410,-1.192537,0
82,0.914965,0.851311,4.162480,-0.000000,-2.463258,0
83,0.912022,1.065063,1.907088,-0.000000,-2.540474,0
84,0.675474,0.531141,0.503398,-0.000000,-1.976580,0
85,0.328226,1.638731,1.757597,-0.001540,-1.175083,0
86,0.131284,1.040247,4.669611,-0.002303,-0.622221,0
87,0.768710,1.204201,2.765168,-0.000000,-2.114051,0
