RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.32886368775403596,0.055318334411122154,100.0,0.42704614797664975,0.08586354455550202,100.0,0.4624657402439059,0.09465785047912122
200.0,0.2514186500324859,0.03604416512816399,200.0,0.3633795839812266,0.06512875822410047,200.0,0.4268945495880823,0.0892367484814873
300.0,0.21968641542653292,0.026043980874211198,300.0,0.333386486373404,0.05931136644438911,300.0,0.41232524596069264,0.0862260186892549
400.0,0.19653511485602082,0.017613917852103363,400.0,0.3150246593253481,0.05596818819125733,400.0,0.4052933360054789,0.08833795674210032
500.0,0.18241810540649994,0.014378507391425974,500.0,0.29950339743306115,0.05324167185629586,500.0,0.4030132550573445,0.08788119198279312
600.0,0.17362358477368145,0.012130744402290325,600.0,0.2885787338508156,0.05385519080429896,600.0,0.40122227593909193,0.08797498027312124
700.0,0.16528126856345526,0.01133812879897798,700.0,0.28126994330550675,0.0560979583639965,700.0,0.399775203799587,0.0877966852714711
800.0,0.15924351121975475,0.010698313214494914,800.0,0.2741483332997745,0.056281828289670245,800.0,0.3987949907566606,0.08796245608073189
900.0,0.1540743923223559,0.009590133982697403,900.0,0.2672959881601623,0.055598214585388335,900.0,0.3980921971163054,0.08792567559963568
1000.0,0.14890498136703645,0.008232583933246091,1000.0,0.2598827442591958,0.05661494144438759,1000.0,0.3973480245185546,0.08822633375792865
