RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.33583824419907565,0.05573351030673186,100.0,0.42516981466441883,0.08659006005473263,100.0,0.4677089359022954,0.09565026847172525
200.0,0.25642836387301277,0.03981131676869498,200.0,0.3603292401868292,0.06546382881843169,200.0,0.4284214990513363,0.08891349660500085
300.0,0.2225690198832418,0.02792559802363597,300.0,0.3328527230439749,0.058660627567956224,300.0,0.41502959727388966,0.0878940996523512
400.0,0.1986043157874808,0.01963358377213744,400.0,0.3156775759894026,0.05605523517455822,400.0,0.40845221562879636,0.08886743768442064
500.0,0.1839092696422376,0.015711475375926202,500.0,0.3004392997608005,0.05289813716864583,500.0,0.40600482481380124,0.08791076309713916
600.0,0.17455773393023427,0.013286573675190904,600.0,0.29022317393418107,0.05342461750021551,600.0,0.4024561240374996,0.08737805735853621
700.0,0.16670526298330374,0.012047959248141357,700.0,0.28239223648408684,0.05547918168075374,700.0,0.40103718321743587,0.08722896577044634
800.0,0.16064446335211297,0.011526169313643505,800.0,0.27586963092442296,0.05595142529522855,800.0,0.40003024178409197,0.0874149948630352
900.0,0.15553011807755307,0.010322908941374515,900.0,0.26953538253953524,0.056110430423852345,900.0,0.39922449453338266,0.08746699213715242
1000.0,0.15020892077568543,0.00925832219157795,1000.0,0.26170137111560116,0.0557749778466317,1000.0,0.39849520694760676,0.08770620815624224
