RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGA-II-DJ_A1.77_n_evals,NSGA-II-DJ_A1.77_cid,NSGA-II-DJ_A1.77_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma
100.0,0.34037211759271857,0.05779188872079216,100.0,0.47878119726423085,0.10017649200482834,100.0,0.468271143796348,0.10077492973311777,100.0,0.47033184460124755,0.09726088738579539
200.0,0.25893047299917116,0.040939029595007545,200.0,0.43725753091819797,0.09342803872493936,200.0,0.3921604215246194,0.07941525782598839,200.0,0.43031008861905395,0.09044714522835873
300.0,0.22449970440912154,0.028686961820545403,300.0,0.4237153913812019,0.09227901705052043,300.0,0.35852337435372283,0.07394571531607409,300.0,0.419354051719033,0.08776257093297615
400.0,0.20031321836920446,0.01992620192227282,400.0,0.4169378342493021,0.09321264954236497,400.0,0.3416507913824576,0.0737244563897207,400.0,0.41348736453462076,0.08596332259800953
500.0,0.18538893179920948,0.015998888873974486,500.0,0.4142212430926224,0.09200585755772742,500.0,0.3262723135757576,0.06944953634634818,500.0,0.409213360036805,0.08640270795379706
600.0,0.1758582460698534,0.013443020558891548,600.0,0.4101222038286775,0.0912260372342204,600.0,0.31757531220007296,0.06892929307647147,600.0,0.4049917601406352,0.08476868350539395
700.0,0.1678018657628333,0.01220934794089013,700.0,0.40849427336333566,0.09127898631099572,700.0,0.30986003269417395,0.06702637412667864,700.0,0.4038377700790603,0.08682152656338532
800.0,0.1616257247242668,0.011659947893806807,800.0,0.4074016554137139,0.09142252422664807,800.0,0.3033002268666719,0.06569123314037066,800.0,0.4016373777729486,0.08744438296753047
900.0,0.1564877420948006,0.010439733503847484,900.0,0.4065051075810149,0.09149894077273768,900.0,0.29739003036344946,0.06285124220807056,900.0,0.40067047050842575,0.08731393668233098
1000.0,0.15114494644688925,0.009353496214864242,1000.0,0.40554496999139167,0.09139628557941049,1000.0,0.29269055361080404,0.061936478794496944,1000.0,0.3990529969508939,0.08749708316635786
