RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGA-II-DJ_A1.77_n_evals,NSGA-II-DJ_A1.77_cid,NSGA-II-DJ_A1.77_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma
100.0,0.3958112596854349,0.07799289910258174,100.0,0.5241961254918805,0.11276672117695045,100.0,0.5207641946253736,0.12069468731189188,100.0,0.5173696760863172,0.11222601084265435
200.0,0.298099890928747,0.051640432091602295,200.0,0.4657952712663505,0.10592452875066227,200.0,0.4372871107401698,0.10086774510420335,200.0,0.4669602912811578,0.10219517378664104
300.0,0.257593996095177,0.03607139808030298,300.0,0.4511333852491524,0.10508768768978241,300.0,0.39387945006360103,0.09057431336309625,300.0,0.4519865542866045,0.10124664459989965
400.0,0.2300267434254039,0.024569825211903505,400.0,0.44121203498157574,0.10570561185121936,400.0,0.37447734870661775,0.08631226476082622,400.0,0.4446614128909682,0.10150407647750825
500.0,0.21356422069938225,0.02089307995120705,500.0,0.4356492542389838,0.10505324625721528,500.0,0.36099357603367344,0.08593951466508962,500.0,0.4381048629796041,0.09662733951595662
600.0,0.201769103737294,0.017941105641263083,600.0,0.43276719732107055,0.10485076775956348,600.0,0.350695906242399,0.0874560960231068,600.0,0.43276716404686033,0.09441622197634274
700.0,0.1926601554811775,0.017082027712531443,700.0,0.4310405418867657,0.10483275297997094,700.0,0.34024705091754054,0.08237419646301311,700.0,0.4301857211613288,0.09366265746721075
800.0,0.185981206474225,0.01568583733825379,800.0,0.4294926863171559,0.1048662833468084,800.0,0.3336594880386325,0.08194771625296111,800.0,0.4291342633129248,0.09725412660488406
900.0,0.17965458663306916,0.014377466500636305,900.0,0.42657653095607173,0.10380914516872113,900.0,0.32723889300030373,0.07944588196099488,900.0,0.42792893861715847,0.09700925380211076
1000.0,0.17481559567528962,0.013488741289993828,1000.0,0.42548367149174177,0.10352194400507694,1000.0,0.320730467822281,0.07783822632818471,1000.0,0.4263881453685049,0.097557282792374
