run,RS,NSGA-II,NSGA-II-DJ_A1.77,MOPSO
1,0.20329471834779014,0.5139148872311599,0.36562810150516856,0.4341518650809403
2,0.26402636859025985,0.6528210106512721,0.446339257269138,0.510541209635634
3,0.3953674475649426,0.5902274601095582,0.456766933024161,0.6572429534359241
4,0.1019735897469761,0.27849066663455563,0.21931737883996547,0.2910179595370533
5,0.17615931657573264,0.4353682143316752,0.4176851121598569,0.4066118819537309
6,0.2220563239347558,0.4764427238966089,0.3475421821432663,0.4992189021503545
7,0.10378780963692866,0.4597886654668639,0.29721381092058896,0.4383478125627517
8,0.17735815215610584,0.43417863033538295,0.3419917630596325,0.4284837596293579
9,0.13554300523872936,0.4118549900686565,0.2663786522169468,0.4049507933226478
10,0.27685635298141603,0.4674077400189018,0.40044257302505615,0.5208164525526514
11,0.10337959426599844,0.3170369476619827,0.2382009580671276,0.32115316536557803
12,0.2066364355528166,0.5992951753804806,0.41391187149085135,0.5113627352673642
13,0.09200904535809842,0.3836769857963048,0.3214777533508961,0.4617257868977993
14,0.11682579860968514,0.3207200388071608,0.2739565008484527,0.3179570046001797
15,0.14601738980914772,0.43582857750567494,0.28484682264530176,0.4847603993704301
16,0.2122146788845706,0.3776205634916072,0.3201253416886605,0.4620374082655956
17,0.08644210848449578,0.306494622737912,0.20328327853223271,0.30043460043046233
18,0.18875280036408448,0.32205369988126503,0.2865764754706149,0.3973921345200477
19,0.1148741740204108,0.36098465702231297,0.24577988331364786,0.3295454237448562
20,0.1727368033828467,0.3654671728055006,0.2671447068740534,0.3500106590467397
