Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness
0,0.793360,5.042336,0.965919,-0.885804,0.731111
1,-0.587533,7.927508,0.745303,-0.911236,0.733070
2,0.699937,-5.012434,1.559942,-0.999969,0.793853
3,3.020588,-6.832924,1.816064,-0.999965,0.802173
4,0.699937,-5.012434,1.559942,-0.999969,0.793853
5,3.020588,7.984116,0.811053,-0.997666,0.711233
6,-0.587533,-7.660460,1.750314,-1.000000,0.821758
7,1.784788,-4.996637,1.664688,-0.999783,0.792779
8,3.020588,-6.832924,1.816064,-0.999965,0.802173
9,0.648449,-4.996827,1.559942,-0.999957,0.793906
10,4.406325,5.734865,0.965919,-0.994751,0.724652
11,-0.788509,-5.012434,1.559942,-0.998308,0.801376
12,1.834372,7.721665,1.664688,-0.992711,0.727200
13,0.793360,5.042336,1.582824,-0.988725,0.731051
14,-3.511841,-0.937708,16.550451,-0.660564,0.729162
15,0.793360,5.042336,0.965919,-0.885804,0.731111
16,-0.587533,7.927508,0.745303,-0.911236,0.733070
17,0.578432,1.670057,1.680128,-0.950538,0.736993
18,-0.586373,7.918675,0.745303,-0.911369,0.733136
19,-0.587533,7.927508,0.778861,-0.911236,0.733070
20,-0.310334,5.653335,11.747018,-0.948125,0.813127
21,1.666613,0.516447,2.793645,-0.946587,0.738660
22,0.699937,-5.012434,1.559942,-0.999969,0.793853
23,3.020588,7.984116,0.811053,-0.997666,0.711233
24,-0.587533,-7.660460,1.750314,-1.000000,0.821758
25,1.784788,-4.996637,1.664688,-0.999783,0.792779
26,4.082717,7.984116,0.811053,-0.997702,0.718312
27,1.197852,-4.644385,1.559942,-0.998913,0.790074
28,1.677296,-6.832924,1.816064,-0.999998,0.801935
29,0.648449,-4.996827,1.559942,-0.999957,0.793906
30,1.834372,7.721665,0.645078,-0.989384,0.717178
31,-0.587533,-7.678480,1.750314,-1.000000,0.821935
32,4.406325,5.734865,0.965919,-0.994751,0.724652
33,2.222491,5.702871,1.246401,-0.993935,0.723022
34,4.406325,5.799808,0.982558,-0.994775,0.724719
35,3.009816,-6.832924,1.669079,-0.999965,0.802146
36,-0.448393,-7.751518,1.750314,-1.000000,0.824370
37,3.038425,5.981612,1.816064,-0.991241,0.723827
38,0.576610,-4.996483,1.559942,-0.999956,0.795019
39,0.699937,-5.012434,1.559942,-0.999969,0.793853
40,3.020588,7.984116,0.811053,-0.997666,0.711233
41,1.784788,-4.996637,1.664688,-0.999783,0.792779
42,1.197852,-4.644385,1.559942,-0.998913,0.790074
43,1.677296,-6.832924,1.816064,-0.999998,0.801935
44,2.974824,7.984116,0.811053,-0.997574,0.710901
45,3.445191,7.876610,0.811053,-0.997754,0.713792
46,3.005635,5.162580,2.629620,-0.972297,0.701756
47,3.526954,7.985395,0.811053,-0.997837,0.714523
48,-0.541769,-7.678480,1.750314,-1.000000,0.821101
49,0.531311,-4.627518,1.559942,-0.998476,0.784817
50,0.944593,-7.751518,1.750314,-1.000000,0.806792
51,1.834372,7.721665,2.596013,-0.772766,0.703131
52,-0.587533,-7.660460,1.750314,-1.000000,0.821758
53,3.024829,5.949745,2.629620,-0.953584,0.704743
54,0.648449,-4.996827,1.559942,-0.999957,0.793906
55,4.082717,7.984116,0.811053,-0.997702,0.718312
56,1.834372,7.991472,0.809044,-0.990301,0.716809
57,0.847649,-7.751518,1.750314,-1.000000,0.808228
58,0.586322,-5.015013,1.750629,-0.999968,0.795813
59,-0.552500,-7.592653,1.750246,-1.000000,0.820670
60,1.828251,5.162580,2.595512,-0.808328,0.689727
61,3.011756,7.721665,2.630120,-0.945292,0.697412
62,0.531311,-4.627518,1.559942,-0.998476,0.784817
63,3.526954,7.996203,0.616590,-0.997878,0.714257
64,3.077993,5.162580,2.629620,-0.978437,0.699983
65,3.005635,4.976520,2.629620,-0.975012,0.697937
66,2.974824,7.984116,0.811053,-0.997574,0.710901
67,0.847649,-7.976235,1.750314,-1.000000,0.811867
68,0.944593,-7.751518,1.750314,-1.000000,0.806792
69,1.677296,-6.832924,1.816064,-0.999998,0.801935
70,0.529994,-4.753872,1.563734,-0.999514,0.788633
71,1.677296,-6.643579,1.816064,-0.999997,0.799320
72,1.784788,-4.996637,1.664688,-0.999783,0.792779
73,0.664903,-5.079993,1.560010,-0.999983,0.796396
74,0.648734,-4.627518,1.559942,-0.998719,0.787622
75,0.699937,-5.012434,1.559942,-0.999969,0.793853
76,3.020588,7.984116,0.811053,-0.997666,0.711233
77,3.445191,7.876610,0.811053,-0.997754,0.713792
78,3.445191,7.985265,0.811053,-0.997833,0.713958
79,-0.552500,-7.592653,1.750246,-1.000000,0.820670
80,1.828251,5.162580,2.595512,-0.808328,0.689727
81,3.546904,7.984116,2.587472,-0.954365,0.696773
82,0.531311,-4.627518,1.559942,-0.998476,0.784817
83,3.526954,7.996203,0.616590,-0.997878,0.714257
84,3.011756,7.721665,1.744120,-0.996797,0.707190
85,3.077993,5.162580,2.629620,-0.978437,0.699983
86,0.921050,-7.976235,1.718843,-1.000000,0.811073
87,2.932233,4.976520,2.661091,-0.971195,0.697221
88,0.699937,-4.771487,1.559942,-0.999646,0.786354
89,1.677296,-6.832924,1.816064,-0.999998,0.801935
90,1.784788,-4.996637,1.664688,-0.999783,0.792779
91,1.677296,-6.643579,1.816064,-0.999997,0.799320
92,0.664903,-5.079993,1.560010,-0.999983,0.796396
93,0.845796,-7.592653,1.691568,-1.000000,0.806613
94,2.974824,7.984116,0.811053,-0.997574,0.710901
95,0.944593,-7.751518,1.750314,-1.000000,0.806792
96,3.011756,4.992197,2.630120,-0.975249,0.698448
97,0.699937,-5.012434,1.559942,-0.999969,0.793853
98,3.972483,7.721665,2.630120,-0.972040,0.697607
99,1.831060,5.162580,2.595512,-0.808299,0.689559
100,-0.552500,-7.592653,1.750246,-1.000000,0.820670
101,3.289442,5.162580,2.629620,-0.982582,0.695673
102,1.828251,5.162580,2.595512,-0.808328,0.689727
103,3.526954,7.996203,0.616590,-0.997878,0.714257
104,0.531311,-4.627518,1.559942,-0.998476,0.784817
105,2.629276,7.944755,0.616590,-0.996070,0.698954
106,0.921050,-7.920270,1.718843,-1.000000,0.809971
107,3.011756,7.721665,1.744120,-0.996797,0.707190
108,3.493965,5.014855,2.595512,-0.986186,0.695943
109,0.699937,-4.771487,1.559942,-0.999646,0.786354
110,1.782040,-4.927938,1.816064,-0.999725,0.790967
111,0.664903,-5.079993,1.560010,-0.999983,0.796396
112,1.677296,-6.643579,1.816064,-0.999997,0.799320
113,1.680043,-6.901623,1.664688,-0.999998,0.802771
114,2.974824,7.984116,0.811053,-0.997574,0.710901
115,0.845796,-7.592653,1.691568,-1.000000,0.806613
116,3.015259,7.996203,0.631273,-0.997660,0.711233
117,1.677296,-6.808159,1.816064,-0.999998,0.801595
118,0.944593,-7.751518,1.750314,-1.000000,0.806792
119,3.493965,5.158379,2.595512,-0.985358,0.683342
120,-0.552500,-7.592653,1.750246,-1.000000,0.820670
121,2.629276,7.944755,0.616590,-0.996070,0.698954
122,3.556616,4.988752,2.629620,-0.986959,0.696619
123,0.531311,-4.627518,1.559942,-0.998476,0.784817
124,3.526954,7.996203,0.616590,-0.997878,0.714257
125,3.493965,5.014855,2.595512,-0.986186,0.695943
126,3.011756,7.721665,1.744120,-0.996797,0.707190
127,0.921050,-7.920270,1.718843,-1.000000,0.809971
128,0.699937,-4.771487,1.559942,-0.999646,0.786354
129,1.782040,-4.927938,1.816064,-0.999725,0.790967
130,2.974824,7.984116,0.811053,-0.997574,0.710901
131,0.664903,-5.075159,1.559942,-0.999982,0.796317
132,3.015259,7.996203,0.631273,-0.997660,0.711233
133,0.699937,-4.776321,1.560009,-0.999672,0.786513
134,1.677296,-6.643579,1.816064,-0.999997,0.799320
135,1.680043,-6.901623,1.664688,-0.999998,0.802771
136,0.845796,-7.592653,1.691568,-1.000000,0.806613
137,1.677296,-6.808159,1.816064,-0.999998,0.801595
138,0.944593,-7.751518,1.750314,-1.000000,0.806792
139,3.493965,5.158379,2.595512,-0.985358,0.683342
140,-0.552500,-7.592653,1.750246,-1.000000,0.820670
141,2.629276,7.944755,0.616590,-0.996070,0.698954
142,3.487840,4.755021,2.629620,-0.987133,0.698073
143,3.674940,7.996203,0.616590,-0.997879,0.721468
144,0.531311,-4.627518,1.559942,-0.998476,0.784817
145,3.011756,7.721665,1.744120,-0.996797,0.707190
146,3.493965,5.046836,2.617477,-0.986007,0.686341
147,0.921050,-7.920270,1.718843,-1.000000,0.809971
148,0.531311,-4.661166,1.753495,-0.998854,0.785718
149,3.494299,4.986702,2.595512,-0.986313,0.695504
150,2.974824,7.984116,0.811053,-0.997574,0.710901
151,2.706310,-7.434873,1.720850,-0.999996,0.792311
152,3.556616,4.988752,2.629620,-0.986959,0.696619
153,1.677296,-6.643579,1.816064,-0.999997,0.799320
154,1.782040,-4.927938,1.816064,-0.999725,0.790967
155,0.699937,-4.771487,1.559942,-0.999646,0.786354
156,3.526954,7.996203,0.616590,-0.997878,0.714257
157,3.493965,4.991696,2.595512,-0.986343,0.695605
158,3.015259,7.996203,0.631273,-0.997660,0.711233
159,-0.552500,-7.592653,1.750246,-1.000000,0.820670
160,2.257537,4.964105,2.641066,-0.879321,0.682118
161,3.493965,5.158379,2.595512,-0.985358,0.683342
162,3.674940,7.996203,0.616590,-0.997879,0.721468
163,0.531311,-4.627518,1.559942,-0.998476,0.784817
164,3.665954,5.046460,2.595512,-0.987843,0.694922
165,2.629276,7.771505,0.616590,-0.996210,0.698693
166,0.921050,-7.920270,1.718843,-1.000000,0.809971
167,1.677296,-6.643579,1.816064,-0.999997,0.799320
168,3.493965,5.046836,2.617477,-0.986007,0.686341
169,3.011756,7.727999,1.744120,-0.996805,0.706961
170,3.526954,7.996203,0.616590,-0.997878,0.714257
171,2.706310,-7.434873,1.720850,-0.999996,0.792311
172,1.782040,-4.927938,1.816064,-0.999725,0.790967
173,0.699937,-4.771487,1.559942,-0.999646,0.786354
174,2.906963,7.985326,0.616590,-0.997299,0.710269
175,3.015259,7.996203,0.631273,-0.997660,0.711233
176,0.531311,-4.661166,1.753495,-0.998854,0.785718
177,2.974824,7.984116,0.811053,-0.997574,0.710901
178,1.677296,-6.643579,1.827881,-0.999997,0.799320
179,-0.552500,-7.592653,1.750246,-1.000000,0.820670
180,3.493965,5.158379,2.595512,-0.985358,0.683342
181,3.674940,7.996203,0.616590,-0.997879,0.721468
182,3.665954,5.046460,2.595512,-0.987843,0.694922
183,2.629276,7.771505,0.616590,-0.996210,0.698693
184,1.677296,-6.643579,1.816064,-0.999997,0.799320
185,3.493965,5.046836,2.617477,-0.986007,0.686341
186,3.526954,7.996203,0.616590,-0.997878,0.714257
187,2.706310,-7.434873,1.720850,-0.999996,0.792311
188,1.782040,-4.927938,1.816064,-0.999725,0.790967
189,0.699937,-4.771487,1.559942,-0.999646,0.786354
190,3.015259,7.996203,0.631273,-0.997660,0.711233
191,0.531311,-4.661166,1.753495,-0.998854,0.785718
192,1.677296,-6.643579,1.827881,-0.999997,0.799320
193,0.551714,-4.627518,1.562899,-0.998489,0.784446
194,2.691361,7.997406,0.616590,-0.996301,0.699444
195,1.735178,-6.882908,1.816064,-0.999998,0.802013
196,3.015259,7.665088,0.631273,-0.997603,0.705981
197,2.267177,4.964105,2.653796,-0.881801,0.681817
198,0.932861,-7.911680,1.693261,-1.000000,0.809842
199,2.267177,4.964105,2.653796,-0.881801,0.681817
200,-0.552500,-7.584413,1.669299,-1.000000,0.820519
201,3.493965,5.158379,2.595512,-0.985358,0.683342
202,3.674940,7.996203,0.616590,-0.997879,0.721468
203,1.704554,-4.627583,1.562899,-0.998587,0.782664
204,3.665954,4.959270,2.595512,-0.988197,0.693917
205,2.629276,7.767708,0.643422,-0.996219,0.698660
206,3.493965,5.046836,2.617477,-0.986007,0.686341
207,3.015259,7.665088,0.631273,-0.997603,0.705981
208,0.932861,-7.911680,1.693261,-1.000000,0.809842
209,3.526954,7.996203,0.616590,-0.997878,0.714257
