RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.22933780345982133,0.024567813330006925,100.0,0.27879865314710134,0.035658308536676134,100.0,0.3245510557446029,0.044841562337319923
200.0,0.16820894444249673,0.015664952897187983,200.0,0.26045121257463644,0.03886817642170684,200.0,0.3110993272851398,0.04571269643348708
300.0,0.15111447654371762,0.013727907052285836,300.0,0.25211353012771137,0.03599299024267577,300.0,0.3008238550052503,0.04507295642145841
400.0,0.13312045036096348,0.009777441844043071,400.0,0.24011711359283777,0.03815851269791149,400.0,0.2963574320999154,0.04726259478380781
500.0,0.12281628477643033,0.007274930978717095,500.0,0.2240930667975531,0.035778280321292856,500.0,0.29460807654180143,0.047111056429393894
600.0,0.11558479157210297,0.005964762544767225,600.0,0.2156707041258787,0.037615888279719824,600.0,0.29173674797966076,0.04660003369392042
700.0,0.10991389150387207,0.0053618028705659975,700.0,0.20901299117740554,0.04024719474021766,700.0,0.2892694330280393,0.046667437195420436
800.0,0.1043001068089757,0.0042216442162877075,800.0,0.20484586551797915,0.04065461857118914,800.0,0.2875874666345803,0.046435006231063586
900.0,0.09986809874423912,0.0034908252591495824,900.0,0.2024512831415078,0.039077580865407045,900.0,0.28678514586545023,0.04648164673240125
1000.0,0.09663375989099697,0.003546587025169335,1000.0,0.19935432569880568,0.03735779425496587,1000.0,0.28624104252352595,0.046876078197725116
