run,RS,NSGA-II-D,NSGA-II
1,0.12068475364232503,0.17506168442515044,0.42734033360112467
2,0.12472931273442733,0.18082750288182248,0.37782542215317044
3,0.12513492925541725,0.21260197608427286,0.25240787306667617
4,0.12266373403151057,0.2036879600232729,0.5112983003533008
5,0.12601626326205628,0.2108649998658108,0.35284428768951315
6,0.12529712966830656,0.2652962656470703,0.31663864591705876
7,0.12076865527409118,0.27770487057837445,0.3316514932911319
8,0.12972460336214264,0.1677287823683406,0.4441358152686453
9,0.11414298243030269,0.19097615826648529,0.32258203901327287
10,0.12275871450179406,0.2142466063870878,0.2850391084062198
