Attribute,Value
Number Critical Scenarios,328
Number Critical Scenarios (duplicate free),94
Number All Scenarios,1000
Number All Scenarios (duplicate free),345
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.33
Ratio Critical/All scenarios (duplicate free),0.27
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,12
Fitness value of critical (first of population of interest),[-0.96966326  0.83038723]
Input value of critical (first of population of interest),[ 6.41199232 -4.06665293  7.26838634]
