RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.7299218667560111,0.19369958029468232,100.0,0.7133827699077396,0.155990211273543,100.0,0.7741137662754579,0.19461149597549685
200.0,0.6104276229761865,0.2210811249766764,200.0,0.5391306012120475,0.10414570484306782,200.0,0.7264510391732023,0.24048919484123288
300.0,0.5471125217526503,0.1523394585823133,300.0,0.49893396374272847,0.06619906064850133,300.0,0.6234141397621447,0.20544469262210338
400.0,0.46171081431984107,0.06292669719594192,400.0,0.48924170872152695,0.063569391438831,400.0,0.6096023859212717,0.21488683360559788
500.0,0.44617521018123696,0.062161643028974686,500.0,0.4515499769384534,0.013722465335719315,500.0,0.6055133162328271,0.21786090373699699
600.0,0.4325519376249732,0.0459511530529734,600.0,0.43371099701349103,0.006420521604573644,600.0,0.6052605861950876,0.21800199872221718
700.0,0.4093665886791885,0.033129178438859895,700.0,0.41076738276258623,0.03480108314310881,700.0,0.6047465248954554,0.21839682153251724
800.0,0.3969276309380607,0.03892923331888063,800.0,0.3984700552157654,0.03749358547164638,800.0,0.6046906499094981,0.21842003692226336
900.0,0.38757414028311105,0.026117596576990924,900.0,0.3893178582781709,0.03734303639537168,900.0,0.6046645895216438,0.21843876686800218
1000.0,0.36403138296833426,0.01656210681516151,1000.0,0.3790974057012042,0.04984361939886157,1000.0,0.6025410019039706,0.22015958228239546
