Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input
0,-2.766769,6.742898,1.753555,-0.775427,0.718439,0.000000
1,-4.802262,0.215316,0.564520,-0.998969,0.792722,0.000000
2,-4.802262,0.215316,0.564520,-0.998969,0.792722,0.000000
3,-4.737747,0.215316,0.564520,-0.998825,0.796679,-0.064515
4,-2.766769,6.742898,1.732090,-0.775427,0.718439,-0.021465
5,-2.766769,7.093526,1.753555,-0.799511,0.719786,-0.350628
6,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
7,-2.766769,6.742898,1.753555,-0.775427,0.718439,0.000000
8,-2.766769,7.036264,1.753555,-0.797213,0.724375,-0.293366
9,-2.766769,7.093526,1.753555,-0.799511,0.719786,-0.350628
10,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
11,-4.802262,6.533591,1.399250,-0.982914,0.750854,-1.224050
12,6.926223,2.288313,12.629141,-0.704427,0.708483,-1.938017
13,7.400961,6.594609,1.753555,-0.939104,0.730774,-5.034862
14,-4.802262,1.762929,0.542074,-0.999974,0.771129,-1.547776
15,-2.766769,7.388512,1.753555,-0.814542,0.696963,-0.294986
16,4.151485,-0.457952,1.236752,-0.521945,0.709255,-3.372024
17,-5.742947,0.091674,0.736322,-0.999839,0.787577,-0.964205
18,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
19,-4.802262,6.533591,1.399250,-0.982914,0.750854,-1.224050
20,6.926223,2.288313,12.629141,-0.704427,0.708483,-1.938017
21,7.400961,6.594609,1.753555,-0.939104,0.730774,-5.034862
22,-4.802262,1.762929,0.542074,-0.999974,0.771129,-1.547776
23,-2.766769,7.388512,1.753555,-0.814542,0.696963,-0.294986
24,4.151485,-0.457952,1.236752,-0.521945,0.709255,-3.372024
25,-6.257040,0.215718,12.284131,-0.918742,0.709804,-2.852210
26,-5.709754,6.533591,1.399250,-0.999098,0.765663,-0.907492
27,7.400961,6.641280,1.753555,-0.939533,0.732170,-0.046671
28,7.103258,6.592861,1.742010,-0.942959,0.738100,-0.297931
29,-5.910561,1.637884,1.309203,-0.999999,0.784254,-1.353681
30,7.400961,6.587193,1.753555,-0.938886,0.730708,-0.007416
31,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
32,7.400961,6.594609,1.753555,-0.939104,0.730774,-5.034862
33,6.926223,2.288313,12.629141,-0.704427,0.708483,-1.938017
34,-4.802262,6.533591,1.399250,-0.982914,0.750854,-1.224050
35,-6.257040,0.215718,12.284131,-0.918742,0.709804,-2.852210
36,4.151485,-0.457952,1.236752,-0.521945,0.709255,-3.372024
37,7.103258,6.592861,1.742010,-0.942959,0.738100,-0.297931
38,-2.766769,7.388512,1.753555,-0.814542,0.696963,-0.294986
39,-5.910561,1.637884,1.309203,-0.999999,0.784254,-1.353681
40,7.400961,6.587193,1.753555,-0.938886,0.730708,-0.007416
41,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
42,7.400961,6.594609,1.753555,-0.939104,0.730774,-5.034862
43,-4.802262,6.533591,1.399250,-0.982914,0.750854,-1.224050
44,-6.257040,0.215718,12.284131,-0.918742,0.709804,-2.852210
45,4.151485,-0.457952,1.236752,-0.521945,0.709255,-3.372024
46,7.103258,6.592861,1.742010,-0.942959,0.738100,-0.297931
47,-2.766769,7.388512,1.753555,-0.814542,0.696963,-0.294986
48,7.599475,6.587193,1.753555,-0.935822,0.727402,-0.198514
49,7.249363,2.288313,12.650324,-0.923353,0.721655,-0.323834
50,4.151485,6.639376,1.236752,-0.902998,0.700000,-2.995065
51,-4.802262,6.530576,1.399250,-0.982905,0.750822,-0.003015
52,-5.910561,3.075808,1.309203,-0.999999,0.769994,-1.437924
53,7.400961,6.594609,1.753555,-0.939104,0.730774,-5.034862
54,4.151485,6.639376,1.236752,-0.902998,0.700000,-2.995065
55,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
56,4.151485,-0.457952,1.236752,-0.521945,0.709255,-3.372024
57,7.103258,6.595876,2.450572,-0.943053,0.738032,-0.708569
58,-6.257040,0.215718,12.284131,-0.918742,0.709804,-2.852210
59,7.249363,2.288313,12.650324,-0.923353,0.721655,-0.323834
60,7.115736,6.592861,0.772730,-0.912371,0.690837,-0.969360
61,-5.910561,7.319588,1.309203,-0.998174,0.760723,-0.816225
62,-4.802262,6.576575,1.399250,-0.981662,0.750538,-0.042983
63,-6.135715,2.765289,1.309203,-1.000000,0.791131,-0.383558
64,7.400961,6.594609,1.753555,-0.939104,0.730774,-5.034862
65,7.967461,-4.219752,14.775311,-0.673506,0.663715,-1.048347
66,4.151485,-0.457952,1.236752,-0.521945,0.709255,-3.372024
67,4.151485,6.639376,1.236752,-0.902998,0.700000,-2.995065
68,7.115736,6.592861,0.772730,-0.912371,0.690837,-0.969360
69,-5.910561,3.075808,1.309203,-0.999999,0.769994,-1.437924
70,-6.257040,0.215718,12.284131,-0.918742,0.709804,-2.852210
71,7.103258,6.595876,2.450572,-0.943053,0.738032,-0.708569
72,-5.910561,2.851735,1.309203,-0.999999,0.789634,-0.224073
73,-5.402584,7.018570,1.237079,-0.997126,0.750317,-0.594857
74,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
75,7.249363,2.288313,12.650324,-0.923353,0.721655,-0.323834
76,-6.135715,2.765289,1.309203,-1.000000,0.791131,-0.383558
77,7.400961,6.594609,1.753555,-0.939104,0.730774,-5.034862
78,-5.901975,3.075808,1.309203,-0.999999,0.769727,-0.008586
79,-2.879049,2.288313,1.753555,-0.534543,0.728653,-3.067551
80,4.151485,-0.457952,1.236752,-0.521945,0.709255,-3.372024
81,7.967461,-1.943084,14.645022,-0.997569,0.706599,-2.280393
82,-5.910561,3.075808,1.309203,-0.999999,0.769994,-1.437924
83,3.133767,7.365169,1.309203,-0.856864,0.698519,-1.252108
84,7.115736,6.592861,0.772730,-0.912371,0.690837,-0.969360
