Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,1.980038,-7.850849,18.566195,0.996058,0.718399,0.000000,0
1,2.553831,0.603743,20.965547,0.999746,0.798895,0.000000,0
2,-0.857428,-6.158387,4.380158,-0.999884,0.840659,0.000000,1
3,-3.367574,-7.062127,15.064866,0.999952,0.745033,0.000000,0
4,-1.369497,-5.676347,7.565343,0.999952,0.747190,0.000000,0
5,-3.402928,-2.087516,2.818076,0.999998,0.794936,0.000000,0
6,-1.006892,-5.953094,12.615757,0.996734,0.820711,0.000000,0
7,-2.575345,0.092506,13.112778,1.000000,0.815215,0.000000,0
8,6.164517,-5.986138,16.615719,0.999681,0.797153,0.000000,0
9,-0.746210,-3.880844,4.124783,0.953284,0.821166,0.000000,0
10,-2.572311,0.405608,2.773688,0.999637,0.792103,0.000000,0
11,5.977629,-4.786018,21.125152,0.996943,0.769016,0.000000,0
12,0.964370,5.695081,3.295340,0.998508,0.773070,0.000000,0
13,-1.173060,-6.485354,6.703493,-0.999999,0.832937,0.000000,1
14,3.944913,-5.581179,7.172224,-0.957506,0.837452,0.000000,1
15,5.434988,-3.363138,1.383395,0.999984,0.788449,0.000000,0
16,-2.038671,6.017987,2.511329,0.999720,0.784723,0.000000,0
17,-5.825389,3.486174,5.975344,-0.983805,0.836756,0.000000,1
18,-7.196239,4.835252,14.847647,0.999990,0.744587,0.000000,0
19,6.166259,6.057027,11.870007,0.997578,0.716211,0.000000,0
20,-0.568906,6.975212,13.699664,0.932791,0.821933,0.000000,0
21,2.197871,0.974845,20.877007,0.999881,0.791150,0.000000,0
22,-4.891603,3.140650,10.784778,1.000000,0.780335,0.000000,0
23,3.203050,-5.037673,17.478875,0.999954,0.782311,0.000000,0
24,2.011864,-7.888173,22.731869,0.734117,0.738033,0.000000,0
25,-4.310698,2.501180,10.056998,0.999991,0.803544,0.000000,0
26,-3.577545,2.470148,9.638821,0.999996,0.800722,0.000000,0
27,7.505579,-3.606448,12.269441,1.000000,0.790876,0.000000,0
28,6.842991,-0.862696,18.780019,0.999950,0.760255,0.000000,0
29,-6.382511,-4.503569,8.075860,0.752413,0.768492,0.000000,0
30,4.041412,-6.740038,10.049338,1.000000,0.775646,0.000000,0
31,-5.549192,-2.093680,9.281963,0.999856,0.739185,0.000000,0
32,7.478019,-5.339588,19.403355,0.999885,0.736320,0.000000,0
33,4.660857,-2.779150,1.476253,0.999986,0.786513,0.000000,0
34,-3.661688,-0.934322,10.279000,0.999994,0.804595,0.000000,0
35,5.159953,-5.593587,16.586135,0.999954,0.796078,0.000000,0
36,3.502879,6.406088,0.084690,0.999982,0.777912,0.000000,0
37,2.978946,-6.662164,14.610583,0.999973,0.786686,0.000000,0
38,0.809672,5.753579,11.092661,0.999996,0.727741,0.000000,0
39,1.662075,-5.925446,12.713766,0.998654,0.795238,0.000000,0
40,1.494709,-3.137758,21.077017,0.998564,0.758306,0.000000,0
41,-0.307913,-2.715608,8.222555,0.999912,0.768323,0.000000,0
