Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,0.793360,5.042336,0.965919,-0.885804,0.731111,1
1,-0.587533,7.927508,0.745303,-0.911236,0.733070,1
2,0.699937,-5.012434,1.559942,-0.999969,0.793853,1
3,4.286755,-5.325657,1.250017,0.051860,0.731122,0
4,-0.229263,4.019539,1.353447,-0.006394,0.753230,0
5,3.020588,-6.832924,1.816064,-0.999965,0.802173,1
6,-1.527584,5.614667,0.778441,0.372552,0.746458,0
7,1.784788,0.387058,1.664688,0.460951,0.746320,0
8,-1.638081,-0.937708,16.550451,0.821338,0.741512,0
9,-0.130503,0.487618,0.011113,0.792616,0.762621,0
10,-0.310334,-0.631492,11.414789,0.677363,0.765057,0
11,-1.384310,3.080720,2.724086,0.994174,0.745435,0
12,-1.694985,-2.559692,5.773849,0.878793,0.780451,0
13,0.194229,-0.875842,0.403963,0.879747,0.765068,0
14,-1.978003,-1.304154,5.208363,0.924918,0.773656,0
15,0.578432,1.670057,5.000358,0.926774,0.765530,0
16,-0.642275,-0.781475,0.461024,0.948155,0.766233,0
17,-2.313448,-0.431051,1.583391,0.948254,0.777720,0
18,1.148738,0.174576,14.240545,0.950101,0.784400,0
19,-1.956654,4.226481,11.689010,0.999862,0.789107,0
20,0.699937,-5.012434,1.559942,-0.999969,0.793853,1
21,3.020588,7.984116,0.811053,-0.997666,0.711233,1
22,0.793360,5.159074,2.629620,-0.007710,0.703609,0
23,-0.587533,-7.660460,1.750314,-1.000000,0.821758,1
24,1.784788,-4.996637,1.664688,-0.999783,0.792779,1
25,3.020588,-6.832924,1.816064,-0.999965,0.802173,1
26,0.648449,-4.996827,1.559942,-0.999957,0.793906,1
27,4.406325,5.734865,0.965919,-0.994751,0.724652,1
28,-0.788509,-5.012434,1.559942,-0.998308,0.801376,1
29,1.834372,7.721665,1.664688,-0.992711,0.727200,1
30,0.793360,5.042336,1.582824,-0.988725,0.731051,1
31,-3.511841,-0.937708,16.550451,-0.660564,0.729162,0
32,0.793360,5.042336,0.965919,-0.885804,0.731111,1
33,-0.587533,7.927508,0.745303,-0.911236,0.733070,1
34,0.578432,1.670057,1.680128,-0.950538,0.736993,1
35,-0.586373,7.918675,0.745303,-0.911369,0.733136,1
36,-0.587533,7.927508,0.778861,-0.911236,0.733070,1
37,-0.310334,5.653335,11.747018,-0.948125,0.813127,1
38,4.286755,-5.325657,1.250017,0.051860,0.731122,0
39,1.666613,0.516447,2.793645,-0.946587,0.738660,1
40,0.699937,-5.012434,1.559942,-0.999969,0.793853,1
41,3.020588,7.984116,0.811053,-0.997666,0.711233,1
42,0.793360,5.159074,2.629620,-0.007710,0.703609,0
43,-0.587533,-7.660460,1.750314,-1.000000,0.821758,1
44,1.784788,-4.996637,1.664688,-0.999783,0.792779,1
45,4.082717,7.984116,0.811053,-0.997702,0.718312,1
46,1.197852,-4.644385,1.559942,-0.998913,0.790074,1
47,1.677296,-6.832924,1.816064,-0.999998,0.801935,1
48,0.648449,-4.996827,1.559942,-0.999957,0.793906,1
49,1.834372,7.721665,0.645078,-0.989384,0.717178,1
50,0.793360,5.162580,2.629620,-0.007403,0.703609,0
51,-0.587533,-7.678480,1.750314,-1.000000,0.821935,1
52,4.406325,5.734865,0.965919,-0.994751,0.724652,1
53,2.222491,5.702871,1.246401,-0.993935,0.723022,1
54,4.406325,5.799808,0.982558,-0.994775,0.724719,1
55,3.009816,-6.832924,1.669079,-0.999965,0.802146,1
56,-0.448393,-7.751518,1.750314,-1.000000,0.824370,1
57,0.519356,5.672342,2.625931,0.198279,0.716098,0
58,3.038425,5.981612,1.816064,-0.991241,0.723827,1
59,0.576610,-4.996483,1.559942,-0.999956,0.795019,1
60,0.699937,-5.012434,1.559942,-0.999969,0.793853,1
61,3.020588,7.984116,0.811053,-0.997666,0.711233,1
62,1.784788,-4.996637,1.664688,-0.999783,0.792779,1
63,1.197852,-4.644385,1.559942,-0.998913,0.790074,1
64,1.677296,-6.832924,1.816064,-0.999998,0.801935,1
65,2.974824,7.984116,0.811053,-0.997574,0.710901,1
66,3.445191,7.876610,0.811053,-0.997754,0.713792,1
67,3.005635,5.162580,2.629620,-0.972297,0.701756,1
68,3.526954,7.985395,0.811053,-0.997837,0.714523,1
69,-0.541769,-7.678480,1.750314,-1.000000,0.821101,1
70,0.531311,-4.627518,1.559942,-0.998476,0.784817,1
71,0.944593,-7.751518,1.750314,-1.000000,0.806792,1
72,1.834372,7.721665,2.596013,-0.772766,0.703131,1
73,-0.587533,-7.660460,1.750314,-1.000000,0.821758,1
74,3.024829,5.949745,2.629620,-0.953584,0.704743,1
