Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,6.248830,-7.371291,12.091613,1.000000,0.779037,0.000000,0
1,-4.663801,-7.412628,14.083301,0.978430,0.743215,0.000000,0
2,4.911518,6.401669,0.842370,0.984770,0.768278,0.000000,0
3,-3.072492,-3.302290,5.787383,0.997938,0.802565,0.000000,0
4,-4.695990,-1.270491,12.204458,0.981105,0.798085,0.000000,0
5,7.377883,2.981994,2.561173,0.050111,0.735617,0.000000,0
6,6.264277,3.923226,5.214034,0.951091,0.780412,0.000000,0
7,-1.519356,-6.000553,13.820183,0.999916,0.760025,0.000000,0
8,-5.716232,3.005582,12.258360,0.999729,0.761356,0.000000,0
9,-2.187324,-0.445508,13.904300,0.999902,0.802590,0.000000,0
10,-1.644917,-0.406274,3.555613,1.000000,0.812545,0.000000,0
11,4.333102,-1.521758,1.068160,0.999913,0.777998,0.000000,0
12,-4.241037,6.843929,9.534974,0.994741,0.749481,0.000000,0
13,2.873388,2.599433,3.523332,0.999279,0.792772,0.000000,0
14,2.554931,-0.552290,0.237694,0.999947,0.800757,0.000000,0
15,4.877891,1.623638,15.155164,0.953478,0.830233,0.000000,0
16,2.357054,-4.873183,11.555721,1.000000,0.826452,0.000000,0
17,-5.055753,6.422870,2.687863,-0.999357,0.817112,0.000000,1
18,5.902309,-1.642950,15.681404,0.999916,0.787314,0.000000,0
19,-1.314879,4.083699,0.349755,0.999921,0.782479,0.000000,0
20,5.959363,4.176122,14.228795,0.999644,0.826218,0.000000,0
21,-6.389413,4.842831,0.509621,-0.421639,0.804611,0.000000,0
22,-3.840749,-1.500098,3.194801,0.999996,0.828344,0.000000,0
23,-5.428793,-5.700257,14.479830,0.992859,0.740624,0.000000,0
24,2.891711,7.341349,9.921899,0.988421,0.780723,0.000000,0
25,-5.458529,2.079803,11.920421,0.999776,0.785071,0.000000,0
26,-1.558932,4.914086,15.788523,0.642224,0.826012,0.000000,0
27,1.303983,-1.685189,6.044644,1.000000,0.787733,0.000000,0
28,0.312579,-6.455992,3.676356,0.999999,0.770801,0.000000,0
29,5.569635,4.602182,5.134808,0.952869,0.779970,0.000000,0
30,-0.266646,-3.240031,16.298168,0.999598,0.745396,0.000000,0
31,5.648466,-5.030016,14.529536,0.946409,0.828049,0.000000,0
32,-4.827409,-1.633103,14.361741,0.996595,0.790653,0.000000,0
33,7.724556,1.367265,0.244703,0.997377,0.771159,0.000000,0
34,-7.990367,-2.137043,0.811506,0.992253,0.803183,0.000000,0
35,-7.843321,0.554154,5.815685,0.998921,0.833551,0.000000,0
36,4.597522,0.690053,3.499308,0.491670,0.745307,0.000000,0
37,-1.767811,0.852084,2.934396,0.999989,0.807130,0.000000,0
38,-4.052408,7.268305,16.344699,0.614058,0.831241,0.000000,0
39,-1.915899,5.799049,14.107235,-0.174530,0.832425,0.000000,0
40,-4.102625,6.021680,10.122909,0.990725,0.749649,0.000000,0
41,-0.611507,-5.066851,14.984282,0.986257,0.783067,0.000000,0
42,-4.539313,-7.363715,16.977286,0.988711,0.678877,0.000000,0
43,4.868331,4.425847,1.019113,0.997415,0.761691,0.000000,0
44,-2.525895,1.193248,1.368954,0.999904,0.804597,0.000000,0
45,0.780412,-1.755189,16.122893,0.999994,0.783048,0.000000,0
46,6.176072,-5.257059,3.242722,0.999805,0.798316,0.000000,0
47,6.126174,-2.601454,10.173903,0.999994,0.805490,0.000000,0
48,0.117202,-6.353239,5.223643,0.999253,0.832585,0.000000,0
49,-2.367704,-5.084144,2.829318,0.999912,0.820554,0.000000,0
50,3.450637,-7.104550,1.487012,0.999990,0.775507,0.000000,0
51,4.769531,-0.363491,8.327888,0.999997,0.790876,0.000000,0
52,6.685619,-5.093541,9.916673,0.999998,0.831074,0.000000,0
