Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-6.442085,1.966903,18.480293,0.424080,0.694118,-3.453510,0
1,-1.923473,-7.714977,18.829773,-0.993694,0.655471,-0.288803,1
2,-5.660040,1.984213,0.962722,-0.999997,0.761340,-0.024660,1
3,-1.028379,-7.145732,0.277326,-1.000000,0.789058,-4.485733,1
4,-1.028379,7.526163,0.277326,-0.971353,0.721392,-7.928688,1
5,-5.555701,7.526163,0.277326,-0.935027,0.708914,-4.527322,1
6,3.185236,7.283620,1.822927,-0.999036,0.710905,-7.614492,1
7,-5.630907,2.077122,0.962722,-0.999995,0.758560,-0.277309,1
8,-2.200878,-6.616579,18.931940,-0.988676,0.680342,-1.348301,1
9,-2.208102,-6.979409,0.407968,-1.000000,0.783911,-4.184169,1
10,5.045038,2.231629,0.733419,-0.997492,0.691239,-2.535192,1
11,-2.389102,-6.979409,17.647089,-0.968845,0.683103,-3.157394,1
12,-6.304982,-7.335747,17.647089,-0.983752,0.669567,-0.785641,1
13,5.281512,1.645826,3.383995,-0.999140,0.703460,-3.665065,1
14,-5.764281,2.378454,1.304563,-0.999982,0.773387,-0.419914,1
15,-5.834085,-6.615770,18.432684,-0.983789,0.685277,-1.896322,1
16,-1.846904,-6.616579,18.931940,-0.990322,0.665305,-0.353975,1
17,7.351057,7.544161,3.384888,-0.999407,0.707283,-2.074156,1
18,5.045038,7.664567,0.080616,-0.998379,0.718104,-7.925429,1
19,-7.091918,2.077122,0.962722,-1.000000,0.776413,-0.600945,1
