Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,0.498649,4.714954,1.470557,-0.994519,0.728366,1
1,-7.321948,-5.781587,13.914243,-0.674918,0.726133,0
2,4.263639,0.718654,5.921236,-0.293288,0.724106,0
3,2.368626,0.660885,2.003173,-0.950011,0.730138,1
4,0.910513,2.937928,1.193724,-0.970678,0.742397,1
5,2.225760,-2.415795,13.924448,-0.964682,0.735793,1
6,0.592129,-1.407722,0.461383,-0.978023,0.764174,1
7,1.822768,-1.550846,1.312325,-0.871867,0.733163,1
8,-0.029546,-5.297566,12.930115,-0.957369,0.742841,1
9,0.893838,-0.393926,14.335708,-0.552103,0.757852,0
10,-5.736114,-2.303520,5.559444,-0.654210,0.771646,0
11,-1.433854,0.242418,9.012459,-0.582450,0.761055,0
12,-1.807987,-3.165794,7.837579,-0.702892,0.780674,1
13,0.179502,1.606035,18.045886,0.675198,0.749214,0
14,-0.774513,1.812406,16.421893,0.855759,0.744223,0
15,0.583855,2.121225,18.800918,0.190113,0.754886,0
16,1.484735,-0.269475,13.388117,-0.298900,0.772782,0
17,-6.443655,-1.060988,0.463909,0.892887,0.761569,0
18,3.221714,-4.054296,15.643054,0.997721,0.761563,0
19,-0.237369,2.125900,17.245242,0.955044,0.792093,0
20,2.411463,4.695588,2.012489,-0.999258,0.676320,1
21,-7.823844,-5.781587,7.923954,-0.999594,0.784100,1
22,0.571077,5.052926,1.470557,-0.995958,0.720112,1
23,0.161647,-5.293719,13.948265,-0.147157,0.709333,0
24,3.221714,-5.291784,13.614180,-0.941443,0.713987,1
25,0.498649,4.714954,1.470557,-0.994519,0.728366,1
26,2.268217,0.718654,2.160586,-0.951428,0.722036,1
27,0.910513,3.083506,9.172720,0.739383,0.709358,0
28,-1.243884,-3.165794,13.827868,0.249893,0.712784,0
29,0.498649,4.581908,1.470557,-0.994074,0.730756,1
30,2.345084,0.673596,2.046170,-0.950587,0.723871,1
31,0.910513,2.937928,1.193724,-0.970678,0.742397,1
32,2.225760,-2.415795,13.924448,-0.964682,0.735793,1
33,2.225760,-2.406252,13.781373,-0.964724,0.736257,1
34,2.385313,-2.415795,13.924448,-0.969552,0.738645,1
35,-1.714730,4.714954,1.470557,-0.988195,0.743838,1
36,-1.433854,2.141405,1.034771,-0.993902,0.758193,1
37,-7.321948,-5.781587,13.914243,-0.674918,0.726133,0
38,4.263639,0.718654,5.921236,-0.293288,0.724106,0
39,2.368626,0.660885,2.003173,-0.950011,0.730138,1
40,-7.823844,-5.781587,7.923954,-0.999594,0.784100,1
41,-7.823844,-5.781587,7.919858,-0.999594,0.784100,1
42,2.375973,4.695588,2.012489,-0.999267,0.675792,1
43,2.411463,4.695588,2.012489,-0.999258,0.676320,1
44,2.411463,4.714630,1.983056,-0.999265,0.676923,1
45,3.916013,4.695588,1.616119,-0.999179,0.690233,1
46,4.277476,4.743061,1.470557,-0.998998,0.682278,1
47,0.457546,4.695588,2.012489,-0.999130,0.697207,1
48,2.510140,5.052926,1.470557,-0.997136,0.711085,1
49,3.520359,0.660885,1.007471,-0.997165,0.711691,1
50,0.498649,4.267789,0.043625,-0.995890,0.707988,1
51,4.263639,-5.797375,5.985307,-0.962517,0.701097,1
52,0.571077,5.052926,1.470557,-0.995958,0.720112,1
53,-5.677112,-5.707259,9.364882,-0.996806,0.771163,1
54,0.427397,4.714954,0.011714,-0.994291,0.710739,1
55,0.197136,-5.293719,13.948265,-0.162384,0.709333,0
56,0.090919,-5.293719,13.948265,-0.095241,0.702621,0
57,0.681422,4.640696,1.470557,-0.995191,0.724370,1
58,0.161647,-5.293719,13.948265,-0.147157,0.709333,0
59,3.221714,-5.291784,13.614180,-0.941443,0.713987,1
60,4.324751,5.266905,2.012489,-0.999351,0.692406,1
61,0.161647,-5.293719,1.684291,-0.999999,0.814803,1
62,-7.808635,-5.464901,7.923954,-0.999741,0.782250,1
63,0.197136,-4.549385,1.573235,-0.999896,0.808326,1
64,2.351548,4.695588,2.012489,-0.999277,0.675679,1
65,-6.525822,-5.707259,2.026470,-0.999905,0.822779,1
66,-7.823844,-5.781587,7.923954,-0.999594,0.784100,1
67,-7.823844,-5.781587,7.919858,-0.999594,0.784100,1
68,2.363590,4.695588,2.012489,-0.999271,0.675792,1
69,2.375973,4.695588,2.012489,-0.999267,0.675792,1
70,2.375973,4.695588,1.708353,-0.999267,0.675792,1
71,2.411463,4.695588,2.012489,-0.999258,0.676320,1
72,2.411463,4.714630,1.983056,-0.999265,0.676923,1
73,2.411463,4.695588,2.250761,-0.999258,0.676320,1
74,2.411463,4.694987,1.988915,-0.999258,0.676320,1
75,2.411463,4.714630,2.230607,-0.999265,0.676923,1
76,3.916013,4.715232,1.610260,-0.999197,0.690751,1
77,3.771151,4.743061,1.470557,-0.998936,0.680505,1
78,4.168316,4.714630,1.959531,-0.999176,0.685512,1
79,4.277476,4.743061,1.470557,-0.998998,0.682278,1
80,4.324751,5.266905,2.012489,-0.999351,0.692406,1
81,0.161647,-5.293719,1.684291,-0.999999,0.814803,1
82,0.197136,-4.549385,1.573235,-0.999896,0.808326,1
83,2.351548,4.695588,2.012489,-0.999277,0.675679,1
84,-0.707891,-5.301783,1.580301,-1.000000,0.821719,1
85,-7.808635,-5.161994,1.449059,-0.999894,0.766778,1
86,0.161647,-5.293719,1.673356,-0.999999,0.814803,1
87,2.351881,4.695588,2.026976,-0.999277,0.675679,1
88,2.366359,4.714630,1.983056,-0.999280,0.676471,1
89,0.271599,-5.252262,1.684291,-0.999998,0.811930,1
90,-0.118753,-5.296458,1.690913,-0.999999,0.819083,1
