Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,0.607645,-5.460178,0.280314,-1.000000,0.765398,1
1,1.966674,-5.456298,0.280276,-0.999996,0.761315,1
2,2.002465,-5.767642,0.025936,-0.999998,0.763828,1
3,2.115329,-5.456298,0.280276,-0.999990,0.758750,1
4,2.115329,-5.378543,0.280276,-0.999987,0.756686,1
5,2.143318,-5.380464,0.280314,-0.999985,0.756391,1
6,2.177945,-5.375241,0.280276,-0.999981,0.755801,1
7,2.190954,-5.379310,0.279378,-0.999979,0.755772,1
8,2.233232,-5.381328,0.148197,-0.999974,0.755094,1
9,2.233232,-5.380100,0.275974,-0.999973,0.755035,1
10,2.258399,-5.381087,0.280283,-0.999970,0.754828,1
11,2.294484,4.796416,1.571599,-0.999320,0.678545,1
12,2.298870,4.713993,2.012204,-0.999285,0.675566,1
13,2.299137,4.814513,2.012614,-0.999328,0.679186,1
14,2.299276,4.729156,2.012490,-0.999289,0.676131,1
15,2.299295,4.826554,1.988430,-0.999332,0.679864,1
16,2.299382,4.719681,2.012457,-0.999288,0.675679,1
17,2.299382,4.741924,2.017911,-0.999299,0.676471,1
18,2.308425,4.774608,2.016338,-0.999303,0.677903,1
19,2.308425,4.787788,2.016338,-0.999308,0.678356,1
20,2.326419,4.689166,2.012229,-0.999274,0.675038,1
21,2.326627,4.689166,2.012229,-0.999272,0.675000,1
22,2.377315,4.878637,2.002715,-0.999336,0.682504,1
23,2.377315,4.882417,2.002715,-0.999338,0.682617,1
24,2.383276,4.867935,1.602236,-0.999334,0.682089,1
25,3.683727,5.532135,2.017536,-0.999384,0.684013,1
26,3.694875,5.527273,1.991487,-0.999386,0.684084,1
27,3.694875,5.531842,1.991487,-0.999389,0.684261,1
28,6.173454,5.501785,1.560351,-0.999457,0.687395,1
29,6.173454,5.501785,1.572843,-0.999457,0.687395,1
30,6.203361,5.496592,1.548020,-0.999464,0.688153,1
31,6.272138,5.496592,1.561535,-0.999465,0.689570,1
32,6.272648,5.496592,1.572781,-0.999467,0.689636,1
33,6.273395,5.496593,1.559825,-0.999467,0.689636,1
34,6.315796,5.496735,1.561535,-0.999471,0.690657,1
35,6.320588,5.496735,2.002470,-0.999472,0.690855,1
