Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-7.976063,7.107274,10.415064,0.426458,0.662114,-0.376301,0
1,-7.976063,7.107274,11.563186,-0.897220,0.709479,-1.148122,1
2,-7.974511,6.470087,10.168285,0.577187,0.665807,-2.413313,0
3,-7.948449,-4.708101,6.834464,0.995718,0.718377,-4.632693,0
4,-7.948449,7.506261,6.834464,-0.931411,0.740750,-2.203020,1
5,-7.932854,7.388051,10.168285,0.304870,0.666139,-0.135397,0
6,-7.932854,7.523448,10.168285,0.189654,0.675540,-1.054185,0
7,-7.932663,-4.607472,15.501618,-0.659188,0.714977,-2.784213,0
8,-7.932663,7.506261,21.524898,0.999845,0.678083,-4.440529,0
9,-7.932663,7.506261,22.838765,0.518273,0.671724,-1.313867,0
10,-7.932663,7.757910,22.709887,0.582459,0.664414,-1.211414,0
11,-7.915864,7.670406,10.475366,0.087390,0.680259,-0.340858,0
12,-7.882478,-3.951614,3.448517,-0.999992,0.816987,-2.954797,1
13,-7.674841,7.838296,10.462829,0.154235,0.670491,-0.294001,0
14,-7.556814,7.838296,10.456219,0.239771,0.670361,-0.118212,0
15,-6.466377,7.571257,4.036268,-0.999985,0.824964,-4.589241,1
16,-6.382189,-5.282163,15.509368,-0.981893,0.707955,-0.264066,1
17,-6.380656,-2.851321,17.277495,-0.884879,0.711209,-1.451333,1
18,-6.378770,-3.771672,17.275046,-0.955427,0.708809,-0.455979,1
19,-6.378748,-1.149756,17.278062,-0.286259,0.713786,-4.523285,0
20,-6.196420,4.860786,10.437771,0.936214,0.661415,-1.533263,0
21,-6.196420,7.508081,11.581047,-0.822431,0.723012,-4.198962,1
22,-6.121309,-5.322908,15.512837,-0.983023,0.711367,-1.947557,1
23,-5.967006,-3.794305,17.469609,-0.943845,0.706907,-1.029161,1
24,-5.462985,-3.795398,17.275046,-0.877787,0.683975,-0.529071,1
25,-4.942240,-3.752815,17.384129,-0.531530,0.697027,-2.975016,0
26,-4.942240,-2.679796,17.366409,0.156242,0.677198,-0.920828,0
27,-4.934376,-3.752815,3.448517,-0.908667,0.795088,-4.631189,1
28,-4.919764,5.127027,10.394801,0.970618,0.653643,-0.364562,0
29,-4.821444,5.596298,10.361699,0.843509,0.654902,-0.021403,0
30,-4.800040,4.997830,10.483848,0.981158,0.646176,-0.120393,0
31,-4.800040,5.003895,10.294197,0.980998,0.646211,-0.065941,0
32,-4.800040,5.095957,10.361699,0.971474,0.646882,-0.076238,0
33,-4.800040,5.132655,10.294874,0.967330,0.647730,-0.156047,0
34,-4.800040,5.596298,10.361699,0.837837,0.655672,-0.297832,0
35,-4.800040,6.146834,10.483848,0.824221,0.662063,-0.563436,0
36,-4.799075,5.209529,10.294874,0.954251,0.654153,-0.076880,0
37,-4.751538,-3.752815,15.569633,0.299560,0.678592,-1.560945,0
38,-4.663200,4.872050,10.440265,0.986219,0.659615,-1.291813,0
39,-4.660056,-3.771592,17.275046,-0.411970,0.678902,-0.296606,0
40,-4.658570,-5.461964,17.275046,-0.939062,0.696303,-0.947567,1
41,-4.658570,-3.771592,17.396708,-0.414060,0.678965,-0.121662,0
42,-4.530169,5.127027,10.394801,0.950828,0.654831,-0.291166,0
43,-4.529489,5.652732,10.472699,0.770771,0.663127,-0.531445,0
44,-4.227135,7.571257,4.036268,-0.999996,0.826643,-1.988985,1
45,-3.770449,7.571257,19.978920,-0.998073,0.770991,-3.335490,1
46,-3.462107,4.545444,10.094601,0.971781,0.675971,-2.837736,0
47,-3.447129,-4.607472,15.501618,-0.044956,0.691797,-1.787486,0
48,-2.858737,-6.175166,15.512837,-0.854450,0.699854,-1.318291,1
49,-1.954460,-4.627630,15.512845,0.151161,0.679935,-0.429699,0
50,-1.885223,7.946183,13.829636,-0.999986,0.811911,-2.250997,1
51,-1.810980,7.571257,4.036761,-0.999995,0.829309,-3.897474,1
52,-1.738758,-7.276702,15.512837,-0.617229,0.713976,-3.897346,0
53,-1.738758,-5.187001,15.512837,-0.009097,0.683460,-2.089701,0
54,-1.114212,-3.376736,21.707852,0.997684,0.689887,-4.165294,0
55,-0.654671,4.772521,10.440265,0.600859,0.689232,-3.498282,0
56,0.334626,7.991900,4.153403,-0.999993,0.819776,-2.189560,1
57,0.706147,-4.395095,5.843529,0.998626,0.722328,-4.785669,0
58,0.899455,-3.534248,13.825012,-0.145973,0.693896,-2.508146,0
59,0.956636,7.577341,10.422579,-0.987434,0.727672,-1.003492,1
60,0.956636,7.577341,13.771740,-0.999023,0.810715,-2.313947,1
61,1.021662,7.771255,10.294874,-0.996764,0.737503,-0.241122,1
62,1.156524,4.962205,5.694945,-0.999943,0.758489,-0.247243,1
63,1.240955,7.571257,5.686158,-1.000000,0.784687,-1.829674,1
64,1.264230,4.739828,5.686158,-0.999311,0.760711,-1.922366,1
65,1.264230,6.449333,5.843529,-1.000000,0.774592,-0.985788,1
66,1.517051,7.754220,21.707852,0.996553,0.724897,-5.565998,0
