Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input
0,3.438319,-5.996538,4.440421,-0.999718,0.798472,-3.213165
1,3.438319,-6.017824,4.440421,-0.999761,0.799417,-0.021286
2,3.438319,-5.996538,4.440421,-0.999718,0.798472,-3.213165
3,3.520366,-5.996538,4.440421,-0.999753,0.802709,-0.082047
4,3.798666,-7.822247,4.440421,-1.000000,0.836147,-1.840052
5,2.888090,-5.996538,4.440421,-0.999660,0.794228,-0.550229
6,3.438319,-6.220888,4.440421,-0.999945,0.802230,-0.203064
7,3.798666,-7.822247,4.440421,-1.000000,0.836147,-1.840052
8,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
9,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
10,3.438319,-6.220888,4.440421,-0.999945,0.802230,-0.203064
11,3.798666,-7.822247,4.440421,-1.000000,0.836147,-1.840052
12,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
13,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
14,3.438319,-6.220888,3.802350,-0.999945,0.802230,-0.638071
15,3.579741,-7.418768,4.317405,-1.000000,0.824653,-0.475244
16,3.275192,-6.045779,4.440421,-0.999733,0.795778,-0.165505
17,3.798666,-7.822247,4.440421,-1.000000,0.836147,-1.840052
18,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
19,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
20,3.438319,-6.220888,3.802350,-0.999945,0.802230,-0.638071
21,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
22,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
23,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
24,-6.585192,4.554198,5.002930,-0.999993,0.800803,-0.858000
25,-7.893687,-3.534650,5.416265,-0.997351,0.821099,-1.259740
26,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
27,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
28,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
29,-6.585192,4.554198,5.002930,-0.999993,0.800803,-0.858000
30,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
31,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
32,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
33,4.209423,-7.123529,2.275527,-0.990766,0.814837,-1.289307
34,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
35,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
36,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
37,6.626395,-7.126561,4.440421,-0.999999,0.811728,-1.031927
38,5.905435,-7.825361,6.937244,-0.997682,0.834225,-2.191930
39,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
40,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
41,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
42,5.905435,-5.971294,4.440512,-0.935981,0.793432,-1.206608
43,5.905435,-7.825361,6.937244,-0.997682,0.834225,-2.191930
44,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
45,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
46,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
47,5.905435,-5.971294,4.440512,-0.935981,0.793432,-1.206608
48,5.905435,-7.825361,6.937244,-0.997682,0.834225,-2.191930
49,7.109742,-6.057189,4.440421,-0.730145,0.793245,-0.011410
50,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
51,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
52,5.905435,-6.756543,4.202164,-0.999984,0.803178,-0.820625
53,7.109742,-6.045779,4.440421,-0.705117,0.792757,-3.589713
54,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
55,7.109742,-6.057189,4.440421,-0.730145,0.793245,-0.011410
56,5.905435,-7.825361,6.937244,-0.997682,0.834225,-2.191930
57,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
58,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
59,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
60,7.056936,-6.053238,4.440421,-0.736967,0.792269,-0.052954
61,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
62,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
63,7.056936,-6.053238,4.440421,-0.736967,0.792269,-0.052954
64,-6.627912,4.876808,4.636265,-0.999992,0.803370,-0.295861
65,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
66,7.056936,-6.074409,4.440421,-0.768307,0.793433,-0.021171
67,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
68,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
69,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
70,7.056936,-5.790385,1.860555,-0.997217,0.809324,-2.393501
71,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
72,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
73,7.056936,-5.790385,1.860555,-0.997217,0.809324,-2.393501
74,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
75,7.056936,-5.790385,1.860555,-0.997217,0.809324,-2.393501
76,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
77,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
78,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
79,7.056936,-5.790385,1.860555,-0.997217,0.809324,-2.393501
80,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
81,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
82,7.056936,-5.790385,1.860555,-0.997217,0.809324,-2.393501
83,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
84,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
85,7.056936,-5.790385,1.860555,-0.997217,0.809324,-2.393501
86,-7.908858,-1.355837,4.637747,-0.999992,0.823302,-2.313773
87,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
88,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
89,5.923207,-5.790385,1.860555,-0.969209,0.804399,-1.133729
90,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
91,-7.908858,-1.355837,4.637747,-0.999992,0.823302,-2.313773
92,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
93,5.923207,-5.790385,1.860555,-0.969209,0.804399,-1.133729
94,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
95,-7.908858,-1.355837,4.637747,-0.999992,0.823302,-2.313773
96,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
97,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
98,-7.908858,-1.355837,4.637747,-0.999992,0.823302,-2.313773
99,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
100,-5.724971,2.602115,5.454017,-0.996719,0.794025,-1.638669
101,5.866037,-7.134221,2.441061,-0.999770,0.813193,-1.464975
102,-7.908858,-1.355837,4.637747,-0.999992,0.823302,-2.313773
103,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
104,-7.750894,-4.513504,4.636265,-0.907113,0.815959,-4.268908
105,-6.218282,-1.371766,4.637747,-0.706568,0.796177,-1.690651
106,5.905435,-7.825361,4.202164,-1.000000,0.822097,-2.120201
