Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-0.817773,-5.385856,15.938951,1.000000,0.728737,0.000000,0
1,-7.972036,2.766784,2.285525,1.000000,0.721569,0.000000,0
2,3.340522,-6.657752,15.613111,1.000000,0.724262,0.000000,0
3,0.252576,-4.365915,19.005762,1.000000,0.726895,0.000000,0
4,-0.101347,3.655296,1.455407,1.000000,0.738423,0.000000,0
5,-6.489576,-1.103211,14.548373,1.000000,0.742979,0.000000,0
6,0.839359,1.520959,21.141046,1.000000,0.743945,0.000000,0
7,-5.105603,-6.653650,21.874716,1.000000,0.747976,0.000000,0
8,-0.651087,-3.388739,13.054885,1.000000,0.749317,0.000000,0
9,1.014822,-1.066147,1.213937,1.000000,0.754399,0.000000,0
10,0.618178,3.096401,3.493492,1.000000,0.754633,0.000000,0
11,0.899149,1.489631,22.768439,1.000000,0.759329,0.000000,0
12,-1.268632,-3.297218,21.685853,1.000000,0.759434,0.000000,0
13,1.753596,1.316128,7.936082,1.000000,0.762193,0.000000,0
14,1.162563,-0.687921,18.784651,1.000000,0.764331,0.000000,0
15,-3.311853,-5.286254,3.299364,1.000000,0.765015,0.000000,0
16,5.375415,1.429542,16.112525,1.000000,0.772097,0.000000,0
17,-1.735460,-2.623851,2.367968,1.000000,0.773376,0.000000,0
18,-4.491894,-6.791697,1.697996,1.000000,0.780571,0.000000,0
19,-4.695046,-2.303166,2.775392,1.000000,0.788432,0.000000,0
20,-7.972036,2.766784,2.586949,-0.810793,0.821965,-0.301424,1
21,-7.939677,-3.297218,2.718504,1.000000,0.791811,-3.393966,0
22,-4.858208,-6.513838,19.033866,0.999940,0.714421,-2.855027,0
23,-0.655111,3.655296,2.240498,0.999998,0.704837,-0.960740,0
24,-0.651087,1.497270,13.101394,1.000000,0.756613,-4.886231,0
25,1.750843,-4.505726,21.846612,0.999999,0.812996,-3.214775,0
26,-0.735845,3.294810,15.990825,1.000000,0.786150,-5.222218,0
27,-0.898036,2.990248,16.144628,1.000000,0.776813,-4.974407,0
28,3.388470,-6.657752,20.967180,1.000000,0.674106,-4.351265,0
29,-0.817773,-6.649007,15.938951,1.000000,0.738200,-1.263152,0
30,-0.817773,-5.385856,15.938951,1.000000,0.728737,0.000000,0
31,-0.780735,-5.418220,15.938951,1.000000,0.729836,-0.049185,0
32,5.375415,-4.307647,18.814732,1.000000,0.804391,-4.462529,0
33,0.839359,-3.365051,21.094536,1.000000,0.715714,-2.190407,0
34,0.698442,-5.279698,3.287854,1.000000,0.728821,-3.718009,0
35,-6.489576,-1.103211,14.462813,1.000000,0.748113,-0.085560,0
36,0.252576,1.371275,16.303556,1.000000,0.776594,-3.350254,0
37,0.373805,1.520959,16.544641,1.000000,0.762581,-3.243291,0
38,-5.105603,-7.675780,21.105459,1.000000,0.716997,-1.279260,0
39,-7.922069,1.379084,2.172068,1.000000,0.723335,-1.393226,0
40,-7.972036,2.766784,2.586949,-0.810793,0.821965,-0.301424,1
41,-7.939677,-3.297218,2.718504,1.000000,0.791811,-3.393966,0
42,-4.858208,-6.513838,19.033866,0.999940,0.714421,-2.855027,0
43,1.750843,-4.505726,21.846612,0.999999,0.812996,-3.214775,0
44,-0.735845,3.294810,15.990825,1.000000,0.786150,-5.222218,0
45,3.388470,-6.657752,20.967180,1.000000,0.674106,-4.351265,0
46,-6.489576,-5.167075,14.665053,1.000000,0.737652,-4.065539,0
47,-6.500503,2.766784,2.586949,-0.064173,0.803617,-1.471532,0
48,0.839359,-4.603292,22.835271,0.999998,0.677901,-1.348246,0
49,-4.644010,-6.514840,19.109455,0.999968,0.709944,-0.227146,0
50,-7.977321,3.321061,19.017370,1.000000,0.753206,-6.462159,0
51,3.369955,-5.358489,2.385702,0.984641,0.796542,-2.820827,0
52,-5.939535,1.379084,2.716928,0.999767,0.791028,-2.056043,0
53,-0.898036,2.990248,16.144628,1.000000,0.776813,-4.974407,0
54,5.375415,-4.307647,18.814732,1.000000,0.804391,-4.462529,0
55,3.388470,-6.657752,20.966723,1.000000,0.674106,-0.000457,0
56,-0.817773,-6.649007,1.919884,0.999980,0.785110,-2.458710,0
57,-0.655111,3.655296,2.240498,0.999998,0.704837,-0.960740,0
58,0.698442,-5.279698,3.287854,1.000000,0.728821,-3.718009,0
59,5.445470,-3.365051,21.086449,1.000000,0.706297,-2.460507,0
60,3.369955,-7.391760,2.385702,-0.952084,0.818562,-2.033271,1
61,-7.977321,3.321061,19.017370,1.000000,0.753206,-6.462159,0
62,3.738317,-6.514840,20.962599,1.000000,0.669386,-0.377934,0
63,3.757501,-6.657752,20.966723,1.000000,0.661165,-0.369031,0
64,-4.636613,-6.514840,19.109601,0.999969,0.709720,-0.007398,0
65,3.369955,-5.358489,2.385702,0.984641,0.796542,-2.820827,0
66,-6.481029,2.766784,2.586949,-0.044259,0.803088,-0.019475,0
67,-0.735845,3.294810,15.990825,1.000000,0.786150,-5.222218,0
68,3.388470,-6.648754,1.947119,-0.817971,0.807640,-1.362895,1
69,-6.500503,2.766784,2.586949,-0.064173,0.803617,-1.471532,0
70,0.839359,-4.603292,22.835271,0.999998,0.677901,-1.348246,0
71,-6.489576,-5.167075,14.665053,1.000000,0.737652,-4.065539,0
72,3.388470,-6.657752,20.967180,1.000000,0.674106,-4.351265,0
73,-0.892602,-6.657752,20.967180,1.000000,0.707181,-3.226625,0
74,-4.858208,-6.513838,19.033866,0.999940,0.714421,-2.855027,0
75,-5.939535,1.379084,2.716928,0.999767,0.791028,-2.056043,0
76,-7.939677,-3.297218,2.718504,1.000000,0.791811,-3.393966,0
77,-7.965036,-6.514840,19.021964,0.999891,0.746605,-3.106851,0
78,1.750843,-4.505726,21.846612,0.999999,0.812996,-3.214775,0
79,-4.644010,-6.514840,19.109455,0.999968,0.709944,-0.227146,0
80,-7.977321,3.321061,19.017370,1.000000,0.753206,-6.462159,0
81,3.757501,-6.657752,20.966723,1.000000,0.661165,-0.369031,0
82,3.757501,-5.840307,20.966723,1.000000,0.662491,-0.674819,0
83,-4.636613,-6.514840,19.109601,0.999969,0.709720,-0.007398,0
84,3.375078,-7.391760,2.359164,-0.952758,0.822276,-0.027028,1
85,-6.481029,2.766784,2.586949,-0.044259,0.803088,-0.019475,0
86,3.369955,-5.471865,2.385702,0.964652,0.796267,-0.113376,0
87,-0.735845,3.294810,15.990825,1.000000,0.786150,-5.222218,0
88,3.388470,-6.648754,1.947119,-0.817971,0.807640,-1.362895,1
89,-6.481029,2.880166,2.586949,-0.245308,0.803718,-0.113383,0
90,3.369955,-7.391760,2.385702,-0.952084,0.818562,-2.033271,1
91,-6.500503,2.766784,2.586949,-0.064173,0.803617,-1.471532,0
92,3.388470,-6.657752,20.967180,1.000000,0.674106,-4.351265,0
93,0.839359,-4.603292,22.835271,0.999998,0.677901,-1.348246,0
94,-6.489576,-5.167075,14.665053,1.000000,0.737652,-4.065539,0
95,-4.282104,-6.514840,19.109156,0.999990,0.700635,-0.354509,0
96,3.369955,-5.358489,2.385702,0.984641,0.796542,-2.820827,0
97,-5.939535,1.379084,2.716928,0.999767,0.791028,-2.056043,0
98,3.388470,-7.740792,20.967180,1.000000,0.673127,-1.083040,0
99,-7.939677,-3.297218,2.718504,1.000000,0.791811,-3.393966,0
100,3.378077,-7.391760,2.205320,-0.954219,0.822236,-0.153873,1
101,-7.977321,3.321061,19.017370,1.000000,0.753206,-6.462159,0
102,3.757501,-6.657752,20.966723,1.000000,0.661165,-0.369031,0
103,3.388237,-7.391760,2.385702,-0.954973,0.822114,-0.018283,1
104,3.388470,-6.657752,20.967180,1.000000,0.674106,-4.351265,0
105,-4.636613,-6.514840,19.109601,0.999969,0.709720,-0.007398,0
106,1.803213,-7.420500,2.359164,0.703686,0.797588,-1.567229,0
107,3.757501,-5.835590,1.932193,0.064743,0.800166,-0.698683,0
108,3.388470,-6.648754,1.947119,-0.817971,0.807640,-1.362895,1
