run,RS,NSGA-II-D,NSGA-II
1,0.3432815647157713,0.37975462015928146,0.5014586261251576
2,0.3735458167920534,0.4399680103114307,0.4400840646215934
3,0.3432571270222358,0.3077229497079713,0.6080208018265236
4,0.34169536747401985,0.3077229497079713,1
5,0.34169536747401985,0.35090502223158965,1
6,0.3735458167920534,0.4142606513975533,0.4400840646215934
7,0.3432815647157713,0.37975462015928146,0.5014586261251576
8,0.3793757445129203,0.4142606513975533,0.4464711147300343
9,0.3432571270222358,0.35090502223158965,0.6080208018265236
10,0.3793757445129203,0.4399680103114307,0.4464711147300343
