Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,0.717524,7.527673,8.416439,-0.629661,0.702359,0.000000,0
1,0.854858,-7.638851,18.258828,-0.953381,0.745933,0.000000,1
2,2.303545,7.633166,5.515756,-1.000000,0.757043,0.000000,1
3,4.412570,7.605735,9.129877,0.872633,0.661988,0.000000,0
4,4.733727,-7.978398,20.338527,0.800016,0.686649,0.000000,0
5,4.781673,6.709743,8.715854,0.958153,0.659139,0.000000,0
6,5.887233,5.158202,7.472795,-0.771535,0.735845,0.000000,1
7,7.170965,2.747329,7.151817,-0.999976,0.748928,0.000000,1
8,7.198338,1.909386,9.111341,-0.748894,0.711494,0.000000,1
9,7.463148,2.851490,8.311389,0.306020,0.691046,0.000000,0
10,7.494236,7.008160,7.427676,-0.842172,0.741476,0.000000,1
11,7.537869,4.078906,9.309795,0.773026,0.687916,0.000000,0
