run,RS,NSGA-II-D,NSGA-II
1,0.12257104943348943,0.19266730699961335,0.2837037912280765
2,0.12288761386124285,0.2247803534306772,0.28604027704246704
3,0.11873717048100836,0.21850347390629263,0.30231590795089197
4,0.11640864289061167,0.20078574989225087,0.39903785094364347
5,0.12393393831686539,0.28370691932321024,0.44822765035769235
6,0.11908630506462084,0.22413533587536066,0.3255958039506655
7,0.13813470076695983,0.32495710915166304,0.31986675013469357
8,0.11785795896455609,0.2295456294826001,0.4130542206357161
9,0.1252619926127655,0.22281703524503432,0.3142110807036031
10,0.13420190411909524,0.3178185205315171,0.24254436036322782
