Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input
0,2.258952,5.649487,1.804739,-0.944394,0.714906,0.000000
1,-6.068487,-6.273803,10.980654,-0.753125,0.735551,0.000000
2,4.501526,7.226928,14.339967,-0.729618,0.733433,0.000000
3,1.787404,6.693358,2.040862,-0.924025,0.691947,0.000000
4,-4.421310,5.480647,15.711420,-0.932001,0.782007,0.000000
5,7.799591,2.254861,13.284133,-0.961199,0.722474,0.000000
6,2.432843,6.092572,2.379801,-0.942087,0.723623,0.000000
7,7.139531,3.154707,14.709980,-0.710862,0.744563,0.000000
8,-0.583770,-6.035163,11.376724,-0.759628,0.802642,0.000000
9,2.869249,-3.694136,2.341328,-0.896166,0.810695,0.000000
10,0.595862,-5.008652,10.779096,-0.827196,0.795629,0.000000
11,7.823843,2.995843,2.631876,-0.951544,0.709091,0.000000
12,2.979011,-5.460533,17.903590,-0.853129,0.806100,0.000000
13,1.134615,7.303827,14.125676,-0.989057,0.725415,0.000000
14,-5.374011,0.845234,1.273396,-0.999973,0.776893,0.000000
15,-6.502983,-5.997615,10.497248,-0.740002,0.741241,0.000000
16,0.157932,6.283288,2.198411,-0.921230,0.705438,0.000000
17,-6.752324,-4.405236,14.135798,-0.833380,0.684909,0.000000
18,-3.404642,-7.777184,7.871399,-0.916062,0.712045,0.000000
19,7.212410,6.534813,2.062262,-0.941177,0.738472,0.000000
20,7.729611,3.640079,3.064564,-0.947905,0.701857,0.000000
21,-7.418815,-7.140455,9.241121,-0.790290,0.751361,0.000000
22,-6.136464,5.629682,0.555714,-0.999994,0.770045,0.000000
23,-4.750179,4.093505,0.566582,-0.999678,0.769481,0.000000
24,2.734931,7.084035,14.499312,-0.848930,0.742472,0.000000
25,-5.955823,3.859369,18.703193,-0.933282,0.805008,0.000000
26,-3.979545,2.216329,0.797483,-0.999785,0.776373,0.000000
27,-1.009433,6.861325,1.668037,-0.802224,0.716731,0.000000
28,-7.986752,-2.493270,2.540594,-1.000000,0.837862,0.000000
29,-4.683361,-0.279937,2.503505,-0.999229,0.816073,0.000000
30,4.703382,-5.780996,17.642537,-0.960153,0.793195,0.000000
31,-4.474244,4.754943,1.461029,-0.995347,0.766474,0.000000
32,-5.291617,2.390477,0.881561,-0.999991,0.776716,0.000000
33,-1.402176,-7.357163,2.247202,-1.000000,0.826614,0.000000
34,6.931919,-4.379406,0.373260,-0.705572,0.755229,0.000000
35,3.182523,7.914838,0.519558,-0.868181,0.691424,0.000000
36,0.162211,-5.362295,13.002633,-0.773679,0.731736,0.000000
37,-3.833215,1.763640,0.766268,-0.999628,0.781928,0.000000
38,-5.193244,-0.094522,11.529235,-0.838939,0.735865,0.000000
39,6.978991,-6.921489,17.573750,-0.993130,0.795341,0.000000
40,-6.834758,0.063834,12.228682,-0.964301,0.730635,0.000000
41,7.516736,5.513807,16.516966,-0.740872,0.813931,0.000000
42,6.597524,-4.158418,17.984118,-0.980471,0.761731,0.000000
43,-6.217748,-7.638389,4.757737,-0.991030,0.829089,0.000000
44,-1.705579,-7.240009,1.523432,-1.000000,0.822860,0.000000
45,-7.942060,6.272097,3.041702,-0.999985,0.837627,0.000000
46,3.462261,-7.680323,17.665181,-0.967498,0.782733,0.000000
47,7.291338,1.258306,3.248321,-0.924151,0.725637,0.000000
48,-4.097080,-0.101481,3.451173,-0.994665,0.808241,0.000000
49,-6.755694,-0.936463,1.489168,-0.999809,0.781216,0.000000
50,6.239530,5.055043,1.309456,-0.873557,0.715423,0.000000
51,-5.963514,-7.136055,2.782567,-0.814082,0.817759,0.000000
52,5.819427,-4.962410,17.665758,-0.964509,0.790868,0.000000
53,4.558820,-2.566441,3.130217,-0.705409,0.698929,0.000000
54,-7.862547,-7.973227,15.430915,-0.815251,0.683543,0.000000
55,4.406460,-7.988222,1.633350,-0.999996,0.836989,0.000000
56,-7.037144,4.515716,10.068060,-0.948586,0.777005,0.000000
57,-6.712596,-5.477963,10.591123,-0.757925,0.721082,0.000000
58,1.958773,7.206967,14.236782,-0.936255,0.737921,0.000000
59,-7.225735,-7.258121,8.438036,-0.719997,0.758048,0.000000
60,4.015629,-5.335174,17.839813,-0.962347,0.797059,0.000000
61,-5.820378,-5.560170,4.004887,-0.716537,0.826010,0.000000
62,5.064170,3.869138,1.628609,-0.745499,0.723686,0.000000
63,6.910426,4.238031,2.802487,-0.953434,0.710247,0.000000
64,-5.190994,-4.122062,12.457598,-0.801904,0.781625,0.000000
65,-6.497898,3.145924,9.846871,-0.758155,0.779075,0.000000
66,6.972996,-0.111666,3.387545,-0.863945,0.717794,0.000000
67,-6.951724,-0.930389,2.884099,-0.999999,0.817405,0.000000
68,6.425862,5.233058,3.484369,-0.955185,0.721430,0.000000
69,7.093392,7.750105,2.696903,-0.939908,0.727837,0.000000
70,-0.301464,3.639326,2.031735,-0.966676,0.697731,0.000000
71,2.253800,-1.917105,2.626903,-0.770841,0.714935,0.000000
72,-5.692844,-0.882475,1.452917,-0.994124,0.778594,0.000000
73,6.847740,6.381498,1.149226,-0.914812,0.693579,0.000000
