run,RS,NSGA-II,NSGA-II-D
1,0.1239081276511215,0.3334597693310677,0.24397174338382194
2,0.17660695668671053,0.5473309712853489,0.3058601278282115
3,0.12985644770533167,0.40454980763238063,0.324426482492719
4,0.1527560989173334,0.4089231896964411,0.25850287008084155
5,0.2515608936388204,0.6590755723406782,0.3567466320194234
6,0.3562311241034001,0.5992069214606618,0.3785222507615653
7,0.14170598361268408,0.4275782115060768,0.2682292400270605
8,0.1249499951354008,0.36304748735677184,0.2108408393019848
9,0.0926060189541854,0.27359085307031805,0.1866196449395515
10,0.09312230105451973,0.27668438005577234,0.20878405307123532
11,0.21162501181812676,0.4415577831467225,0.3463594073325294
12,0.08266326939607943,0.34854645728655986,0.19412897829268044
13,0.09546629081091138,0.4600230301594784,0.2305472979750915
14,0.1685713259403933,0.4274022057201342,0.2973837166109569
15,0.14341367224395474,0.31063312646797786,0.2679120956063844
16,0.07328853193402211,0.24268172492060602,0.1773598523695141
17,0.10117131592048696,0.297261329703694,0.20441256888532325
18,0.14357800377172242,0.3201172913792021,0.2375217432267749
19,0.10407364106901676,0.3745850446480881,0.221417920153196
20,0.23702340514948755,0.453648981784155,0.3144799579531575
