Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,5.986615,3.644353,1.718775,-0.218656,0.694721,0.000000,0
1,7.810325,7.505624,1.585020,-0.742910,0.708344,0.000000,0
2,-4.142410,-7.851711,7.716158,0.944247,0.700960,0.000000,0
3,-2.237493,0.413344,12.059101,0.943981,0.741448,0.000000,0
4,5.010991,-2.557571,22.807742,0.999994,0.708293,0.000000,0
5,4.393564,-0.486595,12.979554,0.990791,0.716268,0.000000,0
6,-2.444745,-3.029691,19.550913,0.999702,0.717103,0.000000,0
7,-1.560226,0.202868,19.019792,0.997918,0.724421,0.000000,0
8,-2.042984,1.003301,6.480579,0.996865,0.759041,0.000000,0
9,7.219702,-0.860438,18.080312,0.998108,0.729300,0.000000,0
10,6.448847,-4.824610,19.752817,0.999032,0.724476,0.000000,0
11,2.563287,1.105866,21.839335,0.998731,0.740518,0.000000,0
12,-5.337151,7.864895,21.265691,0.998783,0.736233,0.000000,0
13,4.456113,7.968806,20.783653,0.999024,0.762286,0.000000,0
14,6.776047,5.342516,20.750442,0.999115,0.747237,0.000000,0
15,-0.200926,1.538190,13.852809,0.999139,0.742123,0.000000,0
16,2.253987,-0.192440,21.452906,0.999158,0.743223,0.000000,0
17,-0.276151,3.886338,21.359336,0.999319,0.743922,0.000000,0
18,0.649417,-4.448602,21.753919,0.999412,0.776229,0.000000,0
19,5.182923,-0.675845,19.120595,0.999679,0.760381,0.000000,0
20,5.986615,1.533956,1.718775,-0.162052,0.673458,-2.110397,0
21,6.210344,-4.953463,6.480579,0.994672,0.735826,-8.092606,0
22,5.986615,3.644353,2.683410,-0.917793,0.662060,-0.964635,0
23,-4.142410,-6.211082,11.283718,-0.663573,0.792119,-3.926722,0
24,7.810325,7.366224,12.023767,0.995131,0.713964,-8.617108,0
25,-4.142410,-7.851711,1.562767,-0.987830,0.821616,-6.153391,1
26,2.326969,7.505624,1.585020,-0.628257,0.689885,-5.321683,0
27,-2.289337,-7.851711,7.716158,0.999734,0.687262,-1.853073,0
28,7.810325,7.505624,1.585020,-0.742910,0.708344,0.000000,0
29,7.923535,7.505624,1.585020,-0.739884,0.709518,-0.113210,0
30,7.810325,7.505624,7.738427,0.999170,0.714419,-6.153406,0
31,5.986615,3.644353,1.718775,-0.218656,0.694721,0.000000,0
32,4.388500,-4.824610,12.953887,0.288039,0.695184,-4.338094,0
33,-0.364877,7.654844,19.019792,0.997630,0.736059,-4.436550,0
34,6.096771,3.644353,1.718775,-0.256230,0.697949,-0.110156,0
