Attribute,Value
Number Critical Scenarios,407
Number Critical Scenarios (duplicate free),95
Number All Scenarios,1000
Number All Scenarios (duplicate free),212
Number Best Critical Scenarios,249
Number Best Critical Scenarios (duplicate free),41
Number Best Scenarios,604
Number Best Scenarios (duplicate free),64
Ratio Critical/All scenarios,0.41
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.41
Ratio Best Critical/Best Scenarios (duplicate free),0.64
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.997784  0.843137 -6.451703]
Input value of critical (first of population of interest),[ 4.984622  4.233697 12.318989]
