RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.2492312067608026,0.028301291040233698,100.0,0.3382724712696474,0.040208907963991555,100.0,0.39999066855561344,0.05937813109052932
200.0,0.2033288727177954,0.021860537977359734,200.0,0.31152847714313214,0.04661995502865443,200.0,0.38233464446031246,0.07563061694374491
300.0,0.17440633082566376,0.0170202106125384,300.0,0.27877078114812676,0.05185403846720578,300.0,0.3780132537146249,0.07636538174197344
400.0,0.15676590295881082,0.013787367176528991,400.0,0.26604318529390303,0.05524623706823005,400.0,0.37382349776205076,0.07716486069172167
500.0,0.1452661059710398,0.013367020537358047,500.0,0.259173324413847,0.05396842062328401,500.0,0.3706102270552026,0.07758632920235048
600.0,0.1365745245849191,0.01082669459349916,600.0,0.25218046789825965,0.05440726359329606,600.0,0.3682814325169371,0.07775741398803933
700.0,0.13146667827253872,0.01080648185102781,700.0,0.24295498123834475,0.05612336003313136,700.0,0.36722390166197305,0.07693078754048409
800.0,0.12639641765710768,0.009353668779654071,800.0,0.2378892101146597,0.05083867376856587,800.0,0.3655613730520988,0.07683206396074715
900.0,0.1207625562359167,0.009232000293994439,900.0,0.23494307468880468,0.0483053675613216,900.0,0.36482670160466996,0.07674667891280398
1000.0,0.11487417402041081,0.008805311483956413,1000.0,0.23222937195810425,0.04543400156635067,1000.0,0.36098465702231297,0.07221798722730798
