Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Critical
0,-3.538410,7.020211,10.088098,-1.000000,0.659933,1
1,-3.538410,7.020211,10.113994,-1.000000,0.659933,1
2,-3.448242,7.104965,9.966223,-0.999999,0.639468,1
3,-2.090842,5.938254,9.921502,-0.999998,0.635955,1
4,-1.905775,5.949028,9.921502,-0.999996,0.624644,1
5,-1.905775,5.973861,9.921502,-0.999996,0.624644,1
6,-1.867910,5.545210,9.848937,-0.999997,0.628035,1
7,-1.688223,5.545210,9.923574,-0.999995,0.616646,1
8,-0.908051,5.400616,9.964092,-0.999914,0.613908,1
9,-0.861915,5.400616,9.964088,-0.999886,0.610716,1
10,2.059675,4.572780,9.619532,0.339667,0.534817,0
11,2.059675,4.572780,10.141226,0.339667,0.534817,0
12,2.063035,4.580279,9.838211,0.306162,0.535029,0
13,2.063035,4.589639,9.621316,0.297961,0.535347,0
14,2.066693,5.037845,9.615642,-0.264628,0.545151,0
15,2.191323,4.575637,9.619532,-0.129138,0.535400,0
16,2.191323,4.611163,9.619532,-0.216417,0.542412,0
17,2.193001,4.575637,9.632808,-0.141616,0.535612,0
18,3.871618,5.037845,9.870691,-0.999349,0.549367,1
19,3.871618,5.037845,9.964418,-0.999349,0.549367,1
20,3.871618,5.050128,9.964418,-0.999353,0.549814,1
21,3.928476,5.037845,9.966606,-0.999403,0.563789,1
22,4.082584,5.039442,9.616743,-0.999581,0.585046,1
23,4.082584,5.044111,9.616849,-0.999586,0.585307,1
