Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,4.286757,-7.086180,1.969842,-0.999995,0.844552,-0.240143,1
1,7.045321,6.635837,21.517597,0.999998,0.745384,-5.785011,0
2,-3.413056,-7.270041,2.243737,-0.950172,0.855299,-3.465238,1
3,-6.821793,-5.391107,15.600577,-0.787463,0.784847,-0.018981,0
4,1.129190,6.928772,17.025583,0.999987,0.816695,-6.418744,0
5,0.909280,-7.696778,15.150948,0.999426,0.674412,-0.094163,0
6,6.970286,-7.602614,15.918613,0.003900,0.729890,-4.342170,0
7,-5.628354,-2.873383,16.780267,0.705521,0.727721,-1.582586,0
8,-6.821793,-5.388345,15.603760,-0.782912,0.784659,-0.021474,0
9,-6.821793,-5.185540,17.398510,-0.352699,0.757741,-0.410084,0
10,0.920742,-7.755098,15.923766,0.969780,0.710994,-0.226958,0
11,-6.821793,-5.188900,17.334525,-0.354088,0.757678,-0.064073,0
12,7.330514,-7.602614,15.820781,0.354500,0.723263,-0.373276,0
13,4.286757,-6.513827,13.774974,-0.998795,0.828386,-2.751623,1
14,5.912101,-7.092186,15.918613,0.379572,0.729120,-0.510433,0
15,1.516687,7.353327,3.206623,0.999533,0.741799,-5.465486,0
16,0.575703,-7.566756,13.852937,-0.825142,0.825947,-1.914923,0
17,0.909280,-7.696778,13.805312,-0.848332,0.808042,-0.361175,0
18,-6.717943,6.814846,21.517597,0.999113,0.730536,-4.575412,0
19,-6.821793,-5.409819,15.603760,-0.817191,0.785506,-1.416822,0
