Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-6.766222,-2.539279,3.338710,-1.000000,0.841446,-2.377779,1
1,-6.766222,1.377376,14.010552,-0.888387,0.739114,-4.401070,0
2,-6.037109,-2.951618,14.323011,-0.557277,0.724635,-5.480194,0
3,-6.026389,-3.010823,0.910110,-0.999993,0.769084,-1.607018,1
4,-5.959868,-7.227164,8.420192,-0.977649,0.754952,-5.389550,1
5,-5.709386,0.523944,0.875144,-1.000000,0.773991,-1.807540,1
6,-5.668272,0.854327,0.802070,-1.000000,0.767272,-0.340857,1
7,-5.638011,1.930117,1.388152,-0.999998,0.766652,-1.200934,1
8,-5.632998,-5.592366,2.427770,-0.999960,0.821433,-3.536985,1
9,-5.616426,0.729399,1.380817,-1.000000,0.767935,-0.490876,1
10,-5.420469,0.523944,0.875144,-1.000000,0.765657,-0.288918,1
11,-3.962387,0.523944,0.744339,-0.999936,0.768352,-1.721109,1
12,-3.329723,-5.592366,1.933758,-0.999991,0.818249,-2.355658,1
13,-1.729681,-5.592366,2.427770,-1.000000,0.830191,-2.022618,1
14,-0.313353,3.924822,2.052879,-0.998998,0.697485,-0.701371,1
15,-0.205968,-7.842250,0.821744,0.911030,0.728967,-6.988575,0
16,0.002488,-7.905587,6.021049,-0.728176,0.699539,-2.413239,0
17,0.347047,7.073576,6.189095,-0.999990,0.831346,-2.454353,1
18,0.376592,-7.376514,8.452969,0.766574,0.685481,-3.777900,0
19,0.376592,-5.697966,2.468640,-1.000000,0.820184,-1.819385,1
20,0.376592,3.918182,1.926970,-0.999311,0.684928,-0.640160,1
21,0.728833,3.924890,2.052879,-0.999396,0.705635,-0.457668,1
22,0.792455,-7.361620,13.931080,-0.323448,0.677996,-0.405622,0
23,0.795205,-7.349645,14.473607,-0.325341,0.677850,-0.033168,0
24,0.806053,-5.001735,0.321922,-0.999999,0.770737,-2.132617,1
25,0.813202,-7.376514,14.439888,-0.320449,0.677923,-2.178556,0
26,0.814652,-7.376514,14.335820,-0.319180,0.677850,-0.104068,0
27,0.818711,-7.374599,13.553438,-0.318458,0.677814,-0.301670,0
28,0.822232,3.922722,2.045866,-0.999338,0.699346,-0.445567,1
29,0.823793,3.477186,2.050820,-0.998952,0.699837,-2.271614,1
30,0.878872,-7.223865,14.348882,-0.328454,0.681767,-0.164077,0
31,1.936424,-7.978798,8.407277,0.370754,0.665854,-0.046136,0
32,1.936424,-7.977667,8.361141,0.377555,0.665854,-0.177216,0
33,1.987491,-7.990639,8.223229,0.322659,0.666714,-0.000412,0
34,1.987491,-7.990227,8.223229,0.328488,0.666571,-0.144366,0
35,1.987491,-7.982480,7.544070,0.336219,0.666523,-0.331414,0
36,1.987491,-7.951487,8.223229,0.399083,0.665519,-0.004078,0
37,1.987491,-7.947408,8.287388,0.408196,0.665280,-0.064159,0
38,2.018773,-7.977667,7.942150,0.331384,0.666380,-0.123258,0
39,2.025085,-7.842250,8.433301,0.546286,0.676324,-1.713133,0
40,2.065331,-7.977667,7.866178,0.298147,0.666906,-0.089104,0
41,2.072409,-7.977667,8.400636,0.292013,0.667049,-0.136151,0
42,2.104084,-5.592366,1.907584,-0.998799,0.806555,-4.778897,1
43,2.362242,5.269870,0.090361,-0.997511,0.695233,-1.729626,1
44,2.362242,6.142824,1.907584,-0.999322,0.710022,-2.609696,1
45,3.310235,-2.522527,0.512458,-0.935046,0.727933,-4.264172,0
46,4.652353,-7.842250,8.433301,-0.886808,0.700623,-2.627268,0
47,4.663698,-7.974095,14.278940,-0.858090,0.709187,-3.488184,0
48,6.278538,-2.633280,11.010683,-0.887951,0.721804,-3.902817,0
49,6.772514,-7.842250,0.821744,-0.896637,0.708615,-2.946843,0
50,6.772514,1.697666,7.750362,0.931550,0.634881,-0.862414,0
51,6.791849,-5.574949,10.225520,-0.099708,0.676965,-1.869952,0
52,6.848807,1.697666,8.464978,0.940458,0.634159,-0.714616,0
53,6.848807,2.028574,7.750362,0.844823,0.644392,-0.330908,0
54,7.086023,-7.954611,14.243862,-0.990305,0.705423,-2.422657,1
55,7.086023,-7.106684,8.588056,-0.999960,0.777302,-2.547107,1
56,7.086023,-0.601901,14.243862,0.528620,0.784878,-5.515908,0
57,7.086023,0.179074,2.546986,-0.999089,0.711249,-3.691746,1
58,7.086023,0.912356,7.580777,0.930361,0.644105,-1.523958,0
59,7.226968,-0.604800,7.552187,0.831444,0.671155,-5.017795,0
60,7.670733,-5.649391,14.156214,-0.894641,0.718877,-3.802837,0
