Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-6.993902,1.202691,17.602650,-0.733718,0.708128,0.000000,0
1,-3.897337,7.301566,12.319473,-1.000000,0.788909,0.000000,1
2,1.789527,7.929402,13.591738,-0.683770,0.837069,0.000000,0
3,-6.156265,1.937232,5.336046,0.371464,0.738438,0.000000,0
4,-6.451773,-3.917212,6.965645,0.742272,0.721374,0.000000,0
5,-4.101145,-6.661086,10.075748,-0.916336,0.713587,0.000000,0
6,-0.695801,-1.828162,8.191552,-0.795318,0.777767,0.000000,0
7,1.298977,-0.616411,0.824660,-0.588428,0.751190,0.000000,0
8,4.420637,-2.701919,0.947154,-0.934408,0.723751,0.000000,0
9,5.633484,-5.344575,4.305609,-0.794113,0.740466,0.000000,0
10,0.138403,-2.530423,8.492318,0.871623,0.768858,0.000000,0
11,-1.573122,6.753969,6.851672,0.455209,0.688213,0.000000,0
12,-6.423092,3.658560,4.716686,-0.227345,0.748431,0.000000,0
13,1.100003,-5.078043,13.276538,-0.947680,0.760203,0.000000,0
14,2.959233,1.378131,4.911971,-0.955701,0.770588,0.000000,1
15,-7.730365,2.772611,4.140107,-0.998242,0.812571,0.000000,1
16,2.119779,3.654613,11.957202,-0.980792,0.766904,0.000000,1
17,-5.466733,-6.236011,13.224770,-0.948972,0.715068,0.000000,0
18,-3.721493,7.177444,9.920343,-0.934367,0.725024,0.000000,0
19,6.514280,6.114044,16.935118,0.700868,0.812723,0.000000,0
20,1.625061,5.942055,9.999125,0.629654,0.714792,0.000000,0
21,-4.246437,-4.545051,5.285261,0.794402,0.782574,0.000000,0
22,1.515778,-5.956073,0.386130,-1.000000,0.782102,0.000000,1
23,5.932485,-2.408264,6.040564,0.446907,0.693769,0.000000,0
24,-2.238015,0.372930,10.481584,-0.889322,0.750877,0.000000,0
25,-7.602097,7.328955,7.633041,-0.999976,0.791141,0.000000,1
26,0.741536,7.578677,14.797090,0.952554,0.773072,0.000000,0
27,4.226500,0.595825,14.911847,0.556495,0.797276,0.000000,0
28,-0.798887,-3.761690,4.880691,0.784522,0.795106,0.000000,0
29,4.807518,6.164113,3.501474,-0.998264,0.758979,0.000000,1
30,-0.722639,-3.351776,2.206721,-0.994228,0.800498,0.000000,1
31,-7.618232,5.048632,10.381140,-0.975778,0.709102,0.000000,1
32,-7.691351,6.433421,14.466037,0.904950,0.771715,0.000000,0
33,-0.875023,-4.607640,11.813509,-0.947475,0.722585,0.000000,0
34,5.379081,4.925475,9.103421,-0.198855,0.721110,0.000000,0
35,7.467590,-0.497697,15.915050,0.971727,0.808843,0.000000,0
36,-7.998635,-6.806562,14.210156,-0.569818,0.728186,0.000000,0
37,1.774794,-7.296238,0.442452,-1.000000,0.790167,0.000000,1
38,3.421580,-4.653104,9.628860,-0.713218,0.715068,0.000000,0
39,2.713475,-6.067983,16.279314,0.986935,0.773789,0.000000,0
40,-6.475160,-5.669459,1.809161,-0.999890,0.821084,0.000000,1
41,4.429393,6.173048,16.002288,0.686590,0.805157,0.000000,0
42,-5.024672,2.731124,16.493735,-0.462246,0.695634,0.000000,0
43,0.410793,5.925658,4.906682,-0.914603,0.731859,0.000000,0
44,6.478822,0.145406,6.161585,0.904087,0.688402,0.000000,0
45,1.443522,7.176021,16.150955,0.483563,0.779320,0.000000,0
46,3.735117,3.407140,7.261889,-0.964038,0.766506,0.000000,1
47,1.211670,6.867746,7.255493,0.868779,0.710093,0.000000,0
48,4.078670,7.991223,1.934194,-0.999319,0.692413,0.000000,1
49,-7.634173,5.949384,6.103701,-0.999933,0.817754,0.000000,1
50,-0.341395,-6.771514,9.371473,-0.427381,0.823597,0.000000,0
51,-7.351553,-2.487634,9.036834,0.262641,0.710258,0.000000,0
52,6.574541,6.218568,2.902822,-0.999224,0.702700,0.000000,1
53,5.151538,7.564916,1.696196,-0.999287,0.706720,0.000000,1
54,0.105386,-6.870650,5.036498,-0.997926,0.807786,0.000000,1
55,-1.175401,-5.278866,11.207070,-0.602436,0.760220,0.000000,0
56,1.539997,1.300414,8.730544,0.318736,0.744227,0.000000,0
57,-5.379987,6.600679,15.738853,-0.372879,0.706746,0.000000,0
58,-5.674639,-3.132029,18.412094,-0.993874,0.695425,0.000000,1
59,-0.212962,2.518647,7.806897,0.714643,0.757112,0.000000,0
60,-1.110634,-0.837963,0.285435,-0.144212,0.759553,0.000000,0
61,-5.141840,2.502934,1.678587,-0.344479,0.747465,0.000000,0
62,-5.227494,-5.368362,5.134972,0.272123,0.785349,0.000000,0
63,-6.844042,-7.430537,9.675142,-0.891245,0.740651,0.000000,0
64,-5.973415,4.064729,7.787566,-0.978327,0.797319,0.000000,1
65,-1.138851,7.561690,12.485379,-1.000000,0.776414,0.000000,1
66,2.899024,-2.425835,16.937934,0.797627,0.709768,0.000000,0
67,4.458178,0.865985,3.139333,-0.999221,0.682980,0.000000,1
68,5.295207,-3.398776,15.790115,0.976576,0.819807,0.000000,0
69,-1.210737,6.683267,11.599179,-0.999998,0.776993,0.000000,1
70,1.743762,3.479776,13.858561,0.885328,0.815504,0.000000,0
71,-2.605348,2.512157,0.738707,-0.997030,0.752451,0.000000,1
72,-2.296521,-6.471106,1.065269,0.780701,0.771640,0.000000,0
73,-6.958593,-6.481679,14.511943,-0.647297,0.724352,0.000000,0
74,-5.842607,0.682339,6.265843,0.840933,0.784609,0.000000,0
75,-7.737510,-4.786305,6.379680,-0.995344,0.756539,0.000000,1
76,-6.449329,-1.922703,17.973901,-0.987522,0.669412,0.000000,1
77,-7.701797,1.101948,1.567611,0.589037,0.771507,0.000000,0
78,-1.331617,-4.523548,12.718536,-0.951223,0.738702,0.000000,1
79,2.097436,-2.613732,1.384978,-0.781740,0.742097,0.000000,0
80,7.694688,1.768061,7.752348,0.898935,0.646588,0.000000,0
81,3.841107,4.213657,16.508402,0.818402,0.803862,0.000000,0
82,-4.659847,-6.750964,15.175751,-0.684229,0.716517,0.000000,0
83,-2.406367,1.252662,9.390683,0.990197,0.759741,0.000000,0
84,-1.456530,2.879120,11.997889,-0.855618,0.760976,0.000000,0
85,-7.095048,3.023533,1.358551,-0.999995,0.778285,0.000000,1
86,5.597485,4.214884,16.849353,0.811097,0.809119,0.000000,0
87,7.407756,3.655136,18.567351,0.667497,0.737711,0.000000,0
88,1.133713,-2.216068,18.462632,-0.669808,0.754781,0.000000,0
89,-6.119840,3.765979,7.756896,-0.914866,0.807744,0.000000,0
90,0.107768,-3.026120,0.578564,0.429282,0.758084,0.000000,0
91,7.340980,-7.969794,11.841878,0.846433,0.772975,0.000000,0
92,1.922045,-5.797547,9.362014,0.758868,0.824079,0.000000,0
93,1.136184,-0.641873,6.109575,-0.214505,0.731663,0.000000,0
94,1.629001,0.920886,13.077712,-0.819074,0.766377,0.000000,0
95,-3.013207,-3.545966,9.913825,0.466861,0.787053,0.000000,0
96,7.736887,-1.777855,7.209984,-0.999943,0.831054,0.000000,1
97,-1.486650,-3.750053,10.295903,0.473159,0.780841,0.000000,0
98,-4.840872,2.103273,11.419071,-0.872205,0.719696,0.000000,0
99,2.900114,-4.991828,15.432448,-0.110650,0.757909,0.000000,0
