Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input
0,4.111989,-0.094636,5.315374,-0.966482,0.774591,0.000000
1,3.019780,7.218219,8.128523,-0.998942,0.758029,0.000000
2,-1.200221,-5.641987,17.422114,-0.993852,0.719903,0.000000
3,4.692605,7.033609,4.576662,-0.988070,0.742883,0.000000
4,-0.634291,2.890633,1.238162,-0.967201,0.751139,0.000000
5,4.719042,2.762620,12.894700,-0.992794,0.769028,0.000000
6,3.809773,-0.083126,13.289149,-0.976486,0.768750,0.000000
7,-2.028633,-7.631161,17.534981,-0.967176,0.707878,0.000000
8,-5.565163,-7.028012,18.218891,-0.978095,0.694742,0.000000
9,-7.337685,-7.709526,8.995436,-0.998396,0.761275,0.000000
10,-7.016822,6.519623,11.671849,-0.998982,0.765662,0.000000
11,6.056624,3.033419,2.817443,-0.999119,0.711837,0.000000
12,-5.082393,-6.015210,3.285210,-0.998578,0.819808,0.000000
13,-6.784531,-2.318209,1.174267,-1.000000,0.780365,0.000000
14,-5.706829,-5.026018,8.251918,-0.999197,0.773912,0.000000
15,5.613933,-2.040021,3.187350,-0.996130,0.722741,0.000000
16,-6.298071,-5.970443,9.035453,-0.992190,0.777000,0.000000
17,4.076405,-6.997195,5.223859,-0.998662,0.811511,0.000000
18,5.622767,-7.692333,5.373209,-0.999969,0.801163,0.000000
19,-5.972413,-6.323527,7.711569,-0.991848,0.775195,0.000000
20,4.434871,5.555000,0.591462,-0.999142,0.688292,0.000000
21,4.934660,7.008484,4.556303,-0.990722,0.759988,0.000000
22,-3.402260,-0.830030,3.310990,-0.994302,0.799303,0.000000
23,-4.435138,-3.728927,8.702482,-0.966580,0.806694,0.000000
24,6.038466,6.131173,1.337822,-0.999186,0.690588,0.000000
25,2.616471,2.990145,0.332554,-0.996349,0.710603,0.000000
26,-5.336197,4.769747,13.406511,-0.950212,0.714885,0.000000
27,5.819581,7.860392,18.789701,-0.959974,0.790726,0.000000
28,6.568535,-5.884586,6.849968,-0.999709,0.818771,0.000000
29,2.412606,7.472062,5.824727,-0.998932,0.815603,0.000000
30,-4.399589,-0.737594,0.522456,-0.999983,0.774926,0.000000
31,7.653624,6.220429,13.233329,-0.998883,0.779572,0.000000
32,-3.595531,1.658031,1.225703,-0.999565,0.771593,0.000000
33,5.390949,-2.217560,12.655768,-0.999798,0.760425,0.000000
34,0.783947,4.296218,1.770038,-0.999269,0.690836,0.000000
35,-4.568864,-3.560462,18.961403,-0.986243,0.694474,0.000000
36,3.593782,-6.037638,0.222882,-0.998756,0.766154,0.000000
37,-7.794297,6.393629,5.264970,-0.965604,0.737082,0.000000
38,-7.729996,-5.011750,7.721914,-0.999865,0.794738,0.000000
39,5.866374,7.439434,1.679387,-0.999170,0.701669,0.000000
40,3.573781,7.766237,0.317264,-0.997652,0.720173,0.000000
41,-7.532777,4.212376,9.938832,-0.978358,0.725288,0.000000
42,-3.514998,-6.141886,16.580538,-0.977611,0.732458,0.000000
43,0.267272,4.016645,1.807445,-0.999197,0.693397,0.000000
44,-5.334187,1.302000,2.741006,-0.999943,0.812913,0.000000
45,7.257444,4.017427,3.105772,-0.998894,0.702598,0.000000
46,1.445842,-7.248209,17.587633,-0.956207,0.723345,0.000000
47,4.583468,-5.934652,6.311527,-0.980630,0.719753,0.000000
48,4.131940,-5.421664,7.020690,-0.972561,0.811571,0.000000
49,-7.785664,0.247487,16.478535,-0.999232,0.702551,0.000000
50,-0.979203,1.988163,4.127767,-0.950944,0.783754,0.000000
51,-2.064153,-0.698520,12.138067,-0.966014,0.757407,0.000000
52,7.476586,2.714997,12.549271,-0.999926,0.766773,0.000000
53,-7.290312,-1.678554,2.829104,-1.000000,0.848340,0.000000
54,5.411791,5.292655,12.600816,-0.996978,0.771187,0.000000
55,-7.297136,-1.514504,7.582666,-0.975140,0.822468,0.000000
56,3.171875,4.189086,2.821122,-0.996053,0.701115,0.000000
57,-3.842008,-0.488985,15.627996,-0.967625,0.724946,0.000000
58,3.380891,7.206835,8.381026,-0.981134,0.754973,0.000000
59,5.467115,-5.815007,6.837312,-0.999973,0.812105,0.000000
60,6.868606,3.419701,13.272612,-0.999459,0.757889,0.000000
61,1.956838,-2.705587,11.631942,-0.956767,0.748984,0.000000
62,6.810283,-1.907994,9.147750,-0.991748,0.769266,0.000000
63,-2.543491,1.611657,12.890852,-0.954479,0.748021,0.000000
64,-7.320237,-2.348955,17.694043,-0.991761,0.674643,0.000000
65,-7.871330,6.225070,7.665664,-0.999946,0.799746,0.000000
66,2.490049,1.872831,0.694593,-0.989424,0.722092,0.000000
67,-2.727079,4.598439,1.999897,-0.992539,0.718233,0.000000
68,5.996496,6.028209,3.238227,-0.999302,0.718465,0.000000
69,-6.924788,-4.705657,1.824416,-0.984136,0.804240,0.000000
70,7.495724,7.759996,4.862772,-0.997601,0.750464,0.000000
71,-2.232694,5.557260,6.236485,-0.999647,0.805470,0.000000
72,0.664975,5.636611,12.428490,-0.999581,0.755593,0.000000
73,7.592553,-3.061508,17.642399,-0.996076,0.753303,0.000000
74,7.224233,6.148133,2.680856,-0.999204,0.707104,0.000000
75,-4.027898,1.263565,13.266928,-0.954813,0.741360,0.000000
76,-1.703208,3.715686,1.982672,-0.998699,0.728118,0.000000
77,-3.467870,4.711274,13.363283,-0.954998,0.745410,0.000000
78,5.143568,6.583529,0.612308,-0.999193,0.683013,0.000000
79,-1.828072,-2.122322,13.463929,-0.975812,0.739549,0.000000
80,-7.955579,-0.812469,0.657435,-1.000000,0.789669,0.000000
81,-1.461072,6.813809,2.276161,-0.998273,0.738597,0.000000
82,1.909323,2.328164,2.146152,-0.986569,0.719888,0.000000
83,6.372015,6.028201,3.154955,-0.999208,0.697553,0.000000
84,-4.428799,-4.008095,17.700994,-0.976051,0.704611,0.000000
85,-0.327910,2.618222,2.153549,-0.996947,0.729569,0.000000
86,-7.592068,-6.184142,3.178381,-1.000000,0.840906,0.000000
87,2.371801,7.122398,8.043210,-0.999956,0.747816,0.000000
88,1.998142,-5.549123,2.462433,-0.999157,0.807619,0.000000
89,-3.688187,7.675884,1.519424,-0.988473,0.723982,0.000000
90,-7.621103,-3.481111,17.605261,-0.994573,0.678841,0.000000
91,4.689303,-6.560341,9.408223,-0.998281,0.784528,0.000000
92,4.418403,2.266665,0.120943,-0.994417,0.710147,0.000000
93,4.772860,6.219323,1.362139,-0.999176,0.685005,0.000000
94,-7.024957,-6.694163,17.789332,-0.982761,0.675616,0.000000
95,5.730558,-7.686645,14.358789,-0.971455,0.701996,0.000000
96,-2.296514,7.557431,2.051757,-0.997098,0.710920,0.000000
97,-0.786386,7.704642,6.324176,-0.999992,0.825616,0.000000
98,2.713356,7.422216,2.585609,-0.994160,0.698978,0.000000
99,-7.266800,-3.051727,17.582303,-0.995277,0.696499,0.000000
100,5.397570,-7.206482,5.936390,-0.997264,0.737322,0.000000
101,-4.094192,2.486570,2.896337,-0.991227,0.797785,0.000000
102,-1.366955,-5.035570,16.923188,-0.983955,0.713072,0.000000
103,7.310561,4.386624,4.899364,-0.999082,0.762255,0.000000
104,3.389475,-2.475109,13.945068,-0.973246,0.746653,0.000000
105,3.583967,5.779577,11.521133,-0.997961,0.762636,0.000000
106,1.740094,1.635955,2.855549,-0.958255,0.730615,0.000000
107,0.112157,-7.421110,12.174083,-0.986315,0.731175,0.000000
108,2.446159,4.519735,3.596979,-0.986104,0.770688,0.000000
109,-7.845630,3.176433,18.707110,-0.988632,0.715686,0.000000
110,-6.888400,5.763172,4.219066,-0.999862,0.804805,0.000000
111,-6.750603,-4.291858,6.482832,-0.988340,0.752810,0.000000
112,7.376017,-0.291861,8.653863,-0.996594,0.767900,0.000000
113,4.435826,0.363310,4.767164,-0.973137,0.765349,0.000000
114,6.650235,3.868999,12.979470,-0.999381,0.772173,0.000000
115,5.383987,3.532286,0.247010,-0.998981,0.693080,0.000000
116,2.988759,7.742383,4.379172,-0.997693,0.753298,0.000000
117,-3.695205,4.861006,5.775699,-0.995160,0.785653,0.000000
118,5.868378,-5.979200,18.125560,-0.960947,0.725966,0.000000
119,3.668236,5.117906,4.603452,-0.992194,0.754388,0.000000
