RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.21259165458895285,0.003516117985367445,100.0,0.28234365349432045,0.049400521509515787,100.0,0.2845340616037845,0.022624199667912976
200.0,0.15844274626185134,0.010398890254948216,200.0,0.24486630040568796,0.015353761840461238,200.0,0.2752971796701234,0.02285163143894841
300.0,0.13522942420994324,0.005899614086073321,300.0,0.23199979410185487,0.02234432549530815,300.0,0.2723302541601144,0.02430100343735348
400.0,0.11989696955927276,0.0026323831263629503,400.0,0.2243172705992667,0.022541496949284874,400.0,0.27173054719585743,0.024045640390476724
500.0,0.11054319642542772,0.0014889759208449279,500.0,0.21985442578912004,0.025927630981695062,500.0,0.27021753599769516,0.022928429870853792
600.0,0.10265243869040512,0.0019743858888275788,600.0,0.21729572987802115,0.029466656078186198,600.0,0.2667265274723252,0.019811325527335
700.0,0.09681560793617895,0.0024480659006436223,700.0,0.21215318782623976,0.030482562277652527,700.0,0.26551957071886767,0.019216710437376
800.0,0.09308629818460143,0.0020363760471661827,800.0,0.20862485460829733,0.02947224728414086,800.0,0.26518606456747384,0.019133907156588182
900.0,0.08952057965965846,0.0012199559694295093,900.0,0.20365423250092946,0.02900346429288323,900.0,0.26466502170690875,0.018957991193009716
1000.0,0.08481300412612881,0.0015494164660074306,1000.0,0.20137220463473718,0.02834485115018263,1000.0,0.26461298562352803,0.018945710165874114
