Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness
0,6.411992,-4.066653,7.268386,-0.969663,0.830387
1,6.436196,-7.960506,7.233345,-0.997576,0.839739
2,6.411992,-4.066653,7.268386,-0.969663,0.830387
3,6.434925,-4.070453,7.151128,-0.970767,0.830860
4,6.436196,-7.960506,7.233345,-0.997576,0.839739
5,6.411992,-4.066653,7.268386,-0.969663,0.830387
6,6.434925,-4.070453,7.151128,-0.970767,0.830860
7,6.436204,-4.070453,7.236686,-0.971349,0.830880
8,6.434917,-7.960506,7.147787,-0.997543,0.839664
9,6.523237,-7.966990,7.233345,-0.997453,0.840990
10,7.745157,-7.641480,3.882327,-1.000000,0.823849
11,7.977710,-4.066477,7.268386,-0.997688,0.838513
12,7.745157,-7.641480,3.882327,-1.000000,0.823849
13,7.745157,-7.641480,3.895704,-1.000000,0.823849
14,7.745157,-7.641480,3.958674,-1.000000,0.823849
15,7.503268,-7.641480,3.947505,-1.000000,0.827273
16,7.481274,-7.230812,3.882327,-1.000000,0.817899
17,7.763110,-7.641661,3.882327,-1.000000,0.823831
18,7.745157,-7.028543,3.882327,-0.999994,0.805027
19,7.745157,-7.641480,3.882327,-1.000000,0.823849
20,7.745157,-7.365383,3.882327,-1.000000,0.821058
21,5.887159,-7.028543,3.882327,-0.999999,0.803247
22,7.745157,-7.233087,3.882327,-1.000000,0.812727
23,7.481274,-7.230812,3.882327,-1.000000,0.817899
24,7.757949,-7.246408,3.882327,-1.000000,0.813547
25,7.745157,-7.365383,3.882327,-1.000000,0.821058
26,5.887159,-7.028543,3.882327,-0.999999,0.803247
27,7.745157,-7.233087,3.882327,-1.000000,0.812727
28,7.481274,-7.230812,3.882327,-1.000000,0.817899
29,7.757949,-7.246408,3.882327,-1.000000,0.813547
30,7.745157,-7.365383,3.882327,-1.000000,0.821058
31,6.185749,-6.355324,3.882327,-0.998218,0.801383
32,5.887159,-7.028543,3.882327,-0.999999,0.803247
33,7.745157,-7.233087,3.882327,-1.000000,0.812727
34,3.634098,-7.028543,3.882327,-1.000000,0.817801
35,7.752400,-7.246408,3.989389,-1.000000,0.813494
36,7.745157,-7.365383,3.882327,-1.000000,0.821058
37,5.887159,-7.028543,3.882327,-0.999999,0.803247
38,7.745157,-7.233087,3.882327,-1.000000,0.812727
39,3.634098,-7.028543,3.882327,-1.000000,0.817801
40,7.752400,-7.246408,3.989389,-1.000000,0.813494
41,5.887159,-6.848743,3.963708,-0.999994,0.800902
42,7.895950,-7.043447,3.882327,-0.999993,0.806185
43,5.881506,-7.364637,3.882327,-1.000000,0.815033
44,7.978748,-6.384246,3.882327,-0.970406,0.800733
45,5.887159,-7.026101,3.882327,-0.999999,0.803119
46,7.745157,-7.233087,3.882327,-1.000000,0.812727
47,5.887159,-6.848743,3.963708,-0.999994,0.800902
48,5.894040,-7.346621,3.882327,-1.000000,0.811006
49,5.329779,-6.384246,3.882327,-0.999742,0.794879
50,5.887159,-7.026101,3.882327,-0.999999,0.803119
51,5.887159,-6.848743,3.963708,-0.999994,0.800902
52,5.906198,-7.179586,4.213662,-1.000000,0.810780
53,5.887156,-7.346621,3.882327,-1.000000,0.810897
54,5.329779,-6.387533,3.846006,-0.999751,0.791645
55,5.887159,-6.848743,3.963708,-0.999994,0.800902
56,5.267043,-6.365787,3.838250,-0.999754,0.793451
57,5.887159,-7.026101,3.882327,-0.999999,0.803119
58,5.774258,-7.179586,4.213662,-1.000000,0.809156
59,5.887156,-7.346621,3.882327,-1.000000,0.810897
60,5.329779,-6.387533,3.846006,-0.999751,0.791645
61,5.887159,-6.848743,3.963708,-0.999994,0.800902
62,5.267043,-6.365787,3.838250,-0.999754,0.793451
63,5.887159,-7.026101,3.882327,-0.999999,0.803119
64,5.774258,-7.179586,4.213662,-1.000000,0.809156
65,-1.372229,7.880104,7.551342,-0.977421,0.788005
66,6.434560,-7.346621,3.882327,-1.000000,0.809508
67,5.887159,-6.848743,3.963708,-0.999994,0.800902
68,5.267043,-6.365787,3.838250,-0.999754,0.793451
69,-1.372229,7.880104,7.551342,-0.977421,0.788005
70,5.329779,-6.387533,3.846006,-0.999751,0.791645
71,5.774258,-7.208472,4.213662,-1.000000,0.807026
72,5.887159,-7.026101,3.882327,-0.999999,0.803119
73,6.434560,-7.346621,3.882327,-1.000000,0.809508
74,-1.372229,7.880104,7.551342,-0.977421,0.788005
75,5.887159,-6.848743,3.963708,-0.999994,0.800902
76,5.267043,-6.365787,3.838250,-0.999754,0.793451
77,5.329779,-6.387533,3.846006,-0.999751,0.791645
78,5.774258,-7.208472,4.213662,-1.000000,0.807026
79,6.434560,-7.346621,3.882327,-1.000000,0.809508
80,5.887159,-6.848743,3.963708,-0.999994,0.800902
81,-1.372229,7.880104,7.551342,-0.977421,0.788005
82,5.267043,-6.365787,3.838250,-0.999754,0.793451
83,5.774258,-7.208472,4.213662,-1.000000,0.807026
84,5.329779,-6.387533,3.846006,-0.999751,0.791645
85,6.434560,-7.346621,3.882327,-1.000000,0.809508
86,5.887159,-6.848743,3.963708,-0.999994,0.800902
87,5.267043,-6.365787,3.838250,-0.999754,0.793451
88,5.774258,-7.208472,4.213662,-1.000000,0.807026
89,6.434560,-7.346621,3.882327,-1.000000,0.809508
90,5.267043,-6.365787,3.838250,-0.999754,0.793451
91,5.776149,-6.848743,3.963708,-0.999994,0.799797
92,5.774258,-7.208472,4.213662,-1.000000,0.807026
93,6.434560,-7.346621,3.882327,-1.000000,0.809508
94,5.776149,-6.848743,3.963708,-0.999994,0.799797
95,5.267043,-6.104791,3.889195,-0.997786,0.788158
96,5.774258,-7.208472,4.213662,-1.000000,0.807026
97,5.267043,-6.365787,3.838250,-0.999754,0.793451
98,6.434560,-7.346621,3.882327,-1.000000,0.809508
99,5.325184,-6.148930,3.889195,-0.998294,0.787585
100,5.267043,-6.365787,3.838250,-0.999754,0.793451
101,5.774258,-7.208472,4.213662,-1.000000,0.807026
102,6.434560,-7.346621,3.882327,-1.000000,0.809508
103,5.267043,-6.365787,3.838250,-0.999754,0.793451
104,5.774258,-7.208472,4.213662,-1.000000,0.807026
105,5.325184,-6.148930,3.889195,-0.998294,0.787585
106,6.434560,-7.346621,3.882327,-1.000000,0.809508
107,5.267043,-6.365787,3.838250,-0.999754,0.793451
108,5.774258,-7.208472,4.213662,-1.000000,0.807026
109,5.325184,-6.148930,3.889195,-0.998294,0.787585
110,6.474950,-7.348680,3.819152,-1.000000,0.806791
111,6.434560,-6.741139,3.882327,-0.999961,0.795422
112,5.325184,-6.148930,3.889195,-0.998294,0.787585
113,6.474950,-7.348680,3.819152,-1.000000,0.806791
114,6.434560,-6.741139,3.882327,-0.999961,0.795422
115,5.972189,-6.741139,3.882327,-0.999980,0.806405
116,5.325184,-6.148930,3.889195,-0.998294,0.787585
117,6.474950,-7.348680,3.819152,-1.000000,0.806791
118,5.325184,-6.148930,3.889195,-0.998294,0.787585
119,5.972189,-6.741139,3.882327,-0.999980,0.806405
120,6.429262,-6.747467,3.882327,-0.999966,0.795768
121,6.474950,-7.348680,3.819152,-1.000000,0.806791
122,5.325184,-6.148930,3.889195,-0.998294,0.787585
123,6.429262,-6.747467,3.882327,-0.999966,0.795768
124,5.972189,-6.741139,3.882327,-0.999980,0.806405
125,6.474950,-7.348680,3.819152,-1.000000,0.806791
126,5.325184,-6.148930,3.889195,-0.998294,0.787585
127,6.429262,-6.747467,3.882327,-0.999966,0.795768
128,6.750751,-6.952802,3.882327,-0.999993,0.802584
129,6.474950,-7.348680,3.819152,-1.000000,0.806791
130,5.325184,-6.148930,3.889195,-0.998294,0.787585
131,6.429262,-6.747467,3.882327,-0.999966,0.795768
132,6.750751,-6.952802,3.882327,-0.999993,0.802584
133,6.474950,-7.348680,3.819152,-1.000000,0.806791
134,6.750751,-6.952802,3.882327,-0.999993,0.802584
135,5.325184,-6.146150,3.889118,-0.998226,0.787336
136,5.343088,-6.272706,3.882327,-0.999308,0.793343
137,6.474950,-7.348680,3.819152,-1.000000,0.806791
138,-1.148589,7.269389,8.230274,-0.955740,0.782537
139,5.343088,-6.272706,3.882327,-0.999308,0.793343
140,5.325184,-6.146150,3.889118,-0.998226,0.787336
141,6.750751,-6.952802,3.882327,-0.999993,0.802584
142,6.474950,-7.348680,3.819152,-1.000000,0.806791
143,5.325184,-6.146150,3.889118,-0.998226,0.787336
144,6.750751,-6.952802,3.882327,-0.999993,0.802584
145,6.507290,-7.314331,3.819255,-1.000000,0.805686
146,5.325184,-6.146150,3.889118,-0.998226,0.787336
147,6.693322,-6.815770,3.882327,-0.999961,0.801970
148,6.507290,-7.314331,3.819255,-1.000000,0.805686
149,6.693322,-6.815770,3.882327,-0.999961,0.801970
150,5.325184,-6.146150,3.889118,-0.998226,0.787336
151,5.325184,-6.120984,3.889118,-0.997785,0.786284
152,6.507290,-7.314331,3.819255,-1.000000,0.805686
153,-1.095412,7.254307,8.139677,-0.951924,0.785544
154,6.507290,-6.842419,3.907438,-0.999987,0.797567
155,4.447519,-6.146150,4.319316,-0.999739,0.791220
156,6.507290,-7.314331,3.819255,-1.000000,0.805686
157,-1.095412,7.254307,8.139677,-0.951924,0.785544
158,4.447519,-6.146150,4.319316,-0.999739,0.791220
159,6.507290,-6.842419,3.907438,-0.999987,0.797567
160,6.507290,-7.314331,3.819255,-1.000000,0.805686
161,6.507290,-6.842419,3.907438,-0.999987,0.797567
162,4.447519,-6.146150,4.319316,-0.999739,0.791220
